agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,0d672e7a,1,0,1395
EvalMinimax(d=3),black,0d672e7a,1,1,138
EvalMinimax(d=3),black,0d672e7a,1,2,20
EvalMinimax(d=3),black,0d672e7a,1,3,1
EvalMinimax(d=3),black,0d672e7a,2,0,2392
EvalMinimax(d=3),black,0d672e7a,2,1,250
EvalMinimax(d=3),black,0d672e7a,2,2,20
EvalMinimax(d=3),black,0d672e7a,2,3,1
EvalMinimax(d=3),black,0d672e7a,3,0,1484
EvalMinimax(d=3),black,0d672e7a,3,1,162
EvalMinimax(d=3),black,0d672e7a,3,2,21
EvalMinimax(d=3),black,0d672e7a,3,3,1
EvalMinimax(d=3),black,0d672e7a,4,0,1800
EvalMinimax(d=3),black,0d672e7a,4,1,234
EvalMinimax(d=3),black,0d672e7a,4,2,30
EvalMinimax(d=3),black,0d672e7a,4,3,1
EvalMinimax(d=3),black,0d672e7a,5,0,2476
EvalMinimax(d=3),black,0d672e7a,5,1,277
EvalMinimax(d=3),black,0d672e7a,5,2,36
EvalMinimax(d=3),black,0d672e7a,5,3,1
EvalMinimax(d=3),black,0d672e7a,6,0,2466
EvalMinimax(d=3),black,0d672e7a,6,1,328
EvalMinimax(d=3),black,0d672e7a,6,2,34
EvalMinimax(d=3),black,0d672e7a,6,3,1
EvalMinimax(d=3),black,0d672e7a,7,0,1696
EvalMinimax(d=3),black,0d672e7a,7,1,200
EvalMinimax(d=3),black,0d672e7a,7,2,28
EvalMinimax(d=3),black,0d672e7a,7,3,1
EvalMinimax(d=3),black,0d672e7a,8,0,1820
EvalMinimax(d=3),black,0d672e7a,8,1,216
EvalMinimax(d=3),black,0d672e7a,8,2,29
EvalMinimax(d=3),black,0d672e7a,8,3,1
EvalMinimax(d=3),black,0d672e7a,9,0,2450
EvalMinimax(d=3),black,0d672e7a,9,1,378
EvalMinimax(d=3),black,0d672e7a,9,2,29
EvalMinimax(d=3),black,0d672e7a,9,3,1
EvalMinimax(d=3),black,0d672e7a,10,0,3223
EvalMinimax(d=3),black,0d672e7a,10,1,353
EvalMinimax(d=3),black,0d672e7a,10,2,38
EvalMinimax(d=3),black,0d672e7a,10,3,1
EvalMinimax(d=3),black,0d672e7a,11,0,1321
EvalMinimax(d=3),black,0d672e7a,11,1,207
EvalMinimax(d=3),black,0d672e7a,11,2,34
EvalMinimax(d=3),black,0d672e7a,11,3,1
EvalMinimax(d=3),black,0d672e7a,12,0,861
EvalMinimax(d=3),black,0d672e7a,12,1,59
EvalMinimax(d=3),black,0d672e7a,12,2,31
EvalMinimax(d=3),black,0d672e7a,12,3,1
EvalMinimax(d=3),black,0d672e7a,13,0,1939
EvalMinimax(d=3),black,0d672e7a,13,1,223
EvalMinimax(d=3),black,0d672e7a,13,2,31
EvalMinimax(d=3),black,0d672e7a,13,3,1
EvalMinimax(d=3),black,0d672e7a,14,0,580
