agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,7b08ccbc,1,0,2096
EvalMinimax(d=3),white,7b08ccbc,1,1,154
EvalMinimax(d=3),white,7b08ccbc,1,2,20
EvalMinimax(d=3),white,7b08ccbc,1,3,1
EvalMinimax(d=3),white,7b08ccbc,2,0,2353
EvalMinimax(d=3),white,7b08ccbc,2,1,159
EvalMinimax(d=3),white,7b08ccbc,2,2,30
EvalMinimax(d=3),white,7b08ccbc,2,3,1
EvalMinimax(d=3),white,7b08ccbc,3,0,3121
EvalMinimax(d=3),white,7b08ccbc,3,1,269
EvalMinimax(d=3),white,7b08ccbc,3,2,37
EvalMinimax(d=3),white,7b08ccbc,3,3,1
EvalMinimax(d=3),white,7b08ccbc,4,0,2518
EvalMinimax(d=3),white,7b08ccbc,4,1,282
EvalMinimax(d=3),white,7b08ccbc,4,2,35
EvalMinimax(d=3),white,7b08ccbc,4,3,1
EvalMinimax(d=3),white,7b08ccbc,5,0,1706
EvalMinimax(d=3),white,7b08ccbc,5,1,210
EvalMinimax(d=3),white,7b08ccbc,5,2,32
EvalMinimax(d=3),white,7b08ccbc,5,3,1
EvalMinimax(d=3),white,7b08ccbc,6,0,2215
EvalMinimax(d=3),white,7b08ccbc,6,1,188
EvalMinimax(d=3),white,7b08ccbc,6,2,33
EvalMinimax(d=3),white,7b08ccbc,6,3,1
EvalMinimax(d=3),white,7b08ccbc,7,0,1914
EvalMinimax(d=3),white,7b08ccbc,7,1,139
EvalMinimax(d=3),white,7b08ccbc,7,2,31
EvalMinimax(d=3),white,7b08ccbc,7,3,1
EvalMinimax(d=3),white,7b08ccbc,8,0,2175
EvalMinimax(d=3),white,7b08ccbc,8,1,188
EvalMinimax(d=3),white,7b08ccbc,8,2,30
EvalMinimax(d=3),white,7b08ccbc,8,3,1
EvalMinimax(d=3),white,7b08ccbc,9,0,2801
EvalMinimax(d=3),white,7b08ccbc,9,1,289
EvalMinimax(d=3),white,7b08ccbc,9,2,32
EvalMinimax(d=3),white,7b08ccbc,9,3,1
EvalMinimax(d=3),white,7b08ccbc,10,0,1044
EvalMinimax(d=3),white,7b08ccbc,10,1,135
EvalMinimax(d=3),white,7b08ccbc,10,2,29
EvalMinimax(d=3),white,7b08ccbc,10,3,1
EvalMinimax(d=3),white,7b08ccbc,11,0,2649
EvalMinimax(d=3),white,7b08ccbc,11,1,280
EvalMinimax(d=3),white,7b08ccbc,11,2,31
EvalMinimax(d=3),white,7b08ccbc,11,3,1
EvalMinimax(d=3),white,7b08ccbc,12,0,2199
EvalMinimax(d=3),white,7b08ccbc,12,1,187
EvalMinimax(d=3),white,7b08ccbc,12,2,30
EvalMinimax(d=3),white,7b08ccbc,12,3,1
EvalMinimax(d=3),white,7b08ccbc,13,0,1901
EvalMinimax(d=3),white,7b08ccbc,13,1,155
EvalMinimax(d=3),white,7b08ccbc,13,2,31
EvalMinimax(d=3),white,7b08ccbc,13,3,1
EvalMinimax(d=3),white,7b08ccbc,14,0,1975
EvalMinimax(d=3),white,7b08ccbc,14,1,185
EvalMinimax(d=3),white,7b08ccbc,14,2,31
EvalMinimax(d=3),white,7b08ccbc,14,3,1
EvalMinimax(d=3),white,7b08ccbc,15,0,1316
EvalMinimax(d=3),white,7b08ccbc,15,1,64
EvalMinimax(d=3),white,7b08ccbc,15,2,38
EvalMinimax(d=3),white,7b08ccbc,15,3,1
EvalMinimax(d=3),white,7b08ccbc,16,0,1331
EvalMinimax(d=3),white,7b08ccbc,16,1,66
EvalMinimax(d=3),white,7b08ccbc,16,2,37
EvalMinimax(d=3),white,7b08ccbc,16,3,1
EvalMinimax(d=3),white,7b08ccbc,17,0,1394
EvalMinimax(d=3),white,7b08ccbc,17,1,74
EvalMinimax(d=3),white,7b08ccbc,17,2,38
EvalMinimax(d=3),white,7b08ccbc,17,3,1
EvalMinimax(d=3),white,7b08ccbc,18,0,2258
EvalMinimax(d=3),white,7b08ccbc,18,1,244
EvalMinimax(d=3),white,7b08ccbc,18,2,36
EvalMinimax(d=3),white,7b08ccbc,18,3,1
EvalMinimax(d=3),white,7b08ccbc,19,0,1127
EvalMinimax(d=3),white,7b08ccbc,19,1,76
EvalMinimax(d=3),white,7b08ccbc,19,2,36
EvalMinimax(d=3),white,7b08ccbc,19,3,1
EvalMinimax(d=3),white,7b08ccbc,20,0,3670
EvalMinimax(d=3),white,7b08ccbc,20,1,216
EvalMinimax(d=3),white,7b08ccbc,20,2,44
EvalMinimax(d=3),white,7b08ccbc,20,3,1
EvalMinimax(d=3),white,7b08ccbc,21,0,2254
