agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,9823bd7b,1,0,2257
EvalMinimax(d=3),black,9823bd7b,1,1,197
EvalMinimax(d=3),black,9823bd7b,1,2,20
EvalMinimax(d=3),black,9823bd7b,1,3,1
EvalMinimax(d=3),black,9823bd7b,2,0,1789
EvalMinimax(d=3),black,9823bd7b,2,1,117
EvalMinimax(d=3),black,9823bd7b,2,2,30
EvalMinimax(d=3),black,9823bd7b,2,3,1
EvalMinimax(d=3),black,9823bd7b,3,0,2992
EvalMinimax(d=3),black,9823bd7b,3,1,185
EvalMinimax(d=3),black,9823bd7b,3,2,44
EvalMinimax(d=3),black,9823bd7b,3,3,1
EvalMinimax(d=3),black,9823bd7b,4,0,1694
EvalMinimax(d=3),black,9823bd7b,4,1,188
EvalMinimax(d=3),black,9823bd7b,4,2,41
EvalMinimax(d=3),black,9823bd7b,4,3,1
EvalMinimax(d=3),black,9823bd7b,5,0,1406
EvalMinimax(d=3),black,9823bd7b,5,1,133
EvalMinimax(d=3),black,9823bd7b,5,2,38
EvalMinimax(d=3),black,9823bd7b,5,3,1
EvalMinimax(d=3),black,9823bd7b,6,0,1594
EvalMinimax(d=3),black,9823bd7b,6,1,115
EvalMinimax(d=3),black,9823bd7b,6,2,43
EvalMinimax(d=3),black,9823bd7b,6,3,1
EvalMinimax(d=3),black,9823bd7b,7,0,1498
EvalMinimax(d=3),black,9823bd7b,7,1,79
EvalMinimax(d=3),black,9823bd7b,7,2,43
EvalMinimax(d=3),black,9823bd7b,7,3,1
EvalMinimax(d=3),black,9823bd7b,8,0,1428
EvalMinimax(d=3),black,9823bd7b,8,1,74
EvalMinimax(d=3),black,9823bd7b,8,2,36
EvalMinimax(d=3),black,9823bd7b,8,3,1
EvalMinimax(d=3),black,9823bd7b,9,0,2668
EvalMinimax(d=3),black,9823bd7b,9,1,245
EvalMinimax(d=3),black,9823bd7b,9,2,40
EvalMinimax(d=3),black,9823bd7b,9,3,1
EvalMinimax(d=3),black,9823bd7b,10,0,2417
EvalMinimax(d=3),black,9823bd7b,10,1,248
EvalMinimax(d=3),black,9823bd7b,10,2,36
EvalMinimax(d=3),black,9823bd7b,10,3,1
EvalMinimax(d=3),black,9823bd7b,11,0,1242
EvalMinimax(d=3),black,9823bd7b,11,1,150
EvalMinimax(d=3),black,9823bd7b,11,2,33
EvalMinimax(d=3),black,9823bd7b,11,3,1
EvalMinimax(d=3),black,9823bd7b,12,0,1844
EvalMinimax(d=3),black,9823bd7b,12,1,307
EvalMinimax(d=3),black,9823bd7b,12,2,31
EvalMinimax(d=3),black,9823bd7b,12,3,1
EvalMinimax(d=3),black,9823bd7b,13,0,1969
EvalMinimax(d=3),black,9823bd7b,13,1,338
EvalMinimax(d=3),black,9823bd7b,13,2,31
EvalMinimax(d=3),black,9823bd7b,13,3,1
EvalMinimax(d=3),black,9823bd7b,14,0,1325
EvalMinimax(d=3),black,9823bd7b,14,1,168
EvalMinimax(d=3),black,9823bd7b,14,2,30
EvalMinimax(d=3),black,9823bd7b,14,3,1
EvalMinimax(d=3),black,9823bd7b,15,0,1148
EvalMinimax(d=3),black,9823bd7b,15,1,144
EvalMinimax(d=3),black,9823bd7b,15,2,32
EvalMinimax(d=3),black,9823bd7b,15,3,1
EvalMinimax(d=3),black,9823bd7b,16,0,895
EvalMinimax(d=3),black,9823bd7b,16,1,57
EvalMinimax(d=3),black,9823bd7b,16,2,33
EvalMinimax(d=3),black,9823bd7b,16,3,1
EvalMinimax(d=3),black,9823bd7b,17,0,1447
EvalMinimax(d=3),black,9823bd7b,17,1,106
EvalMinimax(d=3),black,9823bd7b,17,2,45
EvalMinimax(d=3),black,9823bd7b,17,3,1
EvalMinimax(d=3),black,9823bd7b,18,0,2358
EvalMinimax(d=3),black,9823bd7b,18,1,170
EvalMinimax(d=3),black,9823bd7b,18,2,39
EvalMinimax(d=3),black,9823bd7b,18,3,1
EvalMinimax(d=3),black,9823bd7b,19,0,1110
EvalMinimax(d=3),black,9823bd7b,19,1,277
EvalMinimax(d=3),black,9823bd7b,19,2,35
EvalMinimax(d=3),black,9823bd7b,19,3,1
EvalMinimax(d=3),black,9823bd7b,20,0,1031
EvalMinimax(d=3),black,9823bd7b,20,1,139
EvalMinimax(d=3),black,9823bd7b,20,2,38
EvalMinimax(d=3),black,9823bd7b,20,3,1
EvalMinimax(d=3),black,9823bd7b,21,0,1054
EvalMinimax(d=3),black,9823bd7b,21,1,98
EvalMinimax(d=3),black,9823bd7b,21,2,32
EvalMinimax(d=3),black,9823bd7b,21,3,1
EvalMinimax(d=3),black,9823bd7b,22,0,1182
EvalMinimax(d=3),black,9823bd7b,22,1,84
EvalMinimax(d=3),black,9823bd7b,22,2,35
EvalMinimax(d=3),black,9823bd7b,22,3,1
EvalMinimax(d=3),black,9823bd7b,23,0,1299
EvalMinimax(d=3),black,9823bd7b,23,1,94
EvalMinimax(d=3),black,9823bd7b,23,2,37
EvalMinimax(d=3),black,9823bd7b,23,3,1
EvalMinimax(d=3),black,9823bd7b,24,0,1339
EvalMinimax(d=3),black,9823bd7b,24,1,126
EvalMinimax(d=3),black,9823bd7b,24,2,35
EvalMinimax(d=3),black,9823bd7b,24,3,1
EvalMinimax(d=3),black,9823bd7b,25,0,1225
EvalMinimax(d=3),black,9823bd7b,25,1,134
EvalMinimax(d=3),black,9823bd7b,25,2,34
EvalMinimax(d=3),black,9823bd7b,25,3,1
EvalMinimax(d=3),black,9823bd7b,26,0,950
EvalMinimax(d=3),black,9823bd7b,26,1,84
EvalMinimax(d=3),black,9823bd7b,26,2,35
EvalMinimax(d=3),black,9823bd7b,26,3,1
EvalMinimax(d=3),black,9823bd7b,27,0,736
EvalMinimax(d=3),black,9823bd7b,27,1,50
EvalMinimax(d=3),black,9823bd7b,27,2,26
EvalMinimax(d=3),black,9823bd7b,27,3,1
EvalMinimax(d=3),black,9823bd7b,28,0,1387
EvalMinimax(d=3),black,9823bd7b,28,1,143
EvalMinimax(d=3),black,9823bd7b,28,2,32
EvalMinimax(d=3),black,9823bd7b,28,3,1
EvalMinimax(d=3),black,9823bd7b,29,0,1091
EvalMinimax(d=3),black,9823bd7b,29,1,190
EvalMinimax(d=3),black,9823bd7b,29,2,29
