agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,a9711c34,1,0,2096
EvalMinimax(d=3),white,a9711c34,1,1,154
EvalMinimax(d=3),white,a9711c34,1,2,20
EvalMinimax(d=3),white,a9711c34,1,3,1
EvalMinimax(d=3),white,a9711c34,2,0,1466
EvalMinimax(d=3),white,a9711c34,2,1,113
EvalMinimax(d=3),white,a9711c34,2,2,22
EvalMinimax(d=3),white,a9711c34,2,3,1
EvalMinimax(d=3),white,a9711c34,3,0,2286
EvalMinimax(d=3),white,a9711c34,3,1,213
EvalMinimax(d=3),white,a9711c34,3,2,29
EvalMinimax(d=3),white,a9711c34,3,3,1
EvalMinimax(d=3),white,a9711c34,4,0,757
EvalMinimax(d=3),white,a9711c34,4,1,46
EvalMinimax(d=3),white,a9711c34,4,2,26
EvalMinimax(d=3),white,a9711c34,4,3,1
EvalMinimax(d=3),white,a9711c34,5,0,1280
EvalMinimax(d=3),white,a9711c34,5,1,89
EvalMinimax(d=3),white,a9711c34,5,2,32
EvalMinimax(d=3),white,a9711c34,5,3,1
EvalMinimax(d=3),white,a9711c34,6,0,1970
EvalMinimax(d=3),white,a9711c34,6,1,233
EvalMinimax(d=3),white,a9711c34,6,2,31
EvalMinimax(d=3),white,a9711c34,6,3,1
EvalMinimax(d=3),white,a9711c34,7,0,1898
EvalMinimax(d=3),white,a9711c34,7,1,297
EvalMinimax(d=3),white,a9711c34,7,2,35
EvalMinimax(d=3),white,a9711c34,7,3,1
EvalMinimax(d=3),white,a9711c34,8,0,1393
EvalMinimax(d=3),white,a9711c34,8,1,276
EvalMinimax(d=3),white,a9711c34,8,2,31
EvalMinimax(d=3),white,a9711c34,8,3,1
EvalMinimax(d=3),white,a9711c34,9,0,1985
EvalMinimax(d=3),white,a9711c34,9,1,274
EvalMinimax(d=3),white,a9711c34,9,2,40
EvalMinimax(d=3),white,a9711c34,9,3,1
EvalMinimax(d=3),white,a9711c34,10,0,2667
EvalMinimax(d=3),white,a9711c34,10,1,299
EvalMinimax(d=3),white,a9711c34,10,2,36
EvalMinimax(d=3),white,a9711c34,10,3,1
EvalMinimax(d=3),white,a9711c34,11,0,2074
EvalMinimax(d=3),white,a9711c34,11,1,245
EvalMinimax(d=3),white,a9711c34,11,2,32
EvalMinimax(d=3),white,a9711c34,11,3,1
EvalMinimax(d=3),white,a9711c34,12,0,720
EvalMinimax(d=3),white,a9711c34,12,1,58
EvalMinimax(d=3),white,a9711c34,12,2,30
EvalMinimax(d=3),white,a9711c34,12,3,1
EvalMinimax(d=3),white,a9711c34,13,0,889
EvalMinimax(d=3),white,a9711c34,13,1,252
EvalMinimax(d=3),white,a9711c34,13,2,22
EvalMinimax(d=3),white,a9711c34,13,3,1
EvalMinimax(d=3),white,a9711c34,14,0,773
EvalMinimax(d=3),white,a9711c34,14,1,259
EvalMinimax(d=3),white,a9711c34,14,2,21
EvalMinimax(d=3),white,a9711c34,14,3,1
EvalMinimax(d=3),white,a9711c34,15,0,1140
EvalMinimax(d=3),white,a9711c34,15,1,270
EvalMinimax(d=3),white,a9711c34,15,2,27
EvalMinimax(d=3),white,a9711c34,15,3,1
EvalMinimax(d=3),white,a9711c34,16,0,769
EvalMinimax(d=3),white,a9711c34,16,1,65
EvalMinimax(d=3),white,a9711c34,16,2,28
EvalMinimax(d=3),white,a9711c34,16,3,1
EvalMinimax(d=3),white,a9711c34,17,0,1230
EvalMinimax(d=3),white,a9711c34,17,1,150
EvalMinimax(d=3),white,a9711c34,17,2,34
EvalMinimax(d=3),white,a9711c34,17,3,1
EvalMinimax(d=3),white,a9711c34,18,0,2828
EvalMinimax(d=3),white,a9711c34,18,1,359
EvalMinimax(d=3),white,a9711c34,18,2,38
EvalMinimax(d=3),white,a9711c34,18,3,1
EvalMinimax(d=3),white,a9711c34,19,0,2662
EvalMinimax(d=3),white,a9711c34,19,1,428
EvalMinimax(d=3),white,a9711c34,19,2,32
EvalMinimax(d=3),white,a9711c34,19,3,1
EvalMinimax(d=3),white,a9711c34,20,0,1984
EvalMinimax(d=3),white,a9711c34,20,1,318
EvalMinimax(d=3),white,a9711c34,20,2,28
EvalMinimax(d=3),white,a9711c34,20,3,1
EvalMinimax(d=3),white,a9711c34,21,0,890
EvalMinimax(d=3),white,a9711c34,21,1,79
EvalMinimax(d=3),white,a9711c34,21,2,32
EvalMinimax(d=3),white,a9711c34,21,3,1
EvalMinimax(d=3),white,a9711c34,22,0,1100
EvalMinimax(d=3),white,a9711c34,22,1,91
EvalMinimax(d=3),white,a9711c34,22,2,31
EvalMinimax(d=3),white,a9711c34,22,3,1
EvalMinimax(d=3),white,a9711c34,23,0,1193
EvalMinimax(d=3),white,a9711c34,23,1,183
EvalMinimax(d=3),white,a9711c34,23,2,32
EvalMinimax(d=3),white,a9711c34,23,3,1
EvalMinimax(d=3),white,a9711c34,24,0,1709
EvalMinimax(d=3),white,a9711c34,24,1,306
EvalMinimax(d=3),white,a9711c34,24,2,32
EvalMinimax(d=3),white,a9711c34,24,3,1
EvalMinimax(d=3),white,a9711c34,25,0,1202
EvalMinimax(d=3),white,a9711c34,25,1,74
EvalMinimax(d=3),white,a9711c34,25,2,33
EvalMinimax(d=3),white,a9711c34,25,3,1
EvalMinimax(d=3),white,a9711c34,26,0,1933
EvalMinimax(d=3),white,a9711c34,26,1,232
EvalMinimax(d=3),white,a9711c34,26,2,30
EvalMinimax(d=3),white,a9711c34,26,3,1
EvalMinimax(d=3),white,a9711c34,27,0,1434
EvalMinimax(d=3),white,a9711c34,27,1,131
EvalMinimax(d=3),white,a9711c34,27,2,38
EvalMinimax(d=3),white,a9711c34,27,3,1
EvalMinimax(d=3),white,a9711c34,28,0,1600
EvalMinimax(d=3),white,a9711c34,28,1,107
EvalMinimax(d=3),white,a9711c34,28,2,41
