agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,b3d4d427,1,0,2096
EvalMinimax(d=3),white,b3d4d427,1,1,154
EvalMinimax(d=3),white,b3d4d427,1,2,20
EvalMinimax(d=3),white,b3d4d427,1,3,1
EvalMinimax(d=3),white,b3d4d427,2,0,1046
EvalMinimax(d=3),white,b3d4d427,2,1,62
EvalMinimax(d=3),white,b3d4d427,2,2,31
EvalMinimax(d=3),white,b3d4d427,2,3,1
EvalMinimax(d=3),white,b3d4d427,3,0,992
EvalMinimax(d=3),white,b3d4d427,3,1,66
EvalMinimax(d=3),white,b3d4d427,3,2,34
EvalMinimax(d=3),white,b3d4d427,3,3,1
EvalMinimax(d=3),white,b3d4d427,4,0,1740
EvalMinimax(d=3),white,b3d4d427,4,1,254
EvalMinimax(d=3),white,b3d4d427,4,2,27
EvalMinimax(d=3),white,b3d4d427,4,3,1
EvalMinimax(d=3),white,b3d4d427,5,0,1824
EvalMinimax(d=3),white,b3d4d427,5,1,252
EvalMinimax(d=3),white,b3d4d427,5,2,29
EvalMinimax(d=3),white,b3d4d427,5,3,1
EvalMinimax(d=3),white,b3d4d427,6,0,871
EvalMinimax(d=3),white,b3d4d427,6,1,48
EvalMinimax(d=3),white,b3d4d427,6,2,27
EvalMinimax(d=3),white,b3d4d427,6,3,1
EvalMinimax(d=3),white,b3d4d427,7,0,991
EvalMinimax(d=3),white,b3d4d427,7,1,92
EvalMinimax(d=3),white,b3d4d427,7,2,34
EvalMinimax(d=3),white,b3d4d427,7,3,1
EvalMinimax(d=3),white,b3d4d427,8,0,1224
EvalMinimax(d=3),white,b3d4d427,8,1,116
EvalMinimax(d=3),white,b3d4d427,8,2,32
EvalMinimax(d=3),white,b3d4d427,8,3,1
EvalMinimax(d=3),white,b3d4d427,9,0,1215
EvalMinimax(d=3),white,b3d4d427,9,1,175
EvalMinimax(d=3),white,b3d4d427,9,2,32
EvalMinimax(d=3),white,b3d4d427,9,3,1
EvalMinimax(d=3),white,b3d4d427,10,0,1020
EvalMinimax(d=3),white,b3d4d427,10,1,159
EvalMinimax(d=3),white,b3d4d427,10,2,31
EvalMinimax(d=3),white,b3d4d427,10,3,1
EvalMinimax(d=3),white,b3d4d427,11,0,929
EvalMinimax(d=3),white,b3d4d427,11,1,72
EvalMinimax(d=3),white,b3d4d427,11,2,31
EvalMinimax(d=3),white,b3d4d427,11,3,1
EvalMinimax(d=3),white,b3d4d427,12,0,908
EvalMinimax(d=3),white,b3d4d427,12,1,68
EvalMinimax(d=3),white,b3d4d427,12,2,29
EvalMinimax(d=3),white,b3d4d427,12,3,1
EvalMinimax(d=3),white,b3d4d427,13,0,1352
EvalMinimax(d=3),white,b3d4d427,13,1,91
EvalMinimax(d=3),white,b3d4d427,13,2,37
EvalMinimax(d=3),white,b3d4d427,13,3,1
EvalMinimax(d=3),white,b3d4d427,14,0,1497
EvalMinimax(d=3),white,b3d4d427,14,1,149
EvalMinimax(d=3),white,b3d4d427,14,2,37
EvalMinimax(d=3),white,b3d4d427,14,3,1
EvalMinimax(d=3),white,b3d4d427,15,0,2338
EvalMinimax(d=3),white,b3d4d427,15,1,209
EvalMinimax(d=3),white,b3d4d427,15,2,42
EvalMinimax(d=3),white,b3d4d427,15,3,1
EvalMinimax(d=3),white,b3d4d427,16,0,1282
EvalMinimax(d=3),white,b3d4d427,16,1,128
EvalMinimax(d=3),white,b3d4d427,16,2,42
EvalMinimax(d=3),white,b3d4d427,16,3,1
EvalMinimax(d=3),white,b3d4d427,17,0,2340
