agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,e1ea27aa,1,0,2096
EvalMinimax(d=3),white,e1ea27aa,1,1,154
EvalMinimax(d=3),white,e1ea27aa,1,2,20
EvalMinimax(d=3),white,e1ea27aa,1,3,1
EvalMinimax(d=3),white,e1ea27aa,2,0,1247
EvalMinimax(d=3),white,e1ea27aa,2,1,117
EvalMinimax(d=3),white,e1ea27aa,2,2,21
EvalMinimax(d=3),white,e1ea27aa,2,3,1
EvalMinimax(d=3),white,e1ea27aa,3,0,1125
EvalMinimax(d=3),white,e1ea27aa,3,1,51
EvalMinimax(d=3),white,e1ea27aa,3,2,32
EvalMinimax(d=3),white,e1ea27aa,3,3,1
EvalMinimax(d=3),white,e1ea27aa,4,0,1392
EvalMinimax(d=3),white,e1ea27aa,4,1,157
EvalMinimax(d=3),white,e1ea27aa,4,2,31
EvalMinimax(d=3),white,e1ea27aa,4,3,1
EvalMinimax(d=3),white,e1ea27aa,5,0,2392
EvalMinimax(d=3),white,e1ea27aa,5,1,320
EvalMinimax(d=3),white,e1ea27aa,5,2,28
EvalMinimax(d=3),white,e1ea27aa,5,3,1
EvalMinimax(d=3),white,e1ea27aa,6,0,1118
EvalMinimax(d=3),white,e1ea27aa,6,1,91
EvalMinimax(d=3),white,e1ea27aa,6,2,24
EvalMinimax(d=3),white,e1ea27aa,6,3,1
EvalMinimax(d=3),white,e1ea27aa,7,0,2901
EvalMinimax(d=3),white,e1ea27aa,7,1,522
EvalMinimax(d=3),white,e1ea27aa,7,2,28
EvalMinimax(d=3),white,e1ea27aa,7,3,1
EvalMinimax(d=3),white,e1ea27aa,8,0,2894
EvalMinimax(d=3),white,e1ea27aa,8,1,513
EvalMinimax(d=3),white,e1ea27aa,8,2,29
EvalMinimax(d=3),white,e1ea27aa,8,3,1
EvalMinimax(d=3),white,e1ea27aa,9,0,1579
EvalMinimax(d=3),white,e1ea27aa,9,1,167
EvalMinimax(d=3),white,e1ea27aa,9,2,28
EvalMinimax(d=3),white,e1ea27aa,9,3,1
EvalMinimax(d=3),white,e1ea27aa,10,0,939
EvalMinimax(d=3),white,e1ea27aa,10,1,146
EvalMinimax(d=3),white,e1ea27aa,10,2,23
EvalMinimax(d=3),white,e1ea27aa,10,3,1
EvalMinimax(d=3),white,e1ea27aa,11,0,3129
EvalMinimax(d=3),white,e1ea27aa,11,1,289
EvalMinimax(d=3),white,e1ea27aa,11,2,40
EvalMinimax(d=3),white,e1ea27aa,11,3,1
EvalMinimax(d=3),white,e1ea27aa,12,0,1986
EvalMinimax(d=3),white,e1ea27aa,12,1,194
EvalMinimax(d=3),white,e1ea27aa,12,2,40
EvalMinimax(d=3),white,e1ea27aa,12,3,1
EvalMinimax(d=3),white,e1ea27aa,13,0,1582
EvalMinimax(d=3),white,e1ea27aa,13,1,182
EvalMinimax(d=3),white,e1ea27aa,13,2,38
EvalMinimax(d=3),white,e1ea27aa,13,3,1
EvalMinimax(d=3),white,e1ea27aa,14,0,917
EvalMinimax(d=3),white,e1ea27aa,14,1,88
EvalMinimax(d=3),white,e1ea27aa,14,2,39
EvalMinimax(d=3),white,e1ea27aa,14,3,1
EvalMinimax(d=3),white,e1ea27aa,15,0,1780
EvalMinimax(d=3),white,e1ea27aa,15,1,110
EvalMinimax(d=3),white,e1ea27aa,15,2,41
EvalMinimax(d=3),white,e1ea27aa,15,3,1
EvalMinimax(d=3),white,e1ea27aa,16,0,2443
EvalMinimax(d=3),white,e1ea27aa,16,1,204
EvalMinimax(d=3),white,e1ea27aa,16,2,41
EvalMinimax(d=3),white,e1ea27aa,16,3,1
EvalMinimax(d=3),white,e1ea27aa,17,0,2388
EvalMinimax(d=3),white,e1ea27aa,17,1,180
EvalMinimax(d=3),white,e1ea27aa,17,2,37
EvalMinimax(d=3),white,e1ea27aa,17,3,1
EvalMinimax(d=3),white,e1ea27aa,18,0,2619
EvalMinimax(d=3),white,e1ea27aa,18,1,204
EvalMinimax(d=3),white,e1ea27aa,18,2,37
