agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,e213f300,1,0,2096
EvalMinimax(d=3),white,e213f300,1,1,154
EvalMinimax(d=3),white,e213f300,1,2,20
EvalMinimax(d=3),white,e213f300,1,3,1
EvalMinimax(d=3),white,e213f300,2,0,677
EvalMinimax(d=3),white,e213f300,2,1,79
EvalMinimax(d=3),white,e213f300,2,2,19
EvalMinimax(d=3),white,e213f300,2,3,1
EvalMinimax(d=3),white,e213f300,3,0,1168
EvalMinimax(d=3),white,e213f300,3,1,165
EvalMinimax(d=3),white,e213f300,3,2,26
EvalMinimax(d=3),white,e213f300,3,3,1
EvalMinimax(d=3),white,e213f300,4,0,1620
EvalMinimax(d=3),white,e213f300,4,1,150
EvalMinimax(d=3),white,e213f300,4,2,27
EvalMinimax(d=3),white,e213f300,4,3,1
EvalMinimax(d=3),white,e213f300,5,0,1787
EvalMinimax(d=3),white,e213f300,5,1,180
EvalMinimax(d=3),white,e213f300,5,2,26
EvalMinimax(d=3),white,e213f300,5,3,1
EvalMinimax(d=3),white,e213f300,6,0,1482
EvalMinimax(d=3),white,e213f300,6,1,161
EvalMinimax(d=3),white,e213f300,6,2,25
EvalMinimax(d=3),white,e213f300,6,3,1
EvalMinimax(d=3),white,e213f300,7,0,713
EvalMinimax(d=3),white,e213f300,7,1,108
EvalMinimax(d=3),white,e213f300,7,2,21
EvalMinimax(d=3),white,e213f300,7,3,1
EvalMinimax(d=3),white,e213f300,8,0,874
EvalMinimax(d=3),white,e213f300,8,1,55
EvalMinimax(d=3),white,e213f300,8,2,28
EvalMinimax(d=3),white,e213f300,8,3,1
EvalMinimax(d=3),white,e213f300,9,0,1128
EvalMinimax(d=3),white,e213f300,9,1,146
EvalMinimax(d=3),white,e213f300,9,2,26
EvalMinimax(d=3),white,e213f300,9,3,1
EvalMinimax(d=3),white,e213f300,10,0,869
EvalMinimax(d=3),white,e213f300,10,1,145
EvalMinimax(d=3),white,e213f300,10,2,33
EvalMinimax(d=3),white,e213f300,10,3,1
EvalMinimax(d=3),white,e213f300,11,0,584
EvalMinimax(d=3),white,e213f300,11,1,99
EvalMinimax(d=3),white,e213f300,11,2,29
EvalMinimax(d=3),white,e213f300,11,3,1
EvalMinimax(d=3),white,e213f300,12,0,122
EvalMinimax(d=3),white,e213f300,12,1,29
EvalMinimax(d=3),white,e213f300,12,2,6
EvalMinimax(d=3),white,e213f300,12,3,1
EvalMinimax(d=3),white,e213f300,13,0,383
EvalMinimax(d=3),white,e213f300,13,1,43
EvalMinimax(d=3),white,e213f300,13,2,17
EvalMinimax(d=3),white,e213f300,13,3,1
EvalMinimax(d=3),white,e213f300,14,0,511
EvalMinimax(d=3),white,e213f300,14,1,63
EvalMinimax(d=3),white,e213f300,14,2,21
EvalMinimax(d=3),white,e213f300,14,3,1
EvalMinimax(d=3),white,e213f300,15,0,94
EvalMinimax(d=3),white,e213f300,15,1,25
EvalMinimax(d=3),white,e213f300,15,2,7
EvalMinimax(d=3),white,e213f300,15,3,1
EvalMinimax(d=3),white,e213f300,16,0,1345
EvalMinimax(d=3),white,e213f300,16,1,162
EvalMinimax(d=3),white,e213f300,16,2,28
EvalMinimax(d=3),white,e213f300,16,3,1
EvalMinimax(d=3),white,e213f300,17,0,1685
EvalMinimax(d=3),white,e213f300,17,1,219
EvalMinimax(d=3),white,e213f300,17,2,32
EvalMinimax(d=3),white,e213f300,17,3,1
EvalMinimax(d=3),white,e213f300,18,0,1434
EvalMinimax(d=3),white,e213f300,18,1,287
EvalMinimax(d=3),white,e213f300,18,2,30
EvalMinimax(d=3),white,e213f300,18,3,1
EvalMinimax(d=3),white,e213f300,19,0,1398
EvalMinimax(d=3),white,e213f300,19,1,255
EvalMinimax(d=3),white,e213f300,19,2,30
EvalMinimax(d=3),white,e213f300,19,3,1
EvalMinimax(d=3),white,e213f300,20,0,1664
EvalMinimax(d=3),white,e213f300,20,1,337
EvalMinimax(d=3),white,e213f300,20,2,32
EvalMinimax(d=3),white,e213f300,20,3,1
