agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,f79611fb,1,0,2421
EvalMinimax(d=3),black,f79611fb,1,1,248
EvalMinimax(d=3),black,f79611fb,1,2,20
EvalMinimax(d=3),black,f79611fb,1,3,1
EvalMinimax(d=3),black,f79611fb,2,0,1471
EvalMinimax(d=3),black,f79611fb,2,1,278
EvalMinimax(d=3),black,f79611fb,2,2,22
EvalMinimax(d=3),black,f79611fb,2,3,1
EvalMinimax(d=3),black,f79611fb,3,0,1673
EvalMinimax(d=3),black,f79611fb,3,1,292
EvalMinimax(d=3),black,f79611fb,3,2,24
EvalMinimax(d=3),black,f79611fb,3,3,1
EvalMinimax(d=3),black,f79611fb,4,0,2336
EvalMinimax(d=3),black,f79611fb,4,1,359
EvalMinimax(d=3),black,f79611fb,4,2,25
EvalMinimax(d=3),black,f79611fb,4,3,1
EvalMinimax(d=3),black,f79611fb,5,0,1750
EvalMinimax(d=3),black,f79611fb,5,1,300
EvalMinimax(d=3),black,f79611fb,5,2,26
EvalMinimax(d=3),black,f79611fb,5,3,1
EvalMinimax(d=3),black,f79611fb,6,0,2155
EvalMinimax(d=3),black,f79611fb,6,1,166
EvalMinimax(d=3),black,f79611fb,6,2,33
EvalMinimax(d=3),black,f79611fb,6,3,1
EvalMinimax(d=3),black,f79611fb,7,0,2502
EvalMinimax(d=3),black,f79611fb,7,1,324
EvalMinimax(d=3),black,f79611fb,7,2,28
EvalMinimax(d=3),black,f79611fb,7,3,1
EvalMinimax(d=3),black,f79611fb,8,0,409
EvalMinimax(d=3),black,f79611fb,8,1,95
EvalMinimax(d=3),black,f79611fb,8,2,28
EvalMinimax(d=3),black,f79611fb,8,3,1
EvalMinimax(d=3),black,f79611fb,9,0,192
EvalMinimax(d=3),black,f79611fb,9,1,85
EvalMinimax(d=3),black,f79611fb,9,2,23
EvalMinimax(d=3),black,f79611fb,9,3,1
EvalMinimax(d=3),black,f79611fb,10,0,232
EvalMinimax(d=3),black,f79611fb,10,1,83
EvalMinimax(d=3),black,f79611fb,10,2,21
EvalMinimax(d=3),black,f79611fb,10,3,1
EvalMinimax(d=3),black,f79611fb,11,0,584
EvalMinimax(d=3),black,f79611fb,11,1,116
EvalMinimax(d=3),black,f79611fb,11,2,22
EvalMinimax(d=3),black,f79611fb,11,3,1
EvalMinimax(d=3),black,f79611fb,12,0,1200
EvalMinimax(d=3),black,f79611fb,12,1,209
EvalMinimax(d=3),black,f79611fb,12,2,26
EvalMinimax(d=3),black,f79611fb,12,3,1
EvalMinimax(d=3),black,f79611fb,13,0,1341
EvalMinimax(d=3),black,f79611fb,13,1,266
EvalMinimax(d=3),black,f79611fb,13,2,29
EvalMinimax(d=3),black,f79611fb,13,3,1
EvalMinimax(d=3),black,f79611fb,14,0,1446
EvalMinimax(d=3),black,f79611fb,14,1,281
EvalMinimax(d=3),black,f79611fb,14,2,26
EvalMinimax(d=3),black,f79611fb,14,3,1
EvalMinimax(d=3),black,f79611fb,15,0,1744
EvalMinimax(d=3),black,f79611fb,15,1,354
EvalMinimax(d=3),black,f79611fb,15,2,29
EvalMinimax(d=3),black,f79611fb,15,3,1
EvalMinimax(d=3),black,f79611fb,16,0,1143
EvalMinimax(d=3),black,f79611fb,16,1,264
EvalMinimax(d=3),black,f79611fb,16,2,25
EvalMinimax(d=3),black,f79611fb,16,3,1
EvalMinimax(d=3),black,f79611fb,17,0,1754
EvalMinimax(d=3),black,f79611fb,17,1,265
EvalMinimax(d=3),black,f79611fb,17,2,27
EvalMinimax(d=3),black,f79611fb,17,3,1
EvalMinimax(d=3),black,f79611fb,18,0,1653
EvalMinimax(d=3),black,f79611fb,18,1,284
EvalMinimax(d=3),black,f79611fb,18,2,27
EvalMinimax(d=3),black,f79611fb,18,3,1
EvalMinimax(d=3),black,f79611fb,19,0,771
EvalMinimax(d=3),black,f79611fb,19,1,148
EvalMinimax(d=3),black,f79611fb,19,2,19
EvalMinimax(d=3),black,f79611fb,19,3,1
EvalMinimax(d=3),black,f79611fb,20,0,425
EvalMinimax(d=3),black,f79611fb,20,1,127
EvalMinimax(d=3),black,f79611fb,20,2,18
EvalMinimax(d=3),black,f79611fb,20,3,1
EvalMinimax(d=3),black,f79611fb,21,0,520
EvalMinimax(d=3),black,f79611fb,21,1,96
EvalMinimax(d=3),black,f79611fb,21,2,23
EvalMinimax(d=3),black,f79611fb,21,3,1
EvalMinimax(d=3),black,f79611fb,22,0,1076
EvalMinimax(d=3),black,f79611fb,22,1,259
EvalMinimax(d=3),black,f79611fb,22,2,21
EvalMinimax(d=3),black,f79611fb,22,3,1
EvalMinimax(d=3),black,f79611fb,23,0,1188
EvalMinimax(d=3),black,f79611fb,23,1,228
EvalMinimax(d=3),black,f79611fb,23,2,24
EvalMinimax(d=3),black,f79611fb,23,3,1
EvalMinimax(d=3),black,f79611fb,24,0,1053
EvalMinimax(d=3),black,f79611fb,24,1,182
EvalMinimax(d=3),black,f79611fb,24,2,27
EvalMinimax(d=3),black,f79611fb,24,3,1
EvalMinimax(d=3),black,f79611fb,25,0,1069
EvalMinimax(d=3),black,f79611fb,25,1,207
EvalMinimax(d=3),black,f79611fb,25,2,25
EvalMinimax(d=3),black,f79611fb,25,3,1
EvalMinimax(d=3),black,f79611fb,26,0,1465
EvalMinimax(d=3),black,f79611fb,26,1,223
EvalMinimax(d=3),black,f79611fb,26,2,32
EvalMinimax(d=3),black,f79611fb,26,3,1
EvalMinimax(d=3),black,f79611fb,27,0,1393
EvalMinimax(d=3),black,f79611fb,27,1,209
EvalMinimax(d=3),black,f79611fb,27,2,32
EvalMinimax(d=3),black,f79611fb,27,3,1
EvalMinimax(d=3),black,f79611fb,28,0,327
EvalMinimax(d=3),black,f79611fb,28,1,65
EvalMinimax(d=3),black,f79611fb,28,2,28
EvalMinimax(d=3),black,f79611fb,28,3,1
EvalMinimax(d=3),black,f79611fb,29,0,393
EvalMinimax(d=3),black,f79611fb,29,1,101
EvalMinimax(d=3),black,f79611fb,29,2,23
EvalMinimax(d=3),black,f79611fb,29,3,1
EvalMinimax(d=3),black,f79611fb,30,0,49
EvalMinimax(d=3),black,f79611fb,30,1,44
EvalMinimax(d=3),black,f79611fb,30,2,11
EvalMinimax(d=3),black,f79611fb,30,3,1
EvalMinimax(d=3),black,f79611fb,31,0,57
EvalMinimax(d=3),black,f79611fb,31,1,36
EvalMinimax(d=3),black,f79611fb,31,2,1
EvalMinimax(d=3),black,f79611fb,31,3,1
EvalMinimax(d=3),black,f79611fb,32,0,68
EvalMinimax(d=3),black,f79611fb,32,1,43
EvalMinimax(d=3),black,f79611fb,32,2,6
EvalMinimax(d=3),black,f79611fb,32,3,1
EvalMinimax(d=3),black,f79611fb,33,0,34
EvalMinimax(d=3),black,f79611fb,33,1,38
EvalMinimax(d=3),black,f79611fb,33,2,3
EvalMinimax(d=3),black,f79611fb,33,3,1
EvalMinimax(d=3),black,f79611fb,34,0,45
EvalMinimax(d=3),black,f79611fb,34,1,39
