agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,05ab2bc7,1,-2,40
QSearchMinimax(d=3),white,05ab2bc7,1,-1,158
QSearchMinimax(d=3),white,05ab2bc7,1,0,2201
QSearchMinimax(d=3),white,05ab2bc7,1,1,156
QSearchMinimax(d=3),white,05ab2bc7,1,2,20
QSearchMinimax(d=3),white,05ab2bc7,1,3,1
QSearchMinimax(d=3),white,05ab2bc7,2,-2,1156
QSearchMinimax(d=3),white,05ab2bc7,2,-1,1225
QSearchMinimax(d=3),white,05ab2bc7,2,0,4568
QSearchMinimax(d=3),white,05ab2bc7,2,1,241
QSearchMinimax(d=3),white,05ab2bc7,2,2,30
QSearchMinimax(d=3),white,05ab2bc7,2,3,1
QSearchMinimax(d=3),white,05ab2bc7,3,-2,2078
QSearchMinimax(d=3),white,05ab2bc7,3,-1,2177
QSearchMinimax(d=3),white,05ab2bc7,3,0,5721
QSearchMinimax(d=3),white,05ab2bc7,3,1,312
QSearchMinimax(d=3),white,05ab2bc7,3,2,37
QSearchMinimax(d=3),white,05ab2bc7,3,3,1
QSearchMinimax(d=3),white,05ab2bc7,4,-2,2929
QSearchMinimax(d=3),white,05ab2bc7,4,-1,2252
QSearchMinimax(d=3),white,05ab2bc7,4,0,5570
QSearchMinimax(d=3),white,05ab2bc7,4,1,271
QSearchMinimax(d=3),white,05ab2bc7,4,2,38
QSearchMinimax(d=3),white,05ab2bc7,4,3,1
QSearchMinimax(d=3),white,05ab2bc7,5,-2,3339
QSearchMinimax(d=3),white,05ab2bc7,5,-1,1804
QSearchMinimax(d=3),white,05ab2bc7,5,0,1955
QSearchMinimax(d=3),white,05ab2bc7,5,1,144
QSearchMinimax(d=3),white,05ab2bc7,5,2,38
QSearchMinimax(d=3),white,05ab2bc7,5,3,1
QSearchMinimax(d=3),white,05ab2bc7,6,-2,14102
QSearchMinimax(d=3),white,05ab2bc7,6,-1,4664
QSearchMinimax(d=3),white,05ab2bc7,6,0,4733
QSearchMinimax(d=3),white,05ab2bc7,6,1,255
QSearchMinimax(d=3),white,05ab2bc7,6,2,43
QSearchMinimax(d=3),white,05ab2bc7,6,3,1
QSearchMinimax(d=3),white,05ab2bc7,7,-2,5370
QSearchMinimax(d=3),white,05ab2bc7,7,-1,2289
QSearchMinimax(d=3),white,05ab2bc7,7,0,2362
QSearchMinimax(d=3),white,05ab2bc7,7,1,163
QSearchMinimax(d=3),white,05ab2bc7,7,2,40
QSearchMinimax(d=3),white,05ab2bc7,7,3,1
QSearchMinimax(d=3),white,05ab2bc7,8,-2,3419
QSearchMinimax(d=3),white,05ab2bc7,8,-1,1845
QSearchMinimax(d=3),white,05ab2bc7,8,0,1838
QSearchMinimax(d=3),white,05ab2bc7,8,1,131
QSearchMinimax(d=3),white,05ab2bc7,8,2,39
QSearchMinimax(d=3),white,05ab2bc7,8,3,1
QSearchMinimax(d=3),white,05ab2bc7,9,-2,4037
QSearchMinimax(d=3),white,05ab2bc7,9,-1,1742
QSearchMinimax(d=3),white,05ab2bc7,9,0,1740
QSearchMinimax(d=3),white,05ab2bc7,9,1,132
QSearchMinimax(d=3),white,05ab2bc7,9,2,36
QSearchMinimax(d=3),white,05ab2bc7,9,3,1
QSearchMinimax(d=3),white,05ab2bc7,10,-2,4918
QSearchMinimax(d=3),white,05ab2bc7,10,-1,1948
QSearchMinimax(d=3),white,05ab2bc7,10,0,1864
QSearchMinimax(d=3),white,05ab2bc7,10,1,157
QSearchMinimax(d=3),white,05ab2bc7,10,2,35
QSearchMinimax(d=3),white,05ab2bc7,10,3,1
QSearchMinimax(d=3),white,05ab2bc7,11,-2,7599
QSearchMinimax(d=3),white,05ab2bc7,11,-1,3043
QSearchMinimax(d=3),white,05ab2bc7,11,0,2913
QSearchMinimax(d=3),white,05ab2bc7,11,1,266
QSearchMinimax(d=3),white,05ab2bc7,11,2,34
QSearchMinimax(d=3),white,05ab2bc7,11,3,1
QSearchMinimax(d=3),white,05ab2bc7,12,-2,3603
QSearchMinimax(d=3),white,05ab2bc7,12,-1,1430
QSearchMinimax(d=3),white,05ab2bc7,12,0,1354
QSearchMinimax(d=3),white,05ab2bc7,12,1,147
QSearchMinimax(d=3),white,05ab2bc7,12,2,32
QSearchMinimax(d=3),white,05ab2bc7,12,3,1
QSearchMinimax(d=3),white,05ab2bc7,13,-2,2499
QSearchMinimax(d=3),white,05ab2bc7,13,-1,1001
QSearchMinimax(d=3),white,05ab2bc7,13,0,892
QSearchMinimax(d=3),white,05ab2bc7,13,1,143
QSearchMinimax(d=3),white,05ab2bc7,13,2,31
QSearchMinimax(d=3),white,05ab2bc7,13,3,1
QSearchMinimax(d=3),white,05ab2bc7,14,-2,7402
QSearchMinimax(d=3),white,05ab2bc7,14,-1,3037
QSearchMinimax(d=3),white,05ab2bc7,14,0,2811
QSearchMinimax(d=3),white,05ab2bc7,14,1,274
QSearchMinimax(d=3),white,05ab2bc7,14,2,30
QSearchMinimax(d=3),white,05ab2bc7,14,3,1
QSearchMinimax(d=3),white,05ab2bc7,15,-2,8606
QSearchMinimax(d=3),white,05ab2bc7,15,-1,2803
QSearchMinimax(d=3),white,05ab2bc7,15,0,2359
QSearchMinimax(d=3),white,05ab2bc7,15,1,162
QSearchMinimax(d=3),white,05ab2bc7,15,2,31
QSearchMinimax(d=3),white,05ab2bc7,15,3,1
QSearchMinimax(d=3),white,05ab2bc7,16,-2,4980
QSearchMinimax(d=3),white,05ab2bc7,16,-1,2057
QSearchMinimax(d=3),white,05ab2bc7,16,0,1371
QSearchMinimax(d=3),white,05ab2bc7,16,1,171
QSearchMinimax(d=3),white,05ab2bc7,16,2,31
QSearchMinimax(d=3),white,05ab2bc7,16,3,1
QSearchMinimax(d=3),white,05ab2bc7,17,-2,17378
QSearchMinimax(d=3),white,05ab2bc7,17,-1,5929
QSearchMinimax(d=3),white,05ab2bc7,17,0,3871
QSearchMinimax(d=3),white,05ab2bc7,17,1,253
QSearchMinimax(d=3),white,05ab2bc7,17,2,26
QSearchMinimax(d=3),white,05ab2bc7,17,3,1
QSearchMinimax(d=3),white,05ab2bc7,18,-2,3034
QSearchMinimax(d=3),white,05ab2bc7,18,-1,1455
QSearchMinimax(d=3),white,05ab2bc7,18,0,1167
QSearchMinimax(d=3),white,05ab2bc7,18,1,99
QSearchMinimax(d=3),white,05ab2bc7,18,2,31
QSearchMinimax(d=3),white,05ab2bc7,18,3,1
QSearchMinimax(d=3),white,05ab2bc7,19,-2,7303
QSearchMinimax(d=3),white,05ab2bc7,19,-1,3425
QSearchMinimax(d=3),white,05ab2bc7,19,0,2643
QSearchMinimax(d=3),white,05ab2bc7,19,1,228
QSearchMinimax(d=3),white,05ab2bc7,19,2,30
QSearchMinimax(d=3),white,05ab2bc7,19,3,1
QSearchMinimax(d=3),white,05ab2bc7,20,-2,1732
QSearchMinimax(d=3),white,05ab2bc7,20,-1,838
QSearchMinimax(d=3),white,05ab2bc7,20,0,681
QSearchMinimax(d=3),white,05ab2bc7,20,1,90
QSearchMinimax(d=3),white,05ab2bc7,20,2,32
QSearchMinimax(d=3),white,05ab2bc7,20,3,1
QSearchMinimax(d=3),white,05ab2bc7,21,-2,3672
QSearchMinimax(d=3),white,05ab2bc7,21,-1,1797
QSearchMinimax(d=3),white,05ab2bc7,21,0,1191
QSearchMinimax(d=3),white,05ab2bc7,21,1,124
QSearchMinimax(d=3),white,05ab2bc7,21,2,29
QSearchMinimax(d=3),white,05ab2bc7,21,3,1
QSearchMinimax(d=3),white,05ab2bc7,22,-2,5443
QSearchMinimax(d=3),white,05ab2bc7,22,-1,2048
QSearchMinimax(d=3),white,05ab2bc7,22,0,1879
QSearchMinimax(d=3),white,05ab2bc7,22,1,135
QSearchMinimax(d=3),white,05ab2bc7,22,2,32
QSearchMinimax(d=3),white,05ab2bc7,22,3,1
QSearchMinimax(d=3),white,05ab2bc7,23,-2,6952
QSearchMinimax(d=3),white,05ab2bc7,23,-1,2792
QSearchMinimax(d=3),white,05ab2bc7,23,0,2293
QSearchMinimax(d=3),white,05ab2bc7,23,1,258
QSearchMinimax(d=3),white,05ab2bc7,23,2,30
QSearchMinimax(d=3),white,05ab2bc7,23,3,1
QSearchMinimax(d=3),white,05ab2bc7,24,-2,8213
QSearchMinimax(d=3),white,05ab2bc7,24,-1,2909
QSearchMinimax(d=3),white,05ab2bc7,24,0,2406
QSearchMinimax(d=3),white,05ab2bc7,24,1,288
QSearchMinimax(d=3),white,05ab2bc7,24,2,32
QSearchMinimax(d=3),white,05ab2bc7,24,3,1
QSearchMinimax(d=3),white,05ab2bc7,25,-2,5542
QSearchMinimax(d=3),white,05ab2bc7,25,-1,2020
QSearchMinimax(d=3),white,05ab2bc7,25,0,1639
QSearchMinimax(d=3),white,05ab2bc7,25,1,169
QSearchMinimax(d=3),white,05ab2bc7,25,2,33
QSearchMinimax(d=3),white,05ab2bc7,25,3,1
QSearchMinimax(d=3),white,05ab2bc7,26,-2,3768
QSearchMinimax(d=3),white,05ab2bc7,26,-1,1319
QSearchMinimax(d=3),white,05ab2bc7,26,0,1164
QSearchMinimax(d=3),white,05ab2bc7,26,1,103
QSearchMinimax(d=3),white,05ab2bc7,26,2,27
QSearchMinimax(d=3),white,05ab2bc7,26,3,1
QSearchMinimax(d=3),white,05ab2bc7,27,-2,4839
QSearchMinimax(d=3),white,05ab2bc7,27,-1,2098
QSearchMinimax(d=3),white,05ab2bc7,27,0,1757
QSearchMinimax(d=3),white,05ab2bc7,27,1,220
QSearchMinimax(d=3),white,05ab2bc7,27,2,35
QSearchMinimax(d=3),white,05ab2bc7,27,3,1
QSearchMinimax(d=3),white,05ab2bc7,28,-2,48
QSearchMinimax(d=3),white,05ab2bc7,28,-1,30
QSearchMinimax(d=3),white,05ab2bc7,28,0,52
QSearchMinimax(d=3),white,05ab2bc7,28,1,33
QSearchMinimax(d=3),white,05ab2bc7,28,2,2
QSearchMinimax(d=3),white,05ab2bc7,28,3,1
QSearchMinimax(d=3),white,05ab2bc7,29,-2,13
QSearchMinimax(d=3),white,05ab2bc7,29,-1,18
QSearchMinimax(d=3),white,05ab2bc7,29,0,51
QSearchMinimax(d=3),white,05ab2bc7,29,1,27
QSearchMinimax(d=3),white,05ab2bc7,29,2,4
QSearchMinimax(d=3),white,05ab2bc7,29,3,1
QSearchMinimax(d=3),white,05ab2bc7,30,-2,698
QSearchMinimax(d=3),white,05ab2bc7,30,-1,548
QSearchMinimax(d=3),white,05ab2bc7,30,0,1595
QSearchMinimax(d=3),white,05ab2bc7,30,1,151
QSearchMinimax(d=3),white,05ab2bc7,30,2,20
QSearchMinimax(d=3),white,05ab2bc7,30,3,1
