agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,0d672e7a,1,-2,40
QSearchMinimax(d=3),white,0d672e7a,1,-1,158
QSearchMinimax(d=3),white,0d672e7a,1,0,2201
QSearchMinimax(d=3),white,0d672e7a,1,1,156
QSearchMinimax(d=3),white,0d672e7a,1,2,20
QSearchMinimax(d=3),white,0d672e7a,1,3,1
QSearchMinimax(d=3),white,0d672e7a,2,-2,162
QSearchMinimax(d=3),white,0d672e7a,2,-1,365
QSearchMinimax(d=3),white,0d672e7a,2,0,2037
QSearchMinimax(d=3),white,0d672e7a,2,1,191
QSearchMinimax(d=3),white,0d672e7a,2,2,21
QSearchMinimax(d=3),white,0d672e7a,2,3,1
QSearchMinimax(d=3),white,0d672e7a,3,-2,577
QSearchMinimax(d=3),white,0d672e7a,3,-1,648
QSearchMinimax(d=3),white,0d672e7a,3,0,3012
QSearchMinimax(d=3),white,0d672e7a,3,1,226
QSearchMinimax(d=3),white,0d672e7a,3,2,28
QSearchMinimax(d=3),white,0d672e7a,3,3,1
QSearchMinimax(d=3),white,0d672e7a,4,-2,2455
QSearchMinimax(d=3),white,0d672e7a,4,-1,1295
QSearchMinimax(d=3),white,0d672e7a,4,0,1562
QSearchMinimax(d=3),white,0d672e7a,4,1,202
QSearchMinimax(d=3),white,0d672e7a,4,2,26
QSearchMinimax(d=3),white,0d672e7a,4,3,1
QSearchMinimax(d=3),white,0d672e7a,5,-2,5798
QSearchMinimax(d=3),white,0d672e7a,5,-1,3021
QSearchMinimax(d=3),white,0d672e7a,5,0,2408
QSearchMinimax(d=3),white,0d672e7a,5,1,321
QSearchMinimax(d=3),white,0d672e7a,5,2,28
QSearchMinimax(d=3),white,0d672e7a,5,3,1
QSearchMinimax(d=3),white,0d672e7a,6,-2,15169
QSearchMinimax(d=3),white,0d672e7a,6,-1,6419
QSearchMinimax(d=3),white,0d672e7a,6,0,5637
QSearchMinimax(d=3),white,0d672e7a,6,1,444
QSearchMinimax(d=3),white,0d672e7a,6,2,29
QSearchMinimax(d=3),white,0d672e7a,6,3,1
QSearchMinimax(d=3),white,0d672e7a,7,-2,3195
QSearchMinimax(d=3),white,0d672e7a,7,-1,1613
QSearchMinimax(d=3),white,0d672e7a,7,0,1553
QSearchMinimax(d=3),white,0d672e7a,7,1,225
QSearchMinimax(d=3),white,0d672e7a,7,2,28
QSearchMinimax(d=3),white,0d672e7a,7,3,1
QSearchMinimax(d=3),white,0d672e7a,8,-2,5050
QSearchMinimax(d=3),white,0d672e7a,8,-1,2513
QSearchMinimax(d=3),white,0d672e7a,8,0,2142
QSearchMinimax(d=3),white,0d672e7a,8,1,266
QSearchMinimax(d=3),white,0d672e7a,8,2,26
QSearchMinimax(d=3),white,0d672e7a,8,3,1
QSearchMinimax(d=3),white,0d672e7a,9,-2,4977
QSearchMinimax(d=3),white,0d672e7a,9,-1,2498
QSearchMinimax(d=3),white,0d672e7a,9,0,2365
QSearchMinimax(d=3),white,0d672e7a,9,1,217
