agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,49028b21,1,-2,202
QSearchMinimax(d=3),black,49028b21,1,-1,267
QSearchMinimax(d=3),black,49028b21,1,0,2341
QSearchMinimax(d=3),black,49028b21,1,1,204
QSearchMinimax(d=3),black,49028b21,1,2,20
QSearchMinimax(d=3),black,49028b21,1,3,1
QSearchMinimax(d=3),black,49028b21,2,-2,1270
QSearchMinimax(d=3),black,49028b21,2,-1,970
QSearchMinimax(d=3),black,49028b21,2,0,1950
QSearchMinimax(d=3),black,49028b21,2,1,338
QSearchMinimax(d=3),black,49028b21,2,2,19
QSearchMinimax(d=3),black,49028b21,2,3,1
QSearchMinimax(d=3),black,49028b21,3,-2,2156
QSearchMinimax(d=3),black,49028b21,3,-1,1531
QSearchMinimax(d=3),black,49028b21,3,0,2526
QSearchMinimax(d=3),black,49028b21,3,1,322
QSearchMinimax(d=3),black,49028b21,3,2,27
QSearchMinimax(d=3),black,49028b21,3,3,1
QSearchMinimax(d=3),black,49028b21,4,-2,5085
QSearchMinimax(d=3),black,49028b21,4,-1,2713
QSearchMinimax(d=3),black,49028b21,4,0,3048
QSearchMinimax(d=3),black,49028b21,4,1,223
QSearchMinimax(d=3),black,49028b21,4,2,27
QSearchMinimax(d=3),black,49028b21,4,3,1
QSearchMinimax(d=3),black,49028b21,5,-2,4437
QSearchMinimax(d=3),black,49028b21,5,-1,1775
QSearchMinimax(d=3),black,49028b21,5,0,2409
QSearchMinimax(d=3),black,49028b21,5,1,215
QSearchMinimax(d=3),black,49028b21,5,2,28
QSearchMinimax(d=3),black,49028b21,5,3,1
QSearchMinimax(d=3),black,49028b21,6,-2,11476
QSearchMinimax(d=3),black,49028b21,6,-1,4086
QSearchMinimax(d=3),black,49028b21,6,0,4572
QSearchMinimax(d=3),black,49028b21,6,1,412
QSearchMinimax(d=3),black,49028b21,6,2,36
QSearchMinimax(d=3),black,49028b21,6,3,1
QSearchMinimax(d=3),black,49028b21,7,-2,3705
QSearchMinimax(d=3),black,49028b21,7,-1,1359
QSearchMinimax(d=3),black,49028b21,7,0,1419
QSearchMinimax(d=3),black,49028b21,7,1,127
QSearchMinimax(d=3),black,49028b21,7,2,35
QSearchMinimax(d=3),black,49028b21,7,3,1
QSearchMinimax(d=3),black,49028b21,8,-2,2730
QSearchMinimax(d=3),black,49028b21,8,-1,1102
QSearchMinimax(d=3),black,49028b21,8,0,1089
QSearchMinimax(d=3),black,49028b21,8,1,100
QSearchMinimax(d=3),black,49028b21,8,2,30
QSearchMinimax(d=3),black,49028b21,8,3,1
QSearchMinimax(d=3),black,49028b21,9,-2,8340
QSearchMinimax(d=3),black,49028b21,9,-1,2862
QSearchMinimax(d=3),black,49028b21,9,0,3078
QSearchMinimax(d=3),black,49028b21,9,1,348
QSearchMinimax(d=3),black,49028b21,9,2,31
QSearchMinimax(d=3),black,49028b21,9,3,1
QSearchMinimax(d=3),black,49028b21,10,-2,3892
QSearchMinimax(d=3),black,49028b21,10,-1,1407
QSearchMinimax(d=3),black,49028b21,10,0,1449
QSearchMinimax(d=3),black,49028b21,10,1,161
QSearchMinimax(d=3),black,49028b21,10,2,27
QSearchMinimax(d=3),black,49028b21,10,3,1
QSearchMinimax(d=3),black,49028b21,11,-2,4359
QSearchMinimax(d=3),black,49028b21,11,-1,1533
QSearchMinimax(d=3),black,49028b21,11,0,1502
QSearchMinimax(d=3),black,49028b21,11,1,166
QSearchMinimax(d=3),black,49028b21,11,2,26
QSearchMinimax(d=3),black,49028b21,11,3,1
QSearchMinimax(d=3),black,49028b21,12,-2,4982
QSearchMinimax(d=3),black,49028b21,12,-1,1577
QSearchMinimax(d=3),black,49028b21,12,0,1579
QSearchMinimax(d=3),black,49028b21,12,1,124
QSearchMinimax(d=3),black,49028b21,12,2,25
QSearchMinimax(d=3),black,49028b21,12,3,1
QSearchMinimax(d=3),black,49028b21,13,-2,5227
QSearchMinimax(d=3),black,49028b21,13,-1,1745
QSearchMinimax(d=3),black,49028b21,13,0,1719
QSearchMinimax(d=3),black,49028b21,13,1,143
QSearchMinimax(d=3),black,49028b21,13,2,32
QSearchMinimax(d=3),black,49028b21,13,3,1
QSearchMinimax(d=3),black,49028b21,14,-2,7226
