agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,7b08ccbc,1,-2,480
QSearchMinimax(d=3),black,7b08ccbc,1,-1,488
QSearchMinimax(d=3),black,7b08ccbc,1,0,1922
QSearchMinimax(d=3),black,7b08ccbc,1,1,175
QSearchMinimax(d=3),black,7b08ccbc,1,2,20
QSearchMinimax(d=3),black,7b08ccbc,1,3,1
QSearchMinimax(d=3),black,7b08ccbc,2,-2,1057
QSearchMinimax(d=3),black,7b08ccbc,2,-1,1423
QSearchMinimax(d=3),black,7b08ccbc,2,0,1216
QSearchMinimax(d=3),black,7b08ccbc,2,1,237
QSearchMinimax(d=3),black,7b08ccbc,2,2,21
QSearchMinimax(d=3),black,7b08ccbc,2,3,1
QSearchMinimax(d=3),black,7b08ccbc,3,-2,3488
QSearchMinimax(d=3),black,7b08ccbc,3,-1,2682
QSearchMinimax(d=3),black,7b08ccbc,3,0,2485
QSearchMinimax(d=3),black,7b08ccbc,3,1,371
QSearchMinimax(d=3),black,7b08ccbc,3,2,20
QSearchMinimax(d=3),black,7b08ccbc,3,3,1
QSearchMinimax(d=3),black,7b08ccbc,4,-2,3497
QSearchMinimax(d=3),black,7b08ccbc,4,-1,2500
QSearchMinimax(d=3),black,7b08ccbc,4,0,2521
QSearchMinimax(d=3),black,7b08ccbc,4,1,360
QSearchMinimax(d=3),black,7b08ccbc,4,2,21
QSearchMinimax(d=3),black,7b08ccbc,4,3,1
QSearchMinimax(d=3),black,7b08ccbc,5,-2,3281
QSearchMinimax(d=3),black,7b08ccbc,5,-1,2228
QSearchMinimax(d=3),black,7b08ccbc,5,0,2285
QSearchMinimax(d=3),black,7b08ccbc,5,1,290
QSearchMinimax(d=3),black,7b08ccbc,5,2,20
QSearchMinimax(d=3),black,7b08ccbc,5,3,1
QSearchMinimax(d=3),black,7b08ccbc,6,-2,6707
QSearchMinimax(d=3),black,7b08ccbc,6,-1,3968
QSearchMinimax(d=3),black,7b08ccbc,6,0,4060
QSearchMinimax(d=3),black,7b08ccbc,6,1,415
QSearchMinimax(d=3),black,7b08ccbc,6,2,27
QSearchMinimax(d=3),black,7b08ccbc,6,3,1
QSearchMinimax(d=3),black,7b08ccbc,7,-2,5329
QSearchMinimax(d=3),black,7b08ccbc,7,-1,2998
QSearchMinimax(d=3),black,7b08ccbc,7,0,2474
QSearchMinimax(d=3),black,7b08ccbc,7,1,314
QSearchMinimax(d=3),black,7b08ccbc,7,2,23
QSearchMinimax(d=3),black,7b08ccbc,7,3,1
QSearchMinimax(d=3),black,7b08ccbc,8,-2,6290
QSearchMinimax(d=3),black,7b08ccbc,8,-1,3572
QSearchMinimax(d=3),black,7b08ccbc,8,0,3031
QSearchMinimax(d=3),black,7b08ccbc,8,1,335
QSearchMinimax(d=3),black,7b08ccbc,8,2,24
QSearchMinimax(d=3),black,7b08ccbc,8,3,1
QSearchMinimax(d=3),black,7b08ccbc,9,-2,8413
QSearchMinimax(d=3),black,7b08ccbc,9,-1,3841
QSearchMinimax(d=3),black,7b08ccbc,9,0,3389
QSearchMinimax(d=3),black,7b08ccbc,9,1,344
QSearchMinimax(d=3),black,7b08ccbc,9,2,25
QSearchMinimax(d=3),black,7b08ccbc,9,3,1
QSearchMinimax(d=3),black,7b08ccbc,10,-2,3539
QSearchMinimax(d=3),black,7b08ccbc,10,-1,1556
QSearchMinimax(d=3),black,7b08ccbc,10,0,1395
QSearchMinimax(d=3),black,7b08ccbc,10,1,185
QSearchMinimax(d=3),black,7b08ccbc,10,2,26
QSearchMinimax(d=3),black,7b08ccbc,10,3,1
QSearchMinimax(d=3),black,7b08ccbc,11,-2,14203
QSearchMinimax(d=3),black,7b08ccbc,11,-1,5093
QSearchMinimax(d=3),black,7b08ccbc,11,0,4005
