agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,888bb9a5,1,-2,40
QSearchMinimax(d=3),white,888bb9a5,1,-1,158
QSearchMinimax(d=3),white,888bb9a5,1,0,2201
QSearchMinimax(d=3),white,888bb9a5,1,1,156
QSearchMinimax(d=3),white,888bb9a5,1,2,20
QSearchMinimax(d=3),white,888bb9a5,1,3,1
QSearchMinimax(d=3),white,888bb9a5,2,-2,216
QSearchMinimax(d=3),white,888bb9a5,2,-1,272
QSearchMinimax(d=3),white,888bb9a5,2,0,2391
QSearchMinimax(d=3),white,888bb9a5,2,1,209
QSearchMinimax(d=3),white,888bb9a5,2,2,19
QSearchMinimax(d=3),white,888bb9a5,2,3,1
QSearchMinimax(d=3),white,888bb9a5,3,-2,1430
QSearchMinimax(d=3),white,888bb9a5,3,-1,1040
QSearchMinimax(d=3),white,888bb9a5,3,0,2063
QSearchMinimax(d=3),white,888bb9a5,3,1,342
QSearchMinimax(d=3),white,888bb9a5,3,2,18
QSearchMinimax(d=3),white,888bb9a5,3,3,1
QSearchMinimax(d=3),white,888bb9a5,4,-2,1228
QSearchMinimax(d=3),white,888bb9a5,4,-1,1504
QSearchMinimax(d=3),white,888bb9a5,4,0,2343
QSearchMinimax(d=3),white,888bb9a5,4,1,315
QSearchMinimax(d=3),white,888bb9a5,4,2,19
QSearchMinimax(d=3),white,888bb9a5,4,3,1
QSearchMinimax(d=3),white,888bb9a5,5,-2,1589
QSearchMinimax(d=3),white,888bb9a5,5,-1,1302
QSearchMinimax(d=3),white,888bb9a5,5,0,2083
QSearchMinimax(d=3),white,888bb9a5,5,1,339
QSearchMinimax(d=3),white,888bb9a5,5,2,18
QSearchMinimax(d=3),white,888bb9a5,5,3,1
QSearchMinimax(d=3),white,888bb9a5,6,-2,2403
QSearchMinimax(d=3),white,888bb9a5,6,-1,1620
QSearchMinimax(d=3),white,888bb9a5,6,0,2308
QSearchMinimax(d=3),white,888bb9a5,6,1,231
QSearchMinimax(d=3),white,888bb9a5,6,2,24
QSearchMinimax(d=3),white,888bb9a5,6,3,1
QSearchMinimax(d=3),white,888bb9a5,7,-2,9083
QSearchMinimax(d=3),white,888bb9a5,7,-1,5106
QSearchMinimax(d=3),white,888bb9a5,7,0,4285
QSearchMinimax(d=3),white,888bb9a5,7,1,450
QSearchMinimax(d=3),white,888bb9a5,7,2,21
QSearchMinimax(d=3),white,888bb9a5,7,3,1
QSearchMinimax(d=3),white,888bb9a5,8,-2,6853
QSearchMinimax(d=3),white,888bb9a5,8,-1,3115
QSearchMinimax(d=3),white,888bb9a5,8,0,2580
