agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,a9711c34,1,-2,351
QSearchMinimax(d=3),black,a9711c34,1,-1,462
QSearchMinimax(d=3),black,a9711c34,1,0,2823
QSearchMinimax(d=3),black,a9711c34,1,1,266
QSearchMinimax(d=3),black,a9711c34,1,2,20
QSearchMinimax(d=3),black,a9711c34,1,3,1
QSearchMinimax(d=3),black,a9711c34,2,-2,1426
QSearchMinimax(d=3),black,a9711c34,2,-1,1111
QSearchMinimax(d=3),black,a9711c34,2,0,1384
QSearchMinimax(d=3),black,a9711c34,2,1,272
QSearchMinimax(d=3),black,a9711c34,2,2,19
QSearchMinimax(d=3),black,a9711c34,2,3,1
QSearchMinimax(d=3),black,a9711c34,3,-2,2565
QSearchMinimax(d=3),black,a9711c34,3,-1,1615
QSearchMinimax(d=3),black,a9711c34,3,0,1366
QSearchMinimax(d=3),black,a9711c34,3,1,256
QSearchMinimax(d=3),black,a9711c34,3,2,18
QSearchMinimax(d=3),black,a9711c34,3,3,1
QSearchMinimax(d=3),black,a9711c34,4,-2,5442
QSearchMinimax(d=3),black,a9711c34,4,-1,2528
QSearchMinimax(d=3),black,a9711c34,4,0,2272
QSearchMinimax(d=3),black,a9711c34,4,1,231
QSearchMinimax(d=3),black,a9711c34,4,2,20
QSearchMinimax(d=3),black,a9711c34,4,3,1
QSearchMinimax(d=3),black,a9711c34,5,-2,6289
QSearchMinimax(d=3),black,a9711c34,5,-1,2354
QSearchMinimax(d=3),black,a9711c34,5,0,2029
QSearchMinimax(d=3),black,a9711c34,5,1,372
QSearchMinimax(d=3),black,a9711c34,5,2,22
QSearchMinimax(d=3),black,a9711c34,5,3,1
QSearchMinimax(d=3),black,a9711c34,6,-2,5546
QSearchMinimax(d=3),black,a9711c34,6,-1,3050
QSearchMinimax(d=3),black,a9711c34,6,0,2490
QSearchMinimax(d=3),black,a9711c34,6,1,363
QSearchMinimax(d=3),black,a9711c34,6,2,22
QSearchMinimax(d=3),black,a9711c34,6,3,1
QSearchMinimax(d=3),black,a9711c34,7,-2,3678
QSearchMinimax(d=3),black,a9711c34,7,-1,1895
QSearchMinimax(d=3),black,a9711c34,7,0,1677
QSearchMinimax(d=3),black,a9711c34,7,1,211
QSearchMinimax(d=3),black,a9711c34,7,2,33
QSearchMinimax(d=3),black,a9711c34,7,3,1
QSearchMinimax(d=3),black,a9711c34,8,-2,6488
QSearchMinimax(d=3),black,a9711c34,8,-1,2389
QSearchMinimax(d=3),black,a9711c34,8,0,2119
QSearchMinimax(d=3),black,a9711c34,8,1,194
QSearchMinimax(d=3),black,a9711c34,8,2,36
QSearchMinimax(d=3),black,a9711c34,8,3,1
QSearchMinimax(d=3),black,a9711c34,9,-2,3237
QSearchMinimax(d=3),black,a9711c34,9,-1,1494
QSearchMinimax(d=3),black,a9711c34,9,0,1362
QSearchMinimax(d=3),black,a9711c34,9,1,162
QSearchMinimax(d=3),black,a9711c34,9,2,32
QSearchMinimax(d=3),black,a9711c34,9,3,1
QSearchMinimax(d=3),black,a9711c34,10,-2,5712
QSearchMinimax(d=3),black,a9711c34,10,-1,2632
QSearchMinimax(d=3),black,a9711c34,10,0,2291
QSearchMinimax(d=3),black,a9711c34,10,1,216
QSearchMinimax(d=3),black,a9711c34,10,2,31
QSearchMinimax(d=3),black,a9711c34,10,3,1
QSearchMinimax(d=3),black,a9711c34,11,-2,6082
QSearchMinimax(d=3),black,a9711c34,11,-1,2619
QSearchMinimax(d=3),black,a9711c34,11,0,2232
QSearchMinimax(d=3),black,a9711c34,11,1,294
QSearchMinimax(d=3),black,a9711c34,11,2,27
QSearchMinimax(d=3),black,a9711c34,11,3,1
QSearchMinimax(d=3),black,a9711c34,12,-2,2512
QSearchMinimax(d=3),black,a9711c34,12,-1,853
QSearchMinimax(d=3),black,a9711c34,12,0,837
QSearchMinimax(d=3),black,a9711c34,12,1,50
QSearchMinimax(d=3),black,a9711c34,12,2,29
QSearchMinimax(d=3),black,a9711c34,12,3,1
QSearchMinimax(d=3),black,a9711c34,13,-2,2229
QSearchMinimax(d=3),black,a9711c34,13,-1,1065
QSearchMinimax(d=3),black,a9711c34,13,0,1013
QSearchMinimax(d=3),black,a9711c34,13,1,138
QSearchMinimax(d=3),black,a9711c34,13,2,32
QSearchMinimax(d=3),black,a9711c34,13,3,1
QSearchMinimax(d=3),black,a9711c34,14,-2,2903
QSearchMinimax(d=3),black,a9711c34,14,-1,1296
