agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,e213f300,1,-2,51
QSearchMinimax(d=3),black,e213f300,1,-1,156
QSearchMinimax(d=3),black,e213f300,1,0,2042
QSearchMinimax(d=3),black,e213f300,1,1,169
QSearchMinimax(d=3),black,e213f300,1,2,20
QSearchMinimax(d=3),black,e213f300,1,3,1
QSearchMinimax(d=3),black,e213f300,2,-2,1997
QSearchMinimax(d=3),black,e213f300,2,-1,1341
QSearchMinimax(d=3),black,e213f300,2,0,1659
QSearchMinimax(d=3),black,e213f300,2,1,188
QSearchMinimax(d=3),black,e213f300,2,2,21
QSearchMinimax(d=3),black,e213f300,2,3,1
QSearchMinimax(d=3),black,e213f300,3,-2,1629
QSearchMinimax(d=3),black,e213f300,3,-1,1193
QSearchMinimax(d=3),black,e213f300,3,0,1412
QSearchMinimax(d=3),black,e213f300,3,1,158
QSearchMinimax(d=3),black,e213f300,3,2,19
QSearchMinimax(d=3),black,e213f300,3,3,1
QSearchMinimax(d=3),black,e213f300,4,-2,1810
QSearchMinimax(d=3),black,e213f300,4,-1,1115
QSearchMinimax(d=3),black,e213f300,4,0,1401
QSearchMinimax(d=3),black,e213f300,4,1,207
QSearchMinimax(d=3),black,e213f300,4,2,18
QSearchMinimax(d=3),black,e213f300,4,3,1
QSearchMinimax(d=3),black,e213f300,5,-2,1585
QSearchMinimax(d=3),black,e213f300,5,-1,956
QSearchMinimax(d=3),black,e213f300,5,0,1159
QSearchMinimax(d=3),black,e213f300,5,1,175
QSearchMinimax(d=3),black,e213f300,5,2,17
QSearchMinimax(d=3),black,e213f300,5,3,1
QSearchMinimax(d=3),black,e213f300,6,-2,2845
QSearchMinimax(d=3),black,e213f300,6,-1,1542
QSearchMinimax(d=3),black,e213f300,6,0,1378
QSearchMinimax(d=3),black,e213f300,6,1,144
QSearchMinimax(d=3),black,e213f300,6,2,17
QSearchMinimax(d=3),black,e213f300,6,3,1
QSearchMinimax(d=3),black,e213f300,7,-2,4784
QSearchMinimax(d=3),black,e213f300,7,-1,2197
QSearchMinimax(d=3),black,e213f300,7,0,1841
QSearchMinimax(d=3),black,e213f300,7,1,169
QSearchMinimax(d=3),black,e213f300,7,2,18
QSearchMinimax(d=3),black,e213f300,7,3,1
QSearchMinimax(d=3),black,e213f300,8,-2,8136
QSearchMinimax(d=3),black,e213f300,8,-1,2524
QSearchMinimax(d=3),black,e213f300,8,0,2035
QSearchMinimax(d=3),black,e213f300,8,1,155
QSearchMinimax(d=3),black,e213f300,8,2,27
QSearchMinimax(d=3),black,e213f300,8,3,1
QSearchMinimax(d=3),black,e213f300,9,-2,14038
QSearchMinimax(d=3),black,e213f300,9,-1,4719
QSearchMinimax(d=3),black,e213f300,9,0,3862
QSearchMinimax(d=3),black,e213f300,9,1,286
QSearchMinimax(d=3),black,e213f300,9,2,35
QSearchMinimax(d=3),black,e213f300,9,3,1
QSearchMinimax(d=3),black,e213f300,10,-2,5156
QSearchMinimax(d=3),black,e213f300,10,-1,1500
QSearchMinimax(d=3),black,e213f300,10,0,1297
