agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,f79611fb,1,-2,40
QSearchMinimax(d=3),white,f79611fb,1,-1,158
QSearchMinimax(d=3),white,f79611fb,1,0,2201
QSearchMinimax(d=3),white,f79611fb,1,1,156
QSearchMinimax(d=3),white,f79611fb,1,2,20
QSearchMinimax(d=3),white,f79611fb,1,3,1
QSearchMinimax(d=3),white,f79611fb,2,-2,2851
QSearchMinimax(d=3),white,f79611fb,2,-1,1500
QSearchMinimax(d=3),white,f79611fb,2,0,2373
QSearchMinimax(d=3),white,f79611fb,2,1,235
QSearchMinimax(d=3),white,f79611fb,2,2,28
QSearchMinimax(d=3),white,f79611fb,2,3,1
QSearchMinimax(d=3),white,f79611fb,3,-2,6063
QSearchMinimax(d=3),white,f79611fb,3,-1,2448
QSearchMinimax(d=3),white,f79611fb,3,0,2769
QSearchMinimax(d=3),white,f79611fb,3,1,223
QSearchMinimax(d=3),white,f79611fb,3,2,29
QSearchMinimax(d=3),white,f79611fb,3,3,1
QSearchMinimax(d=3),white,f79611fb,4,-2,5633
QSearchMinimax(d=3),white,f79611fb,4,-1,2151
QSearchMinimax(d=3),white,f79611fb,4,0,2337
QSearchMinimax(d=3),white,f79611fb,4,1,231
QSearchMinimax(d=3),white,f79611fb,4,2,28
QSearchMinimax(d=3),white,f79611fb,4,3,1
QSearchMinimax(d=3),white,f79611fb,5,-2,6281
QSearchMinimax(d=3),white,f79611fb,5,-1,2472
QSearchMinimax(d=3),white,f79611fb,5,0,2537
QSearchMinimax(d=3),white,f79611fb,5,1,273
QSearchMinimax(d=3),white,f79611fb,5,2,27
QSearchMinimax(d=3),white,f79611fb,5,3,1
QSearchMinimax(d=3),white,f79611fb,6,-2,9570
QSearchMinimax(d=3),white,f79611fb,6,-1,4453
QSearchMinimax(d=3),white,f79611fb,6,0,4063
QSearchMinimax(d=3),white,f79611fb,6,1,347
QSearchMinimax(d=3),white,f79611fb,6,2,24
QSearchMinimax(d=3),white,f79611fb,6,3,1
QSearchMinimax(d=3),white,f79611fb,7,-2,13448
QSearchMinimax(d=3),white,f79611fb,7,-1,4677
QSearchMinimax(d=3),white,f79611fb,7,0,4295
QSearchMinimax(d=3),white,f79611fb,7,1,406
QSearchMinimax(d=3),white,f79611fb,7,2,32
QSearchMinimax(d=3),white,f79611fb,7,3,1
QSearchMinimax(d=3),white,f79611fb,8,-2,1966
QSearchMinimax(d=3),white,f79611fb,8,-1,848
QSearchMinimax(d=3),white,f79611fb,8,0,799
QSearchMinimax(d=3),white,f79611fb,8,1,57
QSearchMinimax(d=3),white,f79611fb,8,2,30
QSearchMinimax(d=3),white,f79611fb,8,3,1
QSearchMinimax(d=3),white,f79611fb,9,-2,1724
QSearchMinimax(d=3),white,f79611fb,9,-1,1064
QSearchMinimax(d=3),white,f79611fb,9,0,1002
QSearchMinimax(d=3),white,f79611fb,9,1,54
QSearchMinimax(d=3),white,f79611fb,9,2,32
QSearchMinimax(d=3),white,f79611fb,9,3,1
QSearchMinimax(d=3),white,f79611fb,10,-2,4077
QSearchMinimax(d=3),white,f79611fb,10,-1,1424
QSearchMinimax(d=3),white,f79611fb,10,0,1290
QSearchMinimax(d=3),white,f79611fb,10,1,81
QSearchMinimax(d=3),white,f79611fb,10,2,36
QSearchMinimax(d=3),white,f79611fb,10,3,1
QSearchMinimax(d=3),white,f79611fb,11,-2,4827
QSearchMinimax(d=3),white,f79611fb,11,-1,1820
QSearchMinimax(d=3),white,f79611fb,11,0,1878
QSearchMinimax(d=3),white,f79611fb,11,1,199
QSearchMinimax(d=3),white,f79611fb,11,2,34
QSearchMinimax(d=3),white,f79611fb,11,3,1
QSearchMinimax(d=3),white,f79611fb,12,-2,9544
QSearchMinimax(d=3),white,f79611fb,12,-1,2406
QSearchMinimax(d=3),white,f79611fb,12,0,2196
QSearchMinimax(d=3),white,f79611fb,12,1,85
QSearchMinimax(d=3),white,f79611fb,12,2,34
QSearchMinimax(d=3),white,f79611fb,12,3,1
QSearchMinimax(d=3),white,f79611fb,13,-2,3574
QSearchMinimax(d=3),white,f79611fb,13,-1,1650
QSearchMinimax(d=3),white,f79611fb,13,0,1325
QSearchMinimax(d=3),white,f79611fb,13,1,90
QSearchMinimax(d=3),white,f79611fb,13,2,33
QSearchMinimax(d=3),white,f79611fb,13,3,1
QSearchMinimax(d=3),white,f79611fb,14,-2,5283
QSearchMinimax(d=3),white,f79611fb,14,-1,2140
QSearchMinimax(d=3),white,f79611fb,14,0,1729
QSearchMinimax(d=3),white,f79611fb,14,1,129
QSearchMinimax(d=3),white,f79611fb,14,2,39
QSearchMinimax(d=3),white,f79611fb,14,3,1
QSearchMinimax(d=3),white,f79611fb,15,-2,7379
QSearchMinimax(d=3),white,f79611fb,15,-1,3804
QSearchMinimax(d=3),white,f79611fb,15,0,2889
QSearchMinimax(d=3),white,f79611fb,15,1,159
QSearchMinimax(d=3),white,f79611fb,15,2,34
QSearchMinimax(d=3),white,f79611fb,15,3,1
QSearchMinimax(d=3),white,f79611fb,16,-2,8386
QSearchMinimax(d=3),white,f79611fb,16,-1,4492
QSearchMinimax(d=3),white,f79611fb,16,0,3319
QSearchMinimax(d=3),white,f79611fb,16,1,196
QSearchMinimax(d=3),white,f79611fb,16,2,33
QSearchMinimax(d=3),white,f79611fb,16,3,1
QSearchMinimax(d=3),white,f79611fb,17,-2,5156
QSearchMinimax(d=3),white,f79611fb,17,-1,2206
QSearchMinimax(d=3),white,f79611fb,17,0,1737
QSearchMinimax(d=3),white,f79611fb,17,1,138
QSearchMinimax(d=3),white,f79611fb,17,2,36
QSearchMinimax(d=3),white,f79611fb,17,3,1
QSearchMinimax(d=3),white,f79611fb,18,-2,4000
QSearchMinimax(d=3),white,f79611fb,18,-1,1802
QSearchMinimax(d=3),white,f79611fb,18,0,1517
QSearchMinimax(d=3),white,f79611fb,18,1,96
QSearchMinimax(d=3),white,f79611fb,18,2,38
QSearchMinimax(d=3),white,f79611fb,18,3,1
QSearchMinimax(d=3),white,f79611fb,19,-2,9496
QSearchMinimax(d=3),white,f79611fb,19,-1,4609
QSearchMinimax(d=3),white,f79611fb,19,0,3520
QSearchMinimax(d=3),white,f79611fb,19,1,188
QSearchMinimax(d=3),white,f79611fb,19,2,36
QSearchMinimax(d=3),white,f79611fb,19,3,1
QSearchMinimax(d=3),white,f79611fb,20,-2,3980
QSearchMinimax(d=3),white,f79611fb,20,-1,1299
QSearchMinimax(d=3),white,f79611fb,20,0,1254
QSearchMinimax(d=3),white,f79611fb,20,1,63
QSearchMinimax(d=3),white,f79611fb,20,2,39
QSearchMinimax(d=3),white,f79611fb,20,3,1
QSearchMinimax(d=3),white,f79611fb,21,-2,7150
QSearchMinimax(d=3),white,f79611fb,21,-1,1592
QSearchMinimax(d=3),white,f79611fb,21,0,1545
QSearchMinimax(d=3),white,f79611fb,21,1,63
QSearchMinimax(d=3),white,f79611fb,21,2,41
QSearchMinimax(d=3),white,f79611fb,21,3,1
QSearchMinimax(d=3),white,f79611fb,22,-2,9647
QSearchMinimax(d=3),white,f79611fb,22,-1,4141
QSearchMinimax(d=3),white,f79611fb,22,0,3473
QSearchMinimax(d=3),white,f79611fb,22,1,304
QSearchMinimax(d=3),white,f79611fb,22,2,38
QSearchMinimax(d=3),white,f79611fb,22,3,1
QSearchMinimax(d=3),white,f79611fb,23,-2,3206
QSearchMinimax(d=3),white,f79611fb,23,-1,1862
QSearchMinimax(d=3),white,f79611fb,23,0,1912
QSearchMinimax(d=3),white,f79611fb,23,1,231
QSearchMinimax(d=3),white,f79611fb,23,2,35
QSearchMinimax(d=3),white,f79611fb,23,3,1
QSearchMinimax(d=3),white,f79611fb,24,-2,6073
QSearchMinimax(d=3),white,f79611fb,24,-1,3206
QSearchMinimax(d=3),white,f79611fb,24,0,3275
QSearchMinimax(d=3),white,f79611fb,24,1,333
QSearchMinimax(d=3),white,f79611fb,24,2,36
QSearchMinimax(d=3),white,f79611fb,24,3,1
QSearchMinimax(d=3),white,f79611fb,25,-2,4452
QSearchMinimax(d=3),white,f79611fb,25,-1,2466
QSearchMinimax(d=3),white,f79611fb,25,0,2813
QSearchMinimax(d=3),white,f79611fb,25,1,203
QSearchMinimax(d=3),white,f79611fb,25,2,45
QSearchMinimax(d=3),white,f79611fb,25,3,1
QSearchMinimax(d=3),white,f79611fb,26,-2,7845
QSearchMinimax(d=3),white,f79611fb,26,-1,4061
QSearchMinimax(d=3),white,f79611fb,26,0,4004
QSearchMinimax(d=3),white,f79611fb,26,1,456
QSearchMinimax(d=3),white,f79611fb,26,2,42
QSearchMinimax(d=3),white,f79611fb,26,3,1
QSearchMinimax(d=3),white,f79611fb,27,-2,8113
QSearchMinimax(d=3),white,f79611fb,27,-1,4292
QSearchMinimax(d=3),white,f79611fb,27,0,4194
QSearchMinimax(d=3),white,f79611fb,27,1,491
QSearchMinimax(d=3),white,f79611fb,27,2,42
QSearchMinimax(d=3),white,f79611fb,27,3,1
QSearchMinimax(d=3),white,f79611fb,28,-2,6886
QSearchMinimax(d=3),white,f79611fb,28,-1,3042
QSearchMinimax(d=3),white,f79611fb,28,0,2874
QSearchMinimax(d=3),white,f79611fb,28,1,181
QSearchMinimax(d=3),white,f79611fb,28,2,39
QSearchMinimax(d=3),white,f79611fb,28,3,1
QSearchMinimax(d=3),white,f79611fb,29,-2,5089
QSearchMinimax(d=3),white,f79611fb,29,-1,1545
QSearchMinimax(d=3),white,f79611fb,29,0,1606
QSearchMinimax(d=3),white,f79611fb,29,1,119
QSearchMinimax(d=3),white,f79611fb,29,2,38
QSearchMinimax(d=3),white,f79611fb,29,3,1
QSearchMinimax(d=3),white,f79611fb,30,-2,4406
QSearchMinimax(d=3),white,f79611fb,30,-1,1238
QSearchMinimax(d=3),white,f79611fb,30,0,1247
QSearchMinimax(d=3),white,f79611fb,30,1,51
QSearchMinimax(d=3),white,f79611fb,30,2,41
QSearchMinimax(d=3),white,f79611fb,30,3,1
QSearchMinimax(d=3),white,f79611fb,31,-2,1416
QSearchMinimax(d=3),white,f79611fb,31,-1,560
QSearchMinimax(d=3),white,f79611fb,31,0,650
QSearchMinimax(d=3),white,f79611fb,31,1,36
QSearchMinimax(d=3),white,f79611fb,31,2,34
QSearchMinimax(d=3),white,f79611fb,31,3,1
QSearchMinimax(d=3),white,f79611fb,32,-2,1061
