agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,41cf8069,1,0,2096
EvalMinimax(d=3),white,41cf8069,1,1,154
EvalMinimax(d=3),white,41cf8069,1,2,20
EvalMinimax(d=3),white,41cf8069,1,3,1
EvalMinimax(d=3),white,41cf8069,2,0,507
EvalMinimax(d=3),white,41cf8069,2,1,42
EvalMinimax(d=3),white,41cf8069,2,2,22
EvalMinimax(d=3),white,41cf8069,2,3,1
EvalMinimax(d=3),white,41cf8069,3,0,1528
EvalMinimax(d=3),white,41cf8069,3,1,140
EvalMinimax(d=3),white,41cf8069,3,2,20
EvalMinimax(d=3),white,41cf8069,3,3,1
EvalMinimax(d=3),white,41cf8069,4,0,1095
EvalMinimax(d=3),white,41cf8069,4,1,171
EvalMinimax(d=3),white,41cf8069,4,2,22
EvalMinimax(d=3),white,41cf8069,4,3,1
EvalMinimax(d=3),white,41cf8069,5,0,1238
EvalMinimax(d=3),white,41cf8069,5,1,196
EvalMinimax(d=3),white,41cf8069,5,2,23
EvalMinimax(d=3),white,41cf8069,5,3,1
EvalMinimax(d=3),white,41cf8069,6,0,1358
EvalMinimax(d=3),white,41cf8069,6,1,196
EvalMinimax(d=3),white,41cf8069,6,2,24
EvalMinimax(d=3),white,41cf8069,6,3,1
EvalMinimax(d=3),white,41cf8069,7,0,1523
EvalMinimax(d=3),white,41cf8069,7,1,190
EvalMinimax(d=3),white,41cf8069,7,2,27
EvalMinimax(d=3),white,41cf8069,7,3,1
EvalMinimax(d=3),white,41cf8069,8,0,1130
EvalMinimax(d=3),white,41cf8069,8,1,162
EvalMinimax(d=3),white,41cf8069,8,2,27
EvalMinimax(d=3),white,41cf8069,8,3,1
EvalMinimax(d=3),white,41cf8069,9,0,656
EvalMinimax(d=3),white,41cf8069,9,1,62
EvalMinimax(d=3),white,41cf8069,9,2,24
EvalMinimax(d=3),white,41cf8069,9,3,1
EvalMinimax(d=3),white,41cf8069,10,0,1051
EvalMinimax(d=3),white,41cf8069,10,1,169
EvalMinimax(d=3),white,41cf8069,10,2,22
EvalMinimax(d=3),white,41cf8069,10,3,1
EvalMinimax(d=3),white,41cf8069,11,0,951
EvalMinimax(d=3),white,41cf8069,11,1,232
EvalMinimax(d=3),white,41cf8069,11,2,26
EvalMinimax(d=3),white,41cf8069,11,3,1
EvalMinimax(d=3),white,41cf8069,12,0,956
EvalMinimax(d=3),white,41cf8069,12,1,139
EvalMinimax(d=3),white,41cf8069,12,2,27
EvalMinimax(d=3),white,41cf8069,12,3,1
EvalMinimax(d=3),white,41cf8069,13,0,1022
EvalMinimax(d=3),white,41cf8069,13,1,233
EvalMinimax(d=3),white,41cf8069,13,2,29
EvalMinimax(d=3),white,41cf8069,13,3,1
EvalMinimax(d=3),white,41cf8069,14,0,821
EvalMinimax(d=3),white,41cf8069,14,1,180
EvalMinimax(d=3),white,41cf8069,14,2,24
EvalMinimax(d=3),white,41cf8069,14,3,1
EvalMinimax(d=3),white,41cf8069,15,0,1117
EvalMinimax(d=3),white,41cf8069,15,1,263
EvalMinimax(d=3),white,41cf8069,15,2,19
EvalMinimax(d=3),white,41cf8069,15,3,1
EvalMinimax(d=3),white,41cf8069,16,0,1037
EvalMinimax(d=3),white,41cf8069,16,1,285
EvalMinimax(d=3),white,41cf8069,16,2,21
EvalMinimax(d=3),white,41cf8069,16,3,1
EvalMinimax(d=3),white,41cf8069,17,0,337
EvalMinimax(d=3),white,41cf8069,17,1,54
EvalMinimax(d=3),white,41cf8069,17,2,18
EvalMinimax(d=3),white,41cf8069,17,3,1
EvalMinimax(d=3),white,41cf8069,18,0,441
EvalMinimax(d=3),white,41cf8069,18,1,154
EvalMinimax(d=3),white,41cf8069,18,2,18
EvalMinimax(d=3),white,41cf8069,18,3,1
EvalMinimax(d=3),white,41cf8069,19,0,511
EvalMinimax(d=3),white,41cf8069,19,1,214
EvalMinimax(d=3),white,41cf8069,19,2,18
EvalMinimax(d=3),white,41cf8069,19,3,1
EvalMinimax(d=3),white,41cf8069,20,0,486
EvalMinimax(d=3),white,41cf8069,20,1,208
EvalMinimax(d=3),white,41cf8069,20,2,16
EvalMinimax(d=3),white,41cf8069,20,3,1
EvalMinimax(d=3),white,41cf8069,21,0,520
EvalMinimax(d=3),white,41cf8069,21,1,224
EvalMinimax(d=3),white,41cf8069,21,2,18
EvalMinimax(d=3),white,41cf8069,21,3,1
EvalMinimax(d=3),white,41cf8069,22,0,503
