agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,4f735167,1,0,2209
EvalMinimax(d=3),black,4f735167,1,1,195
EvalMinimax(d=3),black,4f735167,1,2,20
EvalMinimax(d=3),black,4f735167,1,3,1
EvalMinimax(d=3),black,4f735167,2,0,2865
EvalMinimax(d=3),black,4f735167,2,1,268
EvalMinimax(d=3),black,4f735167,2,2,20
EvalMinimax(d=3),black,4f735167,2,3,1
EvalMinimax(d=3),black,4f735167,3,0,1509
EvalMinimax(d=3),black,4f735167,3,1,146
EvalMinimax(d=3),black,4f735167,3,2,21
EvalMinimax(d=3),black,4f735167,3,3,1
EvalMinimax(d=3),black,4f735167,4,0,1010
EvalMinimax(d=3),black,4f735167,4,1,111
EvalMinimax(d=3),black,4f735167,4,2,26
EvalMinimax(d=3),black,4f735167,4,3,1
EvalMinimax(d=3),black,4f735167,5,0,880
EvalMinimax(d=3),black,4f735167,5,1,248
EvalMinimax(d=3),black,4f735167,5,2,25
EvalMinimax(d=3),black,4f735167,5,3,1
EvalMinimax(d=3),black,4f735167,6,0,798
EvalMinimax(d=3),black,4f735167,6,1,234
EvalMinimax(d=3),black,4f735167,6,2,25
EvalMinimax(d=3),black,4f735167,6,3,1
EvalMinimax(d=3),black,4f735167,7,0,795
EvalMinimax(d=3),black,4f735167,7,1,106
EvalMinimax(d=3),black,4f735167,7,2,26
EvalMinimax(d=3),black,4f735167,7,3,1
EvalMinimax(d=3),black,4f735167,8,0,974
EvalMinimax(d=3),black,4f735167,8,1,166
EvalMinimax(d=3),black,4f735167,8,2,30
EvalMinimax(d=3),black,4f735167,8,3,1
EvalMinimax(d=3),black,4f735167,9,0,1145
EvalMinimax(d=3),black,4f735167,9,1,330
EvalMinimax(d=3),black,4f735167,9,2,26
EvalMinimax(d=3),black,4f735167,9,3,1
EvalMinimax(d=3),black,4f735167,10,0,1257
EvalMinimax(d=3),black,4f735167,10,1,407
EvalMinimax(d=3),black,4f735167,10,2,27
EvalMinimax(d=3),black,4f735167,10,3,1
EvalMinimax(d=3),black,4f735167,11,0,910
EvalMinimax(d=3),black,4f735167,11,1,190
EvalMinimax(d=3),black,4f735167,11,2,28
EvalMinimax(d=3),black,4f735167,11,3,1
EvalMinimax(d=3),black,4f735167,12,0,928
EvalMinimax(d=3),black,4f735167,12,1,300
EvalMinimax(d=3),black,4f735167,12,2,24
EvalMinimax(d=3),black,4f735167,12,3,1
EvalMinimax(d=3),black,4f735167,13,0,528
EvalMinimax(d=3),black,4f735167,13,1,70
EvalMinimax(d=3),black,4f735167,13,2,21
EvalMinimax(d=3),black,4f735167,13,3,1
EvalMinimax(d=3),black,4f735167,14,0,991
EvalMinimax(d=3),black,4f735167,14,1,200
EvalMinimax(d=3),black,4f735167,14,2,26
EvalMinimax(d=3),black,4f735167,14,3,1
EvalMinimax(d=3),black,4f735167,15,0,1021
EvalMinimax(d=3),black,4f735167,15,1,128
EvalMinimax(d=3),black,4f735167,15,2,30
EvalMinimax(d=3),black,4f735167,15,3,1
EvalMinimax(d=3),black,4f735167,16,0,2052
EvalMinimax(d=3),black,4f735167,16,1,464
EvalMinimax(d=3),black,4f735167,16,2,31
EvalMinimax(d=3),black,4f735167,16,3,1
EvalMinimax(d=3),black,4f735167,17,0,1952
EvalMinimax(d=3),black,4f735167,17,1,408
EvalMinimax(d=3),black,4f735167,17,2,33
EvalMinimax(d=3),black,4f735167,17,3,1
EvalMinimax(d=3),black,4f735167,18,0,1755
