agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,5b49e195,1,0,2096
EvalMinimax(d=3),white,5b49e195,1,1,154
EvalMinimax(d=3),white,5b49e195,1,2,20
EvalMinimax(d=3),white,5b49e195,1,3,1
EvalMinimax(d=3),white,5b49e195,2,0,2964
EvalMinimax(d=3),white,5b49e195,2,1,250
EvalMinimax(d=3),white,5b49e195,2,2,19
EvalMinimax(d=3),white,5b49e195,2,3,1
EvalMinimax(d=3),white,5b49e195,3,0,1045
EvalMinimax(d=3),white,5b49e195,3,1,130
EvalMinimax(d=3),white,5b49e195,3,2,20
EvalMinimax(d=3),white,5b49e195,3,3,1
EvalMinimax(d=3),white,5b49e195,4,0,1549
EvalMinimax(d=3),white,5b49e195,4,1,131
EvalMinimax(d=3),white,5b49e195,4,2,21
EvalMinimax(d=3),white,5b49e195,4,3,1
EvalMinimax(d=3),white,5b49e195,5,0,767
EvalMinimax(d=3),white,5b49e195,5,1,227
EvalMinimax(d=3),white,5b49e195,5,2,28
EvalMinimax(d=3),white,5b49e195,5,3,1
EvalMinimax(d=3),white,5b49e195,6,0,1593
EvalMinimax(d=3),white,5b49e195,6,1,203
EvalMinimax(d=3),white,5b49e195,6,2,27
EvalMinimax(d=3),white,5b49e195,6,3,1
EvalMinimax(d=3),white,5b49e195,7,0,1261
EvalMinimax(d=3),white,5b49e195,7,1,158
EvalMinimax(d=3),white,5b49e195,7,2,24
EvalMinimax(d=3),white,5b49e195,7,3,1
EvalMinimax(d=3),white,5b49e195,8,0,717
EvalMinimax(d=3),white,5b49e195,8,1,155
EvalMinimax(d=3),white,5b49e195,8,2,24
EvalMinimax(d=3),white,5b49e195,8,3,1
EvalMinimax(d=3),white,5b49e195,9,0,995
EvalMinimax(d=3),white,5b49e195,9,1,218
EvalMinimax(d=3),white,5b49e195,9,2,27
EvalMinimax(d=3),white,5b49e195,9,3,1
EvalMinimax(d=3),white,5b49e195,10,0,845
EvalMinimax(d=3),white,5b49e195,10,1,226
EvalMinimax(d=3),white,5b49e195,10,2,25
EvalMinimax(d=3),white,5b49e195,10,3,1
EvalMinimax(d=3),white,5b49e195,11,0,1423
EvalMinimax(d=3),white,5b49e195,11,1,287
EvalMinimax(d=3),white,5b49e195,11,2,26
EvalMinimax(d=3),white,5b49e195,11,3,1
EvalMinimax(d=3),white,5b49e195,12,0,1841
EvalMinimax(d=3),white,5b49e195,12,1,373
EvalMinimax(d=3),white,5b49e195,12,2,26
EvalMinimax(d=3),white,5b49e195,12,3,1
EvalMinimax(d=3),white,5b49e195,13,0,2179
EvalMinimax(d=3),white,5b49e195,13,1,392
EvalMinimax(d=3),white,5b49e195,13,2,32
EvalMinimax(d=3),white,5b49e195,13,3,1
EvalMinimax(d=3),white,5b49e195,14,0,2092
EvalMinimax(d=3),white,5b49e195,14,1,355
EvalMinimax(d=3),white,5b49e195,14,2,33
EvalMinimax(d=3),white,5b49e195,14,3,1
EvalMinimax(d=3),white,5b49e195,15,0,2900
EvalMinimax(d=3),white,5b49e195,15,1,428
EvalMinimax(d=3),white,5b49e195,15,2,37
EvalMinimax(d=3),white,5b49e195,15,3,1
EvalMinimax(d=3),white,5b49e195,16,0,3444
EvalMinimax(d=3),white,5b49e195,16,1,325
EvalMinimax(d=3),white,5b49e195,16,2,33
EvalMinimax(d=3),white,5b49e195,16,3,1
EvalMinimax(d=3),white,5b49e195,17,0,860
EvalMinimax(d=3),white,5b49e195,17,1,59
EvalMinimax(d=3),white,5b49e195,17,2,34
EvalMinimax(d=3),white,5b49e195,17,3,1
EvalMinimax(d=3),white,5b49e195,18,0,1429
EvalMinimax(d=3),white,5b49e195,18,1,245
EvalMinimax(d=3),white,5b49e195,18,2,30
EvalMinimax(d=3),white,5b49e195,18,3,1
EvalMinimax(d=3),white,5b49e195,19,0,1209
EvalMinimax(d=3),white,5b49e195,19,1,181
EvalMinimax(d=3),white,5b49e195,19,2,33
EvalMinimax(d=3),white,5b49e195,19,3,1
EvalMinimax(d=3),white,5b49e195,20,0,731
EvalMinimax(d=3),white,5b49e195,20,1,68
EvalMinimax(d=3),white,5b49e195,20,2,34
EvalMinimax(d=3),white,5b49e195,20,3,1
EvalMinimax(d=3),white,5b49e195,21,0,945
EvalMinimax(d=3),white,5b49e195,21,1,104
EvalMinimax(d=3),white,5b49e195,21,2,29
EvalMinimax(d=3),white,5b49e195,21,3,1
EvalMinimax(d=3),white,5b49e195,22,0,1231
EvalMinimax(d=3),white,5b49e195,22,1,149
EvalMinimax(d=3),white,5b49e195,22,2,36
EvalMinimax(d=3),white,5b49e195,22,3,1
EvalMinimax(d=3),white,5b49e195,23,0,1567
EvalMinimax(d=3),white,5b49e195,23,1,118
EvalMinimax(d=3),white,5b49e195,23,2,41
EvalMinimax(d=3),white,5b49e195,23,3,1
EvalMinimax(d=3),white,5b49e195,24,0,1730
EvalMinimax(d=3),white,5b49e195,24,1,141
EvalMinimax(d=3),white,5b49e195,24,2,43
EvalMinimax(d=3),white,5b49e195,24,3,1
EvalMinimax(d=3),white,5b49e195,25,0,1901
EvalMinimax(d=3),white,5b49e195,25,1,245
EvalMinimax(d=3),white,5b49e195,25,2,42
EvalMinimax(d=3),white,5b49e195,25,3,1
EvalMinimax(d=3),white,5b49e195,26,0,1202
EvalMinimax(d=3),white,5b49e195,26,1,86
EvalMinimax(d=3),white,5b49e195,26,2,39
EvalMinimax(d=3),white,5b49e195,26,3,1
EvalMinimax(d=3),white,5b49e195,27,0,1324
EvalMinimax(d=3),white,5b49e195,27,1,119
EvalMinimax(d=3),white,5b49e195,27,2,36
EvalMinimax(d=3),white,5b49e195,27,3,1
EvalMinimax(d=3),white,5b49e195,28,0,974
EvalMinimax(d=3),white,5b49e195,28,1,77
EvalMinimax(d=3),white,5b49e195,28,2,33
EvalMinimax(d=3),white,5b49e195,28,3,1
EvalMinimax(d=3),white,5b49e195,29,0,930
EvalMinimax(d=3),white,5b49e195,29,1,238
EvalMinimax(d=3),white,5b49e195,29,2,22
EvalMinimax(d=3),white,5b49e195,29,3,1
EvalMinimax(d=3),white,5b49e195,30,0,896
EvalMinimax(d=3),white,5b49e195,30,1,180
EvalMinimax(d=3),white,5b49e195,30,2,23
EvalMinimax(d=3),white,5b49e195,30,3,1
EvalMinimax(d=3),white,5b49e195,31,0,89
EvalMinimax(d=3),white,5b49e195,31,1,42
EvalMinimax(d=3),white,5b49e195,31,2,3
EvalMinimax(d=3),white,5b49e195,31,3,1
EvalMinimax(d=3),white,5b49e195,32,0,608
EvalMinimax(d=3),white,5b49e195,32,1,118
EvalMinimax(d=3),white,5b49e195,32,2,24
EvalMinimax(d=3),white,5b49e195,32,3,1
EvalMinimax(d=3),white,5b49e195,33,0,59
EvalMinimax(d=3),white,5b49e195,33,1,37
EvalMinimax(d=3),white,5b49e195,33,2,1
EvalMinimax(d=3),white,5b49e195,33,3,1
EvalMinimax(d=3),white,5b49e195,34,0,139
EvalMinimax(d=3),white,5b49e195,34,1,50
EvalMinimax(d=3),white,5b49e195,34,2,3
EvalMinimax(d=3),white,5b49e195,34,3,1
EvalMinimax(d=3),white,5b49e195,35,0,899
EvalMinimax(d=3),white,5b49e195,35,1,217
EvalMinimax(d=3),white,5b49e195,35,2,30
EvalMinimax(d=3),white,5b49e195,35,3,1
EvalMinimax(d=3),white,5b49e195,36,0,1047
EvalMinimax(d=3),white,5b49e195,36,1,220
EvalMinimax(d=3),white,5b49e195,36,2,37
EvalMinimax(d=3),white,5b49e195,36,3,1
EvalMinimax(d=3),white,5b49e195,37,0,1044
EvalMinimax(d=3),white,5b49e195,37,1,319
EvalMinimax(d=3),white,5b49e195,37,2,23
EvalMinimax(d=3),white,5b49e195,37,3,1
EvalMinimax(d=3),white,5b49e195,38,0,1047
EvalMinimax(d=3),white,5b49e195,38,1,220
EvalMinimax(d=3),white,5b49e195,38,2,37
EvalMinimax(d=3),white,5b49e195,38,3,1
EvalMinimax(d=3),white,5b49e195,39,0,516
EvalMinimax(d=3),white,5b49e195,39,1,78
EvalMinimax(d=3),white,5b49e195,39,2,30
EvalMinimax(d=3),white,5b49e195,39,3,1
EvalMinimax(d=3),white,5b49e195,40,0,466
EvalMinimax(d=3),white,5b49e195,40,1,170
EvalMinimax(d=3),white,5b49e195,40,2,23
EvalMinimax(d=3),white,5b49e195,40,3,1
EvalMinimax(d=3),white,5b49e195,41,0,137
EvalMinimax(d=3),white,5b49e195,41,1,96
EvalMinimax(d=3),white,5b49e195,41,2,12
EvalMinimax(d=3),white,5b49e195,41,3,1
EvalMinimax(d=3),white,5b49e195,42,0,133
EvalMinimax(d=3),white,5b49e195,42,1,52
EvalMinimax(d=3),white,5b49e195,42,2,17
EvalMinimax(d=3),white,5b49e195,42,3,1
EvalMinimax(d=3),white,5b49e195,43,0,91
EvalMinimax(d=3),white,5b49e195,43,1,43
EvalMinimax(d=3),white,5b49e195,43,2,5
EvalMinimax(d=3),white,5b49e195,43,3,1
EvalMinimax(d=3),white,5b49e195,44,0,144
EvalMinimax(d=3),white,5b49e195,44,1,58
EvalMinimax(d=3),white,5b49e195,44,2,15
EvalMinimax(d=3),white,5b49e195,44,3,1
EvalMinimax(d=3),white,5b49e195,45,0,254
EvalMinimax(d=3),white,5b49e195,45,1,84
EvalMinimax(d=3),white,5b49e195,45,2,14
EvalMinimax(d=3),white,5b49e195,45,3,1
EvalMinimax(d=3),white,5b49e195,46,0,83
EvalMinimax(d=3),white,5b49e195,46,1,39
EvalMinimax(d=3),white,5b49e195,46,2,4
EvalMinimax(d=3),white,5b49e195,46,3,1
EvalMinimax(d=3),white,5b49e195,47,0,288
EvalMinimax(d=3),white,5b49e195,47,1,87
EvalMinimax(d=3),white,5b49e195,47,2,15
EvalMinimax(d=3),white,5b49e195,47,3,1
EvalMinimax(d=3),white,5b49e195,48,0,249
EvalMinimax(d=3),white,5b49e195,48,1,147
EvalMinimax(d=3),white,5b49e195,48,2,17
EvalMinimax(d=3),white,5b49e195,48,3,1
EvalMinimax(d=3),white,5b49e195,49,0,310
EvalMinimax(d=3),white,5b49e195,49,1,100
EvalMinimax(d=3),white,5b49e195,49,2,15
EvalMinimax(d=3),white,5b49e195,49,3,1
EvalMinimax(d=3),white,5b49e195,50,0,549
EvalMinimax(d=3),white,5b49e195,50,1,298
EvalMinimax(d=3),white,5b49e195,50,2,17
EvalMinimax(d=3),white,5b49e195,50,3,1
EvalMinimax(d=3),white,5b49e195,51,0,351
EvalMinimax(d=3),white,5b49e195,51,1,219
EvalMinimax(d=3),white,5b49e195,51,2,17
EvalMinimax(d=3),white,5b49e195,51,3,1
EvalMinimax(d=3),white,5b49e195,52,0,84
EvalMinimax(d=3),white,5b49e195,52,1,41
EvalMinimax(d=3),white,5b49e195,52,2,11
EvalMinimax(d=3),white,5b49e195,52,3,1
EvalMinimax(d=3),white,5b49e195,53,0,104
EvalMinimax(d=3),white,5b49e195,53,1,75
EvalMinimax(d=3),white,5b49e195,53,2,2
EvalMinimax(d=3),white,5b49e195,53,3,1
EvalMinimax(d=3),white,5b49e195,54,0,90
EvalMinimax(d=3),white,5b49e195,54,1,64
EvalMinimax(d=3),white,5b49e195,54,2,3
EvalMinimax(d=3),white,5b49e195,54,3,1
EvalMinimax(d=3),white,5b49e195,55,0,76
