agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,822084d0,1,0,1468
EvalMinimax(d=3),black,822084d0,1,1,151
EvalMinimax(d=3),black,822084d0,1,2,20
EvalMinimax(d=3),black,822084d0,1,3,1
EvalMinimax(d=3),black,822084d0,2,0,1636
EvalMinimax(d=3),black,822084d0,2,1,149
EvalMinimax(d=3),black,822084d0,2,2,21
EvalMinimax(d=3),black,822084d0,2,3,1
EvalMinimax(d=3),black,822084d0,3,0,1993
EvalMinimax(d=3),black,822084d0,3,1,362
EvalMinimax(d=3),black,822084d0,3,2,28
EvalMinimax(d=3),black,822084d0,3,3,1
EvalMinimax(d=3),black,822084d0,4,0,1676
EvalMinimax(d=3),black,822084d0,4,1,371
EvalMinimax(d=3),black,822084d0,4,2,26
EvalMinimax(d=3),black,822084d0,4,3,1
EvalMinimax(d=3),black,822084d0,5,0,2142
EvalMinimax(d=3),black,822084d0,5,1,425
EvalMinimax(d=3),black,822084d0,5,2,25
EvalMinimax(d=3),black,822084d0,5,3,1
EvalMinimax(d=3),black,822084d0,6,0,2185
EvalMinimax(d=3),black,822084d0,6,1,319
EvalMinimax(d=3),black,822084d0,6,2,30
EvalMinimax(d=3),black,822084d0,6,3,1
EvalMinimax(d=3),black,822084d0,7,0,1126
EvalMinimax(d=3),black,822084d0,7,1,217
EvalMinimax(d=3),black,822084d0,7,2,25
EvalMinimax(d=3),black,822084d0,7,3,1
EvalMinimax(d=3),black,822084d0,8,0,1233
EvalMinimax(d=3),black,822084d0,8,1,223
EvalMinimax(d=3),black,822084d0,8,2,25
EvalMinimax(d=3),black,822084d0,8,3,1
EvalMinimax(d=3),black,822084d0,9,0,1232
EvalMinimax(d=3),black,822084d0,9,1,145
EvalMinimax(d=3),black,822084d0,9,2,30
EvalMinimax(d=3),black,822084d0,9,3,1
EvalMinimax(d=3),black,822084d0,10,0,1751
EvalMinimax(d=3),black,822084d0,10,1,331
EvalMinimax(d=3),black,822084d0,10,2,30
EvalMinimax(d=3),black,822084d0,10,3,1
EvalMinimax(d=3),black,822084d0,11,0,2124
EvalMinimax(d=3),black,822084d0,11,1,513
EvalMinimax(d=3),black,822084d0,11,2,32
EvalMinimax(d=3),black,822084d0,11,3,1
EvalMinimax(d=3),black,822084d0,12,0,1290
EvalMinimax(d=3),black,822084d0,12,1,224
EvalMinimax(d=3),black,822084d0,12,2,36
EvalMinimax(d=3),black,822084d0,12,3,1
EvalMinimax(d=3),black,822084d0,13,0,167
EvalMinimax(d=3),black,822084d0,13,1,71
EvalMinimax(d=3),black,822084d0,13,2,4
EvalMinimax(d=3),black,822084d0,13,3,1
EvalMinimax(d=3),black,822084d0,14,0,834
EvalMinimax(d=3),black,822084d0,14,1,64
EvalMinimax(d=3),black,822084d0,14,2,31
EvalMinimax(d=3),black,822084d0,14,3,1
