agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,955fd6a5,1,0,1339
EvalMinimax(d=3),black,955fd6a5,1,1,124
EvalMinimax(d=3),black,955fd6a5,1,2,20
EvalMinimax(d=3),black,955fd6a5,1,3,1
EvalMinimax(d=3),black,955fd6a5,2,0,2900
EvalMinimax(d=3),black,955fd6a5,2,1,410
EvalMinimax(d=3),black,955fd6a5,2,2,30
EvalMinimax(d=3),black,955fd6a5,2,3,1
EvalMinimax(d=3),black,955fd6a5,3,0,3266
EvalMinimax(d=3),black,955fd6a5,3,1,382
EvalMinimax(d=3),black,955fd6a5,3,2,38
EvalMinimax(d=3),black,955fd6a5,3,3,1
EvalMinimax(d=3),black,955fd6a5,4,0,2709
EvalMinimax(d=3),black,955fd6a5,4,1,342
EvalMinimax(d=3),black,955fd6a5,4,2,36
EvalMinimax(d=3),black,955fd6a5,4,3,1
EvalMinimax(d=3),black,955fd6a5,5,0,2382
EvalMinimax(d=3),black,955fd6a5,5,1,259
EvalMinimax(d=3),black,955fd6a5,5,2,33
EvalMinimax(d=3),black,955fd6a5,5,3,1
EvalMinimax(d=3),black,955fd6a5,6,0,1533
EvalMinimax(d=3),black,955fd6a5,6,1,165
EvalMinimax(d=3),black,955fd6a5,6,2,37
EvalMinimax(d=3),black,955fd6a5,6,3,1
EvalMinimax(d=3),black,955fd6a5,7,0,1487
EvalMinimax(d=3),black,955fd6a5,7,1,141
EvalMinimax(d=3),black,955fd6a5,7,2,38
EvalMinimax(d=3),black,955fd6a5,7,3,1
EvalMinimax(d=3),black,955fd6a5,8,0,3724
EvalMinimax(d=3),black,955fd6a5,8,1,662
EvalMinimax(d=3),black,955fd6a5,8,2,35
EvalMinimax(d=3),black,955fd6a5,8,3,1
EvalMinimax(d=3),black,955fd6a5,9,0,1075
EvalMinimax(d=3),black,955fd6a5,9,1,228
EvalMinimax(d=3),black,955fd6a5,9,2,34
EvalMinimax(d=3),black,955fd6a5,9,3,1
EvalMinimax(d=3),black,955fd6a5,10,0,1338
EvalMinimax(d=3),black,955fd6a5,10,1,105
EvalMinimax(d=3),black,955fd6a5,10,2,33
EvalMinimax(d=3),black,955fd6a5,10,3,1
EvalMinimax(d=3),black,955fd6a5,11,0,1013
EvalMinimax(d=3),black,955fd6a5,11,1,263
EvalMinimax(d=3),black,955fd6a5,11,2,32
EvalMinimax(d=3),black,955fd6a5,11,3,1
EvalMinimax(d=3),black,955fd6a5,12,0,1554
EvalMinimax(d=3),black,955fd6a5,12,1,219
EvalMinimax(d=3),black,955fd6a5,12,2,27
EvalMinimax(d=3),black,955fd6a5,12,3,1
EvalMinimax(d=3),black,955fd6a5,13,0,1875
EvalMinimax(d=3),black,955fd6a5,13,1,324
EvalMinimax(d=3),black,955fd6a5,13,2,34
EvalMinimax(d=3),black,955fd6a5,13,3,1
EvalMinimax(d=3),black,955fd6a5,14,0,877
EvalMinimax(d=3),black,955fd6a5,14,1,122
EvalMinimax(d=3),black,955fd6a5,14,2,30
EvalMinimax(d=3),black,955fd6a5,14,3,1
EvalMinimax(d=3),black,955fd6a5,15,0,1875
EvalMinimax(d=3),black,955fd6a5,15,1,419
EvalMinimax(d=3),black,955fd6a5,15,2,34
EvalMinimax(d=3),black,955fd6a5,15,3,1
EvalMinimax(d=3),black,955fd6a5,16,0,1077
EvalMinimax(d=3),black,955fd6a5,16,1,194
EvalMinimax(d=3),black,955fd6a5,16,2,34
EvalMinimax(d=3),black,955fd6a5,16,3,1
EvalMinimax(d=3),black,955fd6a5,17,0,1578
EvalMinimax(d=3),black,955fd6a5,17,1,337
EvalMinimax(d=3),black,955fd6a5,17,2,31
EvalMinimax(d=3),black,955fd6a5,17,3,1
