agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,b03fa7d0,1,0,1468
EvalMinimax(d=3),black,b03fa7d0,1,1,151
EvalMinimax(d=3),black,b03fa7d0,1,2,20
EvalMinimax(d=3),black,b03fa7d0,1,3,1
EvalMinimax(d=3),black,b03fa7d0,2,0,1522
EvalMinimax(d=3),black,b03fa7d0,2,1,153
EvalMinimax(d=3),black,b03fa7d0,2,2,19
EvalMinimax(d=3),black,b03fa7d0,2,3,1
EvalMinimax(d=3),black,b03fa7d0,3,0,2238
EvalMinimax(d=3),black,b03fa7d0,3,1,198
EvalMinimax(d=3),black,b03fa7d0,3,2,28
EvalMinimax(d=3),black,b03fa7d0,3,3,1
EvalMinimax(d=3),black,b03fa7d0,4,0,839
EvalMinimax(d=3),black,b03fa7d0,4,1,67
EvalMinimax(d=3),black,b03fa7d0,4,2,27
EvalMinimax(d=3),black,b03fa7d0,4,3,1
EvalMinimax(d=3),black,b03fa7d0,5,0,1002
EvalMinimax(d=3),black,b03fa7d0,5,1,176
EvalMinimax(d=3),black,b03fa7d0,5,2,32
EvalMinimax(d=3),black,b03fa7d0,5,3,1
EvalMinimax(d=3),black,b03fa7d0,6,0,880
EvalMinimax(d=3),black,b03fa7d0,6,1,137
EvalMinimax(d=3),black,b03fa7d0,6,2,26
EvalMinimax(d=3),black,b03fa7d0,6,3,1
EvalMinimax(d=3),black,b03fa7d0,7,0,1911
EvalMinimax(d=3),black,b03fa7d0,7,1,320
EvalMinimax(d=3),black,b03fa7d0,7,2,28
EvalMinimax(d=3),black,b03fa7d0,7,3,1
EvalMinimax(d=3),black,b03fa7d0,8,0,2482
EvalMinimax(d=3),black,b03fa7d0,8,1,312
EvalMinimax(d=3),black,b03fa7d0,8,2,30
EvalMinimax(d=3),black,b03fa7d0,8,3,1
EvalMinimax(d=3),black,b03fa7d0,9,0,681
EvalMinimax(d=3),black,b03fa7d0,9,1,33
EvalMinimax(d=3),black,b03fa7d0,9,2,27
EvalMinimax(d=3),black,b03fa7d0,9,3,1
EvalMinimax(d=3),black,b03fa7d0,10,0,735
EvalMinimax(d=3),black,b03fa7d0,10,1,139
EvalMinimax(d=3),black,b03fa7d0,10,2,26
EvalMinimax(d=3),black,b03fa7d0,10,3,1
EvalMinimax(d=3),black,b03fa7d0,11,0,706
EvalMinimax(d=3),black,b03fa7d0,11,1,145
EvalMinimax(d=3),black,b03fa7d0,11,2,25
EvalMinimax(d=3),black,b03fa7d0,11,3,1
EvalMinimax(d=3),black,b03fa7d0,12,0,821
EvalMinimax(d=3),black,b03fa7d0,12,1,168
EvalMinimax(d=3),black,b03fa7d0,12,2,27
EvalMinimax(d=3),black,b03fa7d0,12,3,1
EvalMinimax(d=3),black,b03fa7d0,13,0,809
EvalMinimax(d=3),black,b03fa7d0,13,1,162
EvalMinimax(d=3),black,b03fa7d0,13,2,27
EvalMinimax(d=3),black,b03fa7d0,13,3,1
EvalMinimax(d=3),black,b03fa7d0,14,0,1664
EvalMinimax(d=3),black,b03fa7d0,14,1,465
EvalMinimax(d=3),black,b03fa7d0,14,2,25
EvalMinimax(d=3),black,b03fa7d0,14,3,1
EvalMinimax(d=3),black,b03fa7d0,15,0,1007
EvalMinimax(d=3),black,b03fa7d0,15,1,291
EvalMinimax(d=3),black,b03fa7d0,15,2,24
EvalMinimax(d=3),black,b03fa7d0,15,3,1
EvalMinimax(d=3),black,b03fa7d0,16,0,1743
EvalMinimax(d=3),black,b03fa7d0,16,1,406
EvalMinimax(d=3),black,b03fa7d0,16,2,24
EvalMinimax(d=3),black,b03fa7d0,16,3,1
EvalMinimax(d=3),black,b03fa7d0,17,0,968
EvalMinimax(d=3),black,b03fa7d0,17,1,152
EvalMinimax(d=3),black,b03fa7d0,17,2,23
EvalMinimax(d=3),black,b03fa7d0,17,3,1
EvalMinimax(d=3),black,b03fa7d0,18,0,990
EvalMinimax(d=3),black,b03fa7d0,18,1,217
EvalMinimax(d=3),black,b03fa7d0,18,2,34
EvalMinimax(d=3),black,b03fa7d0,18,3,1
EvalMinimax(d=3),black,b03fa7d0,19,0,419
EvalMinimax(d=3),black,b03fa7d0,19,1,61
EvalMinimax(d=3),black,b03fa7d0,19,2,19
EvalMinimax(d=3),black,b03fa7d0,19,3,1
EvalMinimax(d=3),black,b03fa7d0,20,0,1243
EvalMinimax(d=3),black,b03fa7d0,20,1,347
EvalMinimax(d=3),black,b03fa7d0,20,2,25
EvalMinimax(d=3),black,b03fa7d0,20,3,1
EvalMinimax(d=3),black,b03fa7d0,21,0,1167
EvalMinimax(d=3),black,b03fa7d0,21,1,383
EvalMinimax(d=3),black,b03fa7d0,21,2,26
EvalMinimax(d=3),black,b03fa7d0,21,3,1
EvalMinimax(d=3),black,b03fa7d0,22,0,478
EvalMinimax(d=3),black,b03fa7d0,22,1,116
EvalMinimax(d=3),black,b03fa7d0,22,2,22
EvalMinimax(d=3),black,b03fa7d0,22,3,1
EvalMinimax(d=3),black,b03fa7d0,23,0,530
EvalMinimax(d=3),black,b03fa7d0,23,1,59
EvalMinimax(d=3),black,b03fa7d0,23,2,26
EvalMinimax(d=3),black,b03fa7d0,23,3,1
EvalMinimax(d=3),black,b03fa7d0,24,0,911
EvalMinimax(d=3),black,b03fa7d0,24,1,238
EvalMinimax(d=3),black,b03fa7d0,24,2,20
EvalMinimax(d=3),black,b03fa7d0,24,3,1
EvalMinimax(d=3),black,b03fa7d0,25,0,658
EvalMinimax(d=3),black,b03fa7d0,25,1,150
EvalMinimax(d=3),black,b03fa7d0,25,2,21
EvalMinimax(d=3),black,b03fa7d0,25,3,1
EvalMinimax(d=3),black,b03fa7d0,26,0,391
EvalMinimax(d=3),black,b03fa7d0,26,1,105
EvalMinimax(d=3),black,b03fa7d0,26,2,19
EvalMinimax(d=3),black,b03fa7d0,26,3,1
EvalMinimax(d=3),black,b03fa7d0,27,0,264
EvalMinimax(d=3),black,b03fa7d0,27,1,104
EvalMinimax(d=3),black,b03fa7d0,27,2,18
EvalMinimax(d=3),black,b03fa7d0,27,3,1
EvalMinimax(d=3),black,b03fa7d0,28,0,110
EvalMinimax(d=3),black,b03fa7d0,28,1,82
EvalMinimax(d=3),black,b03fa7d0,28,2,3
EvalMinimax(d=3),black,b03fa7d0,28,3,1
EvalMinimax(d=3),black,b03fa7d0,29,0,264
EvalMinimax(d=3),black,b03fa7d0,29,1,76
EvalMinimax(d=3),black,b03fa7d0,29,2,11
EvalMinimax(d=3),black,b03fa7d0,29,3,1
EvalMinimax(d=3),black,b03fa7d0,30,0,405
EvalMinimax(d=3),black,b03fa7d0,30,1,196
EvalMinimax(d=3),black,b03fa7d0,30,2,13
EvalMinimax(d=3),black,b03fa7d0,30,3,1
EvalMinimax(d=3),black,b03fa7d0,31,0,295
EvalMinimax(d=3),black,b03fa7d0,31,1,164
EvalMinimax(d=3),black,b03fa7d0,31,2,13
EvalMinimax(d=3),black,b03fa7d0,31,3,1
EvalMinimax(d=3),black,b03fa7d0,32,0,254
EvalMinimax(d=3),black,b03fa7d0,32,1,158
EvalMinimax(d=3),black,b03fa7d0,32,2,11
EvalMinimax(d=3),black,b03fa7d0,32,3,1
EvalMinimax(d=3),black,b03fa7d0,33,0,116
