agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,be519451,1,0,2096
EvalMinimax(d=3),white,be519451,1,1,154
EvalMinimax(d=3),white,be519451,1,2,20
EvalMinimax(d=3),white,be519451,1,3,1
EvalMinimax(d=3),white,be519451,2,0,1825
EvalMinimax(d=3),white,be519451,2,1,166
EvalMinimax(d=3),white,be519451,2,2,29
EvalMinimax(d=3),white,be519451,2,3,1
EvalMinimax(d=3),white,be519451,3,0,836
EvalMinimax(d=3),white,be519451,3,1,70
EvalMinimax(d=3),white,be519451,3,2,28
EvalMinimax(d=3),white,be519451,3,3,1
EvalMinimax(d=3),white,be519451,4,0,956
EvalMinimax(d=3),white,be519451,4,1,75
EvalMinimax(d=3),white,be519451,4,2,33
EvalMinimax(d=3),white,be519451,4,3,1
EvalMinimax(d=3),white,be519451,5,0,812
EvalMinimax(d=3),white,be519451,5,1,107
EvalMinimax(d=3),white,be519451,5,2,27
EvalMinimax(d=3),white,be519451,5,3,1
EvalMinimax(d=3),white,be519451,6,0,840
EvalMinimax(d=3),white,be519451,6,1,101
EvalMinimax(d=3),white,be519451,6,2,28
EvalMinimax(d=3),white,be519451,6,3,1
EvalMinimax(d=3),white,be519451,7,0,827
EvalMinimax(d=3),white,be519451,7,1,100
EvalMinimax(d=3),white,be519451,7,2,27
EvalMinimax(d=3),white,be519451,7,3,1
EvalMinimax(d=3),white,be519451,8,0,2878
EvalMinimax(d=3),white,be519451,8,1,556
EvalMinimax(d=3),white,be519451,8,2,34
EvalMinimax(d=3),white,be519451,8,3,1
EvalMinimax(d=3),white,be519451,9,0,2339
EvalMinimax(d=3),white,be519451,9,1,434
EvalMinimax(d=3),white,be519451,9,2,34
EvalMinimax(d=3),white,be519451,9,3,1
EvalMinimax(d=3),white,be519451,10,0,1122
EvalMinimax(d=3),white,be519451,10,1,216
EvalMinimax(d=3),white,be519451,10,2,34
EvalMinimax(d=3),white,be519451,10,3,1
EvalMinimax(d=3),white,be519451,11,0,1132
EvalMinimax(d=3),white,be519451,11,1,223
EvalMinimax(d=3),white,be519451,11,2,33
EvalMinimax(d=3),white,be519451,11,3,1
EvalMinimax(d=3),white,be519451,12,0,1461
EvalMinimax(d=3),white,be519451,12,1,246
EvalMinimax(d=3),white,be519451,12,2,37
EvalMinimax(d=3),white,be519451,12,3,1
EvalMinimax(d=3),white,be519451,13,0,1295
EvalMinimax(d=3),white,be519451,13,1,171
EvalMinimax(d=3),white,be519451,13,2,36
EvalMinimax(d=3),white,be519451,13,3,1
EvalMinimax(d=3),white,be519451,14,0,1524
EvalMinimax(d=3),white,be519451,14,1,102
EvalMinimax(d=3),white,be519451,14,2,39
EvalMinimax(d=3),white,be519451,14,3,1
EvalMinimax(d=3),white,be519451,15,0,330
EvalMinimax(d=3),white,be519451,15,1,28
EvalMinimax(d=3),white,be519451,15,2,28
EvalMinimax(d=3),white,be519451,15,3,1
EvalMinimax(d=3),white,be519451,16,0,595
EvalMinimax(d=3),white,be519451,16,1,80
EvalMinimax(d=3),white,be519451,16,2,23
EvalMinimax(d=3),white,be519451,16,3,1
EvalMinimax(d=3),white,be519451,17,0,561
EvalMinimax(d=3),white,be519451,17,1,81
EvalMinimax(d=3),white,be519451,17,2,22
EvalMinimax(d=3),white,be519451,17,3,1
EvalMinimax(d=3),white,be519451,18,0,473
EvalMinimax(d=3),white,be519451,18,1,51
EvalMinimax(d=3),white,be519451,18,2,20
EvalMinimax(d=3),white,be519451,18,3,1
EvalMinimax(d=3),white,be519451,19,0,803
EvalMinimax(d=3),white,be519451,19,1,71
EvalMinimax(d=3),white,be519451,19,2,21
EvalMinimax(d=3),white,be519451,19,3,1
EvalMinimax(d=3),white,be519451,20,0,726
EvalMinimax(d=3),white,be519451,20,1,96
EvalMinimax(d=3),white,be519451,20,2,24
EvalMinimax(d=3),white,be519451,20,3,1
EvalMinimax(d=3),white,be519451,21,0,793
EvalMinimax(d=3),white,be519451,21,1,77
EvalMinimax(d=3),white,be519451,21,2,27
EvalMinimax(d=3),white,be519451,21,3,1
EvalMinimax(d=3),white,be519451,22,0,527
EvalMinimax(d=3),white,be519451,22,1,103
EvalMinimax(d=3),white,be519451,22,2,31
EvalMinimax(d=3),white,be519451,22,3,1
EvalMinimax(d=3),white,be519451,23,0,667
EvalMinimax(d=3),white,be519451,23,1,122
EvalMinimax(d=3),white,be519451,23,2,32
EvalMinimax(d=3),white,be519451,23,3,1
EvalMinimax(d=3),white,be519451,24,0,497
EvalMinimax(d=3),white,be519451,24,1,111
EvalMinimax(d=3),white,be519451,24,2,29
EvalMinimax(d=3),white,be519451,24,3,1
EvalMinimax(d=3),white,be519451,25,0,1091
EvalMinimax(d=3),white,be519451,25,1,235
EvalMinimax(d=3),white,be519451,25,2,27
EvalMinimax(d=3),white,be519451,25,3,1
EvalMinimax(d=3),white,be519451,26,0,1550
EvalMinimax(d=3),white,be519451,26,1,216
EvalMinimax(d=3),white,be519451,26,2,27
EvalMinimax(d=3),white,be519451,26,3,1
EvalMinimax(d=3),white,be519451,27,0,356
EvalMinimax(d=3),white,be519451,27,1,60
EvalMinimax(d=3),white,be519451,27,2,27
EvalMinimax(d=3),white,be519451,27,3,1
EvalMinimax(d=3),white,be519451,28,0,472
EvalMinimax(d=3),white,be519451,28,1,137
EvalMinimax(d=3),white,be519451,28,2,29
EvalMinimax(d=3),white,be519451,28,3,1
EvalMinimax(d=3),white,be519451,29,0,1269
EvalMinimax(d=3),white,be519451,29,1,244
EvalMinimax(d=3),white,be519451,29,2,32
EvalMinimax(d=3),white,be519451,29,3,1
EvalMinimax(d=3),white,be519451,30,0,741
EvalMinimax(d=3),white,be519451,30,1,62
EvalMinimax(d=3),white,be519451,30,2,31
EvalMinimax(d=3),white,be519451,30,3,1
EvalMinimax(d=3),white,be519451,31,0,383
EvalMinimax(d=3),white,be519451,31,1,47
EvalMinimax(d=3),white,be519451,31,2,23
EvalMinimax(d=3),white,be519451,31,3,1
EvalMinimax(d=3),white,be519451,32,0,436
EvalMinimax(d=3),white,be519451,32,1,98
EvalMinimax(d=3),white,be519451,32,2,15
EvalMinimax(d=3),white,be519451,32,3,1
EvalMinimax(d=3),white,be519451,33,0,427
EvalMinimax(d=3),white,be519451,33,1,85
EvalMinimax(d=3),white,be519451,33,2,19
EvalMinimax(d=3),white,be519451,33,3,1
EvalMinimax(d=3),white,be519451,34,0,317
EvalMinimax(d=3),white,be519451,34,1,62
EvalMinimax(d=3),white,be519451,34,2,18
EvalMinimax(d=3),white,be519451,34,3,1
EvalMinimax(d=3),white,be519451,35,0,396
EvalMinimax(d=3),white,be519451,35,1,83
EvalMinimax(d=3),white,be519451,35,2,18
EvalMinimax(d=3),white,be519451,35,3,1
EvalMinimax(d=3),white,be519451,36,0,317
EvalMinimax(d=3),white,be519451,36,1,62
EvalMinimax(d=3),white,be519451,36,2,18
EvalMinimax(d=3),white,be519451,36,3,1
EvalMinimax(d=3),white,be519451,37,0,277
EvalMinimax(d=3),white,be519451,37,1,60
EvalMinimax(d=3),white,be519451,37,2,16
EvalMinimax(d=3),white,be519451,37,3,1
EvalMinimax(d=3),white,be519451,38,0,547
EvalMinimax(d=3),white,be519451,38,1,112
EvalMinimax(d=3),white,be519451,38,2,15
EvalMinimax(d=3),white,be519451,38,3,1
EvalMinimax(d=3),white,be519451,39,0,163
EvalMinimax(d=3),white,be519451,39,1,85
EvalMinimax(d=3),white,be519451,39,2,11
EvalMinimax(d=3),white,be519451,39,3,1
EvalMinimax(d=3),white,be519451,40,0,137
EvalMinimax(d=3),white,be519451,40,1,79
EvalMinimax(d=3),white,be519451,40,2,12
EvalMinimax(d=3),white,be519451,40,3,1
EvalMinimax(d=3),white,be519451,41,0,104
EvalMinimax(d=3),white,be519451,41,1,60
EvalMinimax(d=3),white,be519451,41,2,6
EvalMinimax(d=3),white,be519451,41,3,1
EvalMinimax(d=3),white,be519451,42,0,132
EvalMinimax(d=3),white,be519451,42,1,66
EvalMinimax(d=3),white,be519451,42,2,12
EvalMinimax(d=3),white,be519451,42,3,1
EvalMinimax(d=3),white,be519451,43,0,113
EvalMinimax(d=3),white,be519451,43,1,32
EvalMinimax(d=3),white,be519451,43,2,12
EvalMinimax(d=3),white,be519451,43,3,1
EvalMinimax(d=3),white,be519451,44,0,117
EvalMinimax(d=3),white,be519451,44,1,38
