agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,3f836a42,1,-1,277
QSearchMinimax(d=3),black,3f836a42,1,0,2092
QSearchMinimax(d=3),black,3f836a42,1,1,173
QSearchMinimax(d=3),black,3f836a42,1,2,20
QSearchMinimax(d=3),black,3f836a42,1,3,1
QSearchMinimax(d=3),black,3f836a42,2,-1,368
QSearchMinimax(d=3),black,3f836a42,2,0,1936
QSearchMinimax(d=3),black,3f836a42,2,1,191
QSearchMinimax(d=3),black,3f836a42,2,2,19
QSearchMinimax(d=3),black,3f836a42,2,3,1
QSearchMinimax(d=3),black,3f836a42,3,-1,756
QSearchMinimax(d=3),black,3f836a42,3,0,1491
QSearchMinimax(d=3),black,3f836a42,3,1,142
QSearchMinimax(d=3),black,3f836a42,3,2,20
QSearchMinimax(d=3),black,3f836a42,3,3,1
QSearchMinimax(d=3),black,3f836a42,4,-1,2057
QSearchMinimax(d=3),black,3f836a42,4,0,2092
QSearchMinimax(d=3),black,3f836a42,4,1,222
QSearchMinimax(d=3),black,3f836a42,4,2,27
QSearchMinimax(d=3),black,3f836a42,4,3,1
QSearchMinimax(d=3),black,3f836a42,5,-1,3297
QSearchMinimax(d=3),black,3f836a42,5,0,3013
QSearchMinimax(d=3),black,3f836a42,5,1,305
QSearchMinimax(d=3),black,3f836a42,5,2,34
QSearchMinimax(d=3),black,3f836a42,5,3,1
QSearchMinimax(d=3),black,3f836a42,6,-1,395
QSearchMinimax(d=3),black,3f836a42,6,0,331
QSearchMinimax(d=3),black,3f836a42,6,1,73
QSearchMinimax(d=3),black,3f836a42,6,2,7
QSearchMinimax(d=3),black,3f836a42,6,3,1
QSearchMinimax(d=3),black,3f836a42,7,-1,1373
QSearchMinimax(d=3),black,3f836a42,7,0,1316
QSearchMinimax(d=3),black,3f836a42,7,1,66
QSearchMinimax(d=3),black,3f836a42,7,2,35
QSearchMinimax(d=3),black,3f836a42,7,3,1
QSearchMinimax(d=3),black,3f836a42,8,-1,3894
QSearchMinimax(d=3),black,3f836a42,8,0,4012
QSearchMinimax(d=3),black,3f836a42,8,1,216
QSearchMinimax(d=3),black,3f836a42,8,2,37
QSearchMinimax(d=3),black,3f836a42,8,3,1
QSearchMinimax(d=3),black,3f836a42,9,-1,10188
QSearchMinimax(d=3),black,3f836a42,9,0,9629
