agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,4a0e4ddf,1,-1,1329
QSearchMinimax(d=3),black,4a0e4ddf,1,0,1820
QSearchMinimax(d=3),black,4a0e4ddf,1,1,256
QSearchMinimax(d=3),black,4a0e4ddf,1,2,20
QSearchMinimax(d=3),black,4a0e4ddf,1,3,1
QSearchMinimax(d=3),black,4a0e4ddf,2,-1,2767
QSearchMinimax(d=3),black,4a0e4ddf,2,0,1763
QSearchMinimax(d=3),black,4a0e4ddf,2,1,241
QSearchMinimax(d=3),black,4a0e4ddf,2,2,27
QSearchMinimax(d=3),black,4a0e4ddf,2,3,1
QSearchMinimax(d=3),black,4a0e4ddf,3,-1,2294
QSearchMinimax(d=3),black,4a0e4ddf,3,0,1234
QSearchMinimax(d=3),black,4a0e4ddf,3,1,275
QSearchMinimax(d=3),black,4a0e4ddf,3,2,26
QSearchMinimax(d=3),black,4a0e4ddf,3,3,1
QSearchMinimax(d=3),black,4a0e4ddf,4,-1,2341
QSearchMinimax(d=3),black,4a0e4ddf,4,0,1929
QSearchMinimax(d=3),black,4a0e4ddf,4,1,127
QSearchMinimax(d=3),black,4a0e4ddf,4,2,28
QSearchMinimax(d=3),black,4a0e4ddf,4,3,1
QSearchMinimax(d=3),black,4a0e4ddf,5,-1,4995
QSearchMinimax(d=3),black,4a0e4ddf,5,0,3924
QSearchMinimax(d=3),black,4a0e4ddf,5,1,387
QSearchMinimax(d=3),black,4a0e4ddf,5,2,27
QSearchMinimax(d=3),black,4a0e4ddf,5,3,1
QSearchMinimax(d=3),black,4a0e4ddf,6,-1,5714
QSearchMinimax(d=3),black,4a0e4ddf,6,0,4190
QSearchMinimax(d=3),black,4a0e4ddf,6,1,421
QSearchMinimax(d=3),black,4a0e4ddf,6,2,28
QSearchMinimax(d=3),black,4a0e4ddf,6,3,1
QSearchMinimax(d=3),black,4a0e4ddf,7,-1,6205
QSearchMinimax(d=3),black,4a0e4ddf,7,0,4601
QSearchMinimax(d=3),black,4a0e4ddf,7,1,469
QSearchMinimax(d=3),black,4a0e4ddf,7,2,30
QSearchMinimax(d=3),black,4a0e4ddf,7,3,1
QSearchMinimax(d=3),black,4a0e4ddf,8,-1,3054
QSearchMinimax(d=3),black,4a0e4ddf,8,0,1872
QSearchMinimax(d=3),black,4a0e4ddf,8,1,340
QSearchMinimax(d=3),black,4a0e4ddf,8,2,25
QSearchMinimax(d=3),black,4a0e4ddf,8,3,1
QSearchMinimax(d=3),black,4a0e4ddf,9,-1,3084
QSearchMinimax(d=3),black,4a0e4ddf,9,0,2131
QSearchMinimax(d=3),black,4a0e4ddf,9,1,272
QSearchMinimax(d=3),black,4a0e4ddf,9,2,33
QSearchMinimax(d=3),black,4a0e4ddf,9,3,1
QSearchMinimax(d=3),black,4a0e4ddf,10,-1,418
QSearchMinimax(d=3),black,4a0e4ddf,10,0,361
QSearchMinimax(d=3),black,4a0e4ddf,10,1,43
QSearchMinimax(d=3),black,4a0e4ddf,10,2,5
QSearchMinimax(d=3),black,4a0e4ddf,10,3,1
QSearchMinimax(d=3),black,4a0e4ddf,11,-1,208
QSearchMinimax(d=3),black,4a0e4ddf,11,0,197
QSearchMinimax(d=3),black,4a0e4ddf,11,1,35
QSearchMinimax(d=3),black,4a0e4ddf,11,2,4
QSearchMinimax(d=3),black,4a0e4ddf,11,3,1
QSearchMinimax(d=3),black,4a0e4ddf,12,-1,994
QSearchMinimax(d=3),black,4a0e4ddf,12,0,980
QSearchMinimax(d=3),black,4a0e4ddf,12,1,84
QSearchMinimax(d=3),black,4a0e4ddf,12,2,46
QSearchMinimax(d=3),black,4a0e4ddf,12,3,1
QSearchMinimax(d=3),black,4a0e4ddf,13,-1,1892
QSearchMinimax(d=3),black,4a0e4ddf,13,0,2055
QSearchMinimax(d=3),black,4a0e4ddf,13,1,109
QSearchMinimax(d=3),black,4a0e4ddf,13,2,47
QSearchMinimax(d=3),black,4a0e4ddf,13,3,1
QSearchMinimax(d=3),black,4a0e4ddf,14,-1,1800
QSearchMinimax(d=3),black,4a0e4ddf,14,0,1800
QSearchMinimax(d=3),black,4a0e4ddf,14,1,114
QSearchMinimax(d=3),black,4a0e4ddf,14,2,44
QSearchMinimax(d=3),black,4a0e4ddf,14,3,1
QSearchMinimax(d=3),black,4a0e4ddf,15,-1,1487
QSearchMinimax(d=3),black,4a0e4ddf,15,0,1619
QSearchMinimax(d=3),black,4a0e4ddf,15,1,63
QSearchMinimax(d=3),black,4a0e4ddf,15,2,43
QSearchMinimax(d=3),black,4a0e4ddf,15,3,1
QSearchMinimax(d=3),black,4a0e4ddf,16,-1,1764
QSearchMinimax(d=3),black,4a0e4ddf,16,0,1708
QSearchMinimax(d=3),black,4a0e4ddf,16,1,83
QSearchMinimax(d=3),black,4a0e4ddf,16,2,42
QSearchMinimax(d=3),black,4a0e4ddf,16,3,1
QSearchMinimax(d=3),black,4a0e4ddf,17,-1,2137
QSearchMinimax(d=3),black,4a0e4ddf,17,0,2105
QSearchMinimax(d=3),black,4a0e4ddf,17,1,104
QSearchMinimax(d=3),black,4a0e4ddf,17,2,47
QSearchMinimax(d=3),black,4a0e4ddf,17,3,1
QSearchMinimax(d=3),black,4a0e4ddf,18,-1,2288
QSearchMinimax(d=3),black,4a0e4ddf,18,0,2268
QSearchMinimax(d=3),black,4a0e4ddf,18,1,94
QSearchMinimax(d=3),black,4a0e4ddf,18,2,49
QSearchMinimax(d=3),black,4a0e4ddf,18,3,1
QSearchMinimax(d=3),black,4a0e4ddf,19,-1,2308
QSearchMinimax(d=3),black,4a0e4ddf,19,0,2516
QSearchMinimax(d=3),black,4a0e4ddf,19,1,118
QSearchMinimax(d=3),black,4a0e4ddf,19,2,48
QSearchMinimax(d=3),black,4a0e4ddf,19,3,1
QSearchMinimax(d=3),black,4a0e4ddf,20,-1,1385
QSearchMinimax(d=3),black,4a0e4ddf,20,0,1468
QSearchMinimax(d=3),black,4a0e4ddf,20,1,42
QSearchMinimax(d=3),black,4a0e4ddf,20,2,40
QSearchMinimax(d=3),black,4a0e4ddf,20,3,1
QSearchMinimax(d=3),black,4a0e4ddf,21,-1,865
QSearchMinimax(d=3),black,4a0e4ddf,21,0,1599
QSearchMinimax(d=3),black,4a0e4ddf,21,1,66
QSearchMinimax(d=3),black,4a0e4ddf,21,2,45
QSearchMinimax(d=3),black,4a0e4ddf,21,3,1
QSearchMinimax(d=3),black,4a0e4ddf,22,-1,480
QSearchMinimax(d=3),black,4a0e4ddf,22,0,919
QSearchMinimax(d=3),black,4a0e4ddf,22,1,51
QSearchMinimax(d=3),black,4a0e4ddf,22,2,40
QSearchMinimax(d=3),black,4a0e4ddf,22,3,1
QSearchMinimax(d=3),black,4a0e4ddf,23,-1,194
QSearchMinimax(d=3),black,4a0e4ddf,23,0,236
QSearchMinimax(d=3),black,4a0e4ddf,23,1,17
QSearchMinimax(d=3),black,4a0e4ddf,23,2,3
QSearchMinimax(d=3),black,4a0e4ddf,23,3,1
QSearchMinimax(d=3),black,4a0e4ddf,24,-1,1099
QSearchMinimax(d=3),black,4a0e4ddf,24,0,2346
QSearchMinimax(d=3),black,4a0e4ddf,24,1,71
QSearchMinimax(d=3),black,4a0e4ddf,24,2,50
QSearchMinimax(d=3),black,4a0e4ddf,24,3,1
QSearchMinimax(d=3),black,4a0e4ddf,25,-1,1884
QSearchMinimax(d=3),black,4a0e4ddf,25,0,2066
QSearchMinimax(d=3),black,4a0e4ddf,25,1,78
