agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,5a3dd90a,1,-1,198
QSearchMinimax(d=3),white,5a3dd90a,1,0,2056
QSearchMinimax(d=3),white,5a3dd90a,1,1,159
QSearchMinimax(d=3),white,5a3dd90a,1,2,20
QSearchMinimax(d=3),white,5a3dd90a,1,3,1
QSearchMinimax(d=3),white,5a3dd90a,2,-1,1120
QSearchMinimax(d=3),white,5a3dd90a,2,0,2760
QSearchMinimax(d=3),white,5a3dd90a,2,1,198
QSearchMinimax(d=3),white,5a3dd90a,2,2,27
QSearchMinimax(d=3),white,5a3dd90a,2,3,1
QSearchMinimax(d=3),white,5a3dd90a,3,-1,2786
QSearchMinimax(d=3),white,5a3dd90a,3,0,2996
QSearchMinimax(d=3),white,5a3dd90a,3,1,202
QSearchMinimax(d=3),white,5a3dd90a,3,2,24
QSearchMinimax(d=3),white,5a3dd90a,3,3,1
QSearchMinimax(d=3),white,5a3dd90a,4,-1,4355
QSearchMinimax(d=3),white,5a3dd90a,4,0,4723
QSearchMinimax(d=3),white,5a3dd90a,4,1,263
QSearchMinimax(d=3),white,5a3dd90a,4,2,30
QSearchMinimax(d=3),white,5a3dd90a,4,3,1
QSearchMinimax(d=3),white,5a3dd90a,5,-1,4162
QSearchMinimax(d=3),white,5a3dd90a,5,0,4617
QSearchMinimax(d=3),white,5a3dd90a,5,1,202
QSearchMinimax(d=3),white,5a3dd90a,5,2,31
QSearchMinimax(d=3),white,5a3dd90a,5,3,1
QSearchMinimax(d=3),white,5a3dd90a,6,-1,5153
QSearchMinimax(d=3),white,5a3dd90a,6,0,5310
QSearchMinimax(d=3),white,5a3dd90a,6,1,360
QSearchMinimax(d=3),white,5a3dd90a,6,2,32
QSearchMinimax(d=3),white,5a3dd90a,6,3,1
QSearchMinimax(d=3),white,5a3dd90a,7,-1,1688
QSearchMinimax(d=3),white,5a3dd90a,7,0,1776
QSearchMinimax(d=3),white,5a3dd90a,7,1,79
QSearchMinimax(d=3),white,5a3dd90a,7,2,34
QSearchMinimax(d=3),white,5a3dd90a,7,3,1
QSearchMinimax(d=3),white,5a3dd90a,8,-1,3102
QSearchMinimax(d=3),white,5a3dd90a,8,0,3085
QSearchMinimax(d=3),white,5a3dd90a,8,1,151
QSearchMinimax(d=3),white,5a3dd90a,8,2,38
QSearchMinimax(d=3),white,5a3dd90a,8,3,1
QSearchMinimax(d=3),white,5a3dd90a,9,-1,3824
QSearchMinimax(d=3),white,5a3dd90a,9,0,3871
QSearchMinimax(d=3),white,5a3dd90a,9,1,269
QSearchMinimax(d=3),white,5a3dd90a,9,2,39
QSearchMinimax(d=3),white,5a3dd90a,9,3,1
QSearchMinimax(d=3),white,5a3dd90a,10,-1,2291
QSearchMinimax(d=3),white,5a3dd90a,10,0,2270
QSearchMinimax(d=3),white,5a3dd90a,10,1,177
QSearchMinimax(d=3),white,5a3dd90a,10,2,41
QSearchMinimax(d=3),white,5a3dd90a,10,3,1
QSearchMinimax(d=3),white,5a3dd90a,11,-1,6368
QSearchMinimax(d=3),white,5a3dd90a,11,0,6555
QSearchMinimax(d=3),white,5a3dd90a,11,1,502
QSearchMinimax(d=3),white,5a3dd90a,11,2,39
QSearchMinimax(d=3),white,5a3dd90a,11,3,1
QSearchMinimax(d=3),white,5a3dd90a,12,-1,9031
QSearchMinimax(d=3),white,5a3dd90a,12,0,9240
QSearchMinimax(d=3),white,5a3dd90a,12,1,629
QSearchMinimax(d=3),white,5a3dd90a,12,2,43
QSearchMinimax(d=3),white,5a3dd90a,12,3,1
QSearchMinimax(d=3),white,5a3dd90a,13,-1,11436
QSearchMinimax(d=3),white,5a3dd90a,13,0,11187
