agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,744f3297,1,-1,198
QSearchMinimax(d=3),white,744f3297,1,0,2056
QSearchMinimax(d=3),white,744f3297,1,1,159
QSearchMinimax(d=3),white,744f3297,1,2,20
QSearchMinimax(d=3),white,744f3297,1,3,1
QSearchMinimax(d=3),white,744f3297,2,-1,216
QSearchMinimax(d=3),white,744f3297,2,0,2062
QSearchMinimax(d=3),white,744f3297,2,1,133
QSearchMinimax(d=3),white,744f3297,2,2,21
QSearchMinimax(d=3),white,744f3297,2,3,1
QSearchMinimax(d=3),white,744f3297,3,-1,1166
QSearchMinimax(d=3),white,744f3297,3,0,2893
QSearchMinimax(d=3),white,744f3297,3,1,147
QSearchMinimax(d=3),white,744f3297,3,2,31
QSearchMinimax(d=3),white,744f3297,3,3,1
QSearchMinimax(d=3),white,744f3297,4,-1,3961
QSearchMinimax(d=3),white,744f3297,4,0,4307
QSearchMinimax(d=3),white,744f3297,4,1,188
QSearchMinimax(d=3),white,744f3297,4,2,32
QSearchMinimax(d=3),white,744f3297,4,3,1
QSearchMinimax(d=3),white,744f3297,5,-1,6935
QSearchMinimax(d=3),white,744f3297,5,0,7392
QSearchMinimax(d=3),white,744f3297,5,1,470
QSearchMinimax(d=3),white,744f3297,5,2,35
QSearchMinimax(d=3),white,744f3297,5,3,1
QSearchMinimax(d=3),white,744f3297,6,-1,4495
QSearchMinimax(d=3),white,744f3297,6,0,4452
QSearchMinimax(d=3),white,744f3297,6,1,284
QSearchMinimax(d=3),white,744f3297,6,2,38
QSearchMinimax(d=3),white,744f3297,6,3,1
QSearchMinimax(d=3),white,744f3297,7,-1,5617
QSearchMinimax(d=3),white,744f3297,7,0,5701
QSearchMinimax(d=3),white,744f3297,7,1,286
QSearchMinimax(d=3),white,744f3297,7,2,38
QSearchMinimax(d=3),white,744f3297,7,3,1
QSearchMinimax(d=3),white,744f3297,8,-1,4801
QSearchMinimax(d=3),white,744f3297,8,0,4776
QSearchMinimax(d=3),white,744f3297,8,1,248
QSearchMinimax(d=3),white,744f3297,8,2,38
QSearchMinimax(d=3),white,744f3297,8,3,1
QSearchMinimax(d=3),white,744f3297,9,-1,3324
QSearchMinimax(d=3),white,744f3297,9,0,3320
QSearchMinimax(d=3),white,744f3297,9,1,177
QSearchMinimax(d=3),white,744f3297,9,2,36
QSearchMinimax(d=3),white,744f3297,9,3,1
QSearchMinimax(d=3),white,744f3297,10,-1,3678
QSearchMinimax(d=3),white,744f3297,10,0,3284
QSearchMinimax(d=3),white,744f3297,10,1,173
QSearchMinimax(d=3),white,744f3297,10,2,34
QSearchMinimax(d=3),white,744f3297,10,3,1
QSearchMinimax(d=3),white,744f3297,11,-1,3894
QSearchMinimax(d=3),white,744f3297,11,0,3869
QSearchMinimax(d=3),white,744f3297,11,1,243
QSearchMinimax(d=3),white,744f3297,11,2,31
QSearchMinimax(d=3),white,744f3297,11,3,1
QSearchMinimax(d=3),white,744f3297,12,-1,4117
QSearchMinimax(d=3),white,744f3297,12,0,4189
QSearchMinimax(d=3),white,744f3297,12,1,236
QSearchMinimax(d=3),white,744f3297,12,2,34
QSearchMinimax(d=3),white,744f3297,12,3,1
QSearchMinimax(d=3),white,744f3297,13,-1,2385
QSearchMinimax(d=3),white,744f3297,13,0,2447
QSearchMinimax(d=3),white,744f3297,13,1,138
