agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,a4b2c54e,1,-1,198
QSearchMinimax(d=3),white,a4b2c54e,1,0,2056
QSearchMinimax(d=3),white,a4b2c54e,1,1,159
QSearchMinimax(d=3),white,a4b2c54e,1,2,20
QSearchMinimax(d=3),white,a4b2c54e,1,3,1
QSearchMinimax(d=3),white,a4b2c54e,2,-1,375
QSearchMinimax(d=3),white,a4b2c54e,2,0,2594
QSearchMinimax(d=3),white,a4b2c54e,2,1,150
QSearchMinimax(d=3),white,a4b2c54e,2,2,22
QSearchMinimax(d=3),white,a4b2c54e,2,3,1
QSearchMinimax(d=3),white,a4b2c54e,3,-1,972
QSearchMinimax(d=3),white,a4b2c54e,3,0,1643
QSearchMinimax(d=3),white,a4b2c54e,3,1,128
QSearchMinimax(d=3),white,a4b2c54e,3,2,21
QSearchMinimax(d=3),white,a4b2c54e,3,3,1
QSearchMinimax(d=3),white,a4b2c54e,4,-1,3304
QSearchMinimax(d=3),white,a4b2c54e,4,0,3138
QSearchMinimax(d=3),white,a4b2c54e,4,1,188
QSearchMinimax(d=3),white,a4b2c54e,4,2,22
QSearchMinimax(d=3),white,a4b2c54e,4,3,1
QSearchMinimax(d=3),white,a4b2c54e,5,-1,3453
QSearchMinimax(d=3),white,a4b2c54e,5,0,3286
QSearchMinimax(d=3),white,a4b2c54e,5,1,250
QSearchMinimax(d=3),white,a4b2c54e,5,2,26
QSearchMinimax(d=3),white,a4b2c54e,5,3,1
QSearchMinimax(d=3),white,a4b2c54e,6,-1,3030
QSearchMinimax(d=3),white,a4b2c54e,6,0,2938
QSearchMinimax(d=3),white,a4b2c54e,6,1,156
QSearchMinimax(d=3),white,a4b2c54e,6,2,32
QSearchMinimax(d=3),white,a4b2c54e,6,3,1
QSearchMinimax(d=3),white,a4b2c54e,7,-1,3010
QSearchMinimax(d=3),white,a4b2c54e,7,0,2910
QSearchMinimax(d=3),white,a4b2c54e,7,1,249
QSearchMinimax(d=3),white,a4b2c54e,7,2,31
QSearchMinimax(d=3),white,a4b2c54e,7,3,1
QSearchMinimax(d=3),white,a4b2c54e,8,-1,1149
QSearchMinimax(d=3),white,a4b2c54e,8,0,1139
QSearchMinimax(d=3),white,a4b2c54e,8,1,59
QSearchMinimax(d=3),white,a4b2c54e,8,2,34
QSearchMinimax(d=3),white,a4b2c54e,8,3,1
QSearchMinimax(d=3),white,a4b2c54e,9,-1,2114
QSearchMinimax(d=3),white,a4b2c54e,9,0,2012
QSearchMinimax(d=3),white,a4b2c54e,9,1,110
QSearchMinimax(d=3),white,a4b2c54e,9,2,42
QSearchMinimax(d=3),white,a4b2c54e,9,3,1
QSearchMinimax(d=3),white,a4b2c54e,10,-1,1301
QSearchMinimax(d=3),white,a4b2c54e,10,0,1222
QSearchMinimax(d=3),white,a4b2c54e,10,1,85
QSearchMinimax(d=3),white,a4b2c54e,10,2,40
QSearchMinimax(d=3),white,a4b2c54e,10,3,1
QSearchMinimax(d=3),white,a4b2c54e,11,-1,1575
QSearchMinimax(d=3),white,a4b2c54e,11,0,1582
QSearchMinimax(d=3),white,a4b2c54e,11,1,65
QSearchMinimax(d=3),white,a4b2c54e,11,2,43
QSearchMinimax(d=3),white,a4b2c54e,11,3,1
QSearchMinimax(d=3),white,a4b2c54e,12,-1,1675
QSearchMinimax(d=3),white,a4b2c54e,12,0,1622
QSearchMinimax(d=3),white,a4b2c54e,12,1,95
QSearchMinimax(d=3),white,a4b2c54e,12,2,40
QSearchMinimax(d=3),white,a4b2c54e,12,3,1
QSearchMinimax(d=3),white,a4b2c54e,13,-1,190
QSearchMinimax(d=3),white,a4b2c54e,13,0,143
QSearchMinimax(d=3),white,a4b2c54e,13,1,34
QSearchMinimax(d=3),white,a4b2c54e,13,2,5
QSearchMinimax(d=3),white,a4b2c54e,13,3,1
