agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,b03fa7d0,1,-1,198
QSearchMinimax(d=3),white,b03fa7d0,1,0,2056
QSearchMinimax(d=3),white,b03fa7d0,1,1,159
QSearchMinimax(d=3),white,b03fa7d0,1,2,20
QSearchMinimax(d=3),white,b03fa7d0,1,3,1
QSearchMinimax(d=3),white,b03fa7d0,2,-1,721
QSearchMinimax(d=3),white,b03fa7d0,2,0,2853
QSearchMinimax(d=3),white,b03fa7d0,2,1,190
QSearchMinimax(d=3),white,b03fa7d0,2,2,21
QSearchMinimax(d=3),white,b03fa7d0,2,3,1
QSearchMinimax(d=3),white,b03fa7d0,3,-1,1952
QSearchMinimax(d=3),white,b03fa7d0,3,0,2225
QSearchMinimax(d=3),white,b03fa7d0,3,1,241
QSearchMinimax(d=3),white,b03fa7d0,3,2,20
QSearchMinimax(d=3),white,b03fa7d0,3,3,1
QSearchMinimax(d=3),white,b03fa7d0,4,-1,5413
QSearchMinimax(d=3),white,b03fa7d0,4,0,4761
QSearchMinimax(d=3),white,b03fa7d0,4,1,359
QSearchMinimax(d=3),white,b03fa7d0,4,2,26
QSearchMinimax(d=3),white,b03fa7d0,4,3,1
QSearchMinimax(d=3),white,b03fa7d0,5,-1,345
QSearchMinimax(d=3),white,b03fa7d0,5,0,289
QSearchMinimax(d=3),white,b03fa7d0,5,1,72
QSearchMinimax(d=3),white,b03fa7d0,5,2,7
QSearchMinimax(d=3),white,b03fa7d0,5,3,1
QSearchMinimax(d=3),white,b03fa7d0,6,-1,1829
QSearchMinimax(d=3),white,b03fa7d0,6,0,1688
QSearchMinimax(d=3),white,b03fa7d0,6,1,109
QSearchMinimax(d=3),white,b03fa7d0,6,2,35
QSearchMinimax(d=3),white,b03fa7d0,6,3,1
QSearchMinimax(d=3),white,b03fa7d0,7,-1,4410
QSearchMinimax(d=3),white,b03fa7d0,7,0,3832
QSearchMinimax(d=3),white,b03fa7d0,7,1,343
QSearchMinimax(d=3),white,b03fa7d0,7,2,37
QSearchMinimax(d=3),white,b03fa7d0,7,3,1
QSearchMinimax(d=3),white,b03fa7d0,8,-1,3091
QSearchMinimax(d=3),white,b03fa7d0,8,0,2575
QSearchMinimax(d=3),white,b03fa7d0,8,1,285
QSearchMinimax(d=3),white,b03fa7d0,8,2,33
QSearchMinimax(d=3),white,b03fa7d0,8,3,1
QSearchMinimax(d=3),white,b03fa7d0,9,-1,3708
QSearchMinimax(d=3),white,b03fa7d0,9,0,3031
QSearchMinimax(d=3),white,b03fa7d0,9,1,331
QSearchMinimax(d=3),white,b03fa7d0,9,2,32
QSearchMinimax(d=3),white,b03fa7d0,9,3,1
QSearchMinimax(d=3),white,b03fa7d0,10,-1,405
QSearchMinimax(d=3),white,b03fa7d0,10,0,461
QSearchMinimax(d=3),white,b03fa7d0,10,1,71
QSearchMinimax(d=3),white,b03fa7d0,10,2,7
QSearchMinimax(d=3),white,b03fa7d0,10,3,1
QSearchMinimax(d=3),white,b03fa7d0,11,-1,1866
QSearchMinimax(d=3),white,b03fa7d0,11,0,1863
QSearchMinimax(d=3),white,b03fa7d0,11,1,108
QSearchMinimax(d=3),white,b03fa7d0,11,2,41
QSearchMinimax(d=3),white,b03fa7d0,11,3,1
QSearchMinimax(d=3),white,b03fa7d0,12,-1,3568
QSearchMinimax(d=3),white,b03fa7d0,12,0,3699
QSearchMinimax(d=3),white,b03fa7d0,12,1,247
QSearchMinimax(d=3),white,b03fa7d0,12,2,39
QSearchMinimax(d=3),white,b03fa7d0,12,3,1
QSearchMinimax(d=3),white,b03fa7d0,13,-1,2243
QSearchMinimax(d=3),white,b03fa7d0,13,0,2191
QSearchMinimax(d=3),white,b03fa7d0,13,1,74
QSearchMinimax(d=3),white,b03fa7d0,13,2,47
QSearchMinimax(d=3),white,b03fa7d0,13,3,1
QSearchMinimax(d=3),white,b03fa7d0,14,-1,4845
QSearchMinimax(d=3),white,b03fa7d0,14,0,4660
QSearchMinimax(d=3),white,b03fa7d0,14,1,307
QSearchMinimax(d=3),white,b03fa7d0,14,2,46
QSearchMinimax(d=3),white,b03fa7d0,14,3,1
QSearchMinimax(d=3),white,b03fa7d0,15,-1,2774
QSearchMinimax(d=3),white,b03fa7d0,15,0,2560
QSearchMinimax(d=3),white,b03fa7d0,15,1,124
QSearchMinimax(d=3),white,b03fa7d0,15,2,48
QSearchMinimax(d=3),white,b03fa7d0,15,3,1
QSearchMinimax(d=3),white,b03fa7d0,16,-1,3960
QSearchMinimax(d=3),white,b03fa7d0,16,0,3680
