agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,be519451,1,-1,1136
QSearchMinimax(d=3),black,be519451,1,0,1645
QSearchMinimax(d=3),black,be519451,1,1,236
QSearchMinimax(d=3),black,be519451,1,2,20
QSearchMinimax(d=3),black,be519451,1,3,1
QSearchMinimax(d=3),black,be519451,2,-1,1965
QSearchMinimax(d=3),black,be519451,2,0,2014
QSearchMinimax(d=3),black,be519451,2,1,224
QSearchMinimax(d=3),black,be519451,2,2,29
QSearchMinimax(d=3),black,be519451,2,3,1
QSearchMinimax(d=3),black,be519451,3,-1,298
QSearchMinimax(d=3),black,be519451,3,0,250
QSearchMinimax(d=3),black,be519451,3,1,74
QSearchMinimax(d=3),black,be519451,3,2,6
QSearchMinimax(d=3),black,be519451,3,3,1
QSearchMinimax(d=3),black,be519451,4,-1,2010
QSearchMinimax(d=3),black,be519451,4,0,1835
QSearchMinimax(d=3),black,be519451,4,1,142
QSearchMinimax(d=3),black,be519451,4,2,38
QSearchMinimax(d=3),black,be519451,4,3,1
QSearchMinimax(d=3),black,be519451,5,-1,1751
QSearchMinimax(d=3),black,be519451,5,0,1590
QSearchMinimax(d=3),black,be519451,5,1,94
QSearchMinimax(d=3),black,be519451,5,2,40
QSearchMinimax(d=3),black,be519451,5,3,1
QSearchMinimax(d=3),black,be519451,6,-1,1318
QSearchMinimax(d=3),black,be519451,6,0,1308
QSearchMinimax(d=3),black,be519451,6,1,63
QSearchMinimax(d=3),black,be519451,6,2,38
QSearchMinimax(d=3),black,be519451,6,3,1
QSearchMinimax(d=3),black,be519451,7,-1,1599
QSearchMinimax(d=3),black,be519451,7,0,1930
QSearchMinimax(d=3),black,be519451,7,1,87
QSearchMinimax(d=3),black,be519451,7,2,36
QSearchMinimax(d=3),black,be519451,7,3,1
QSearchMinimax(d=3),black,be519451,8,-1,3842
QSearchMinimax(d=3),black,be519451,8,0,3732
QSearchMinimax(d=3),black,be519451,8,1,322
QSearchMinimax(d=3),black,be519451,8,2,34
QSearchMinimax(d=3),black,be519451,8,3,1
QSearchMinimax(d=3),black,be519451,9,-1,3514
QSearchMinimax(d=3),black,be519451,9,0,3201
QSearchMinimax(d=3),black,be519451,9,1,336
QSearchMinimax(d=3),black,be519451,9,2,30
QSearchMinimax(d=3),black,be519451,9,3,1
QSearchMinimax(d=3),black,be519451,10,-1,3980
QSearchMinimax(d=3),black,be519451,10,0,3624
QSearchMinimax(d=3),black,be519451,10,1,447
QSearchMinimax(d=3),black,be519451,10,2,33
QSearchMinimax(d=3),black,be519451,10,3,1
QSearchMinimax(d=3),black,be519451,11,-1,3281
QSearchMinimax(d=3),black,be519451,11,0,2770
QSearchMinimax(d=3),black,be519451,11,1,349
QSearchMinimax(d=3),black,be519451,11,2,31
QSearchMinimax(d=3),black,be519451,11,3,1
QSearchMinimax(d=3),black,be519451,12,-1,3181
QSearchMinimax(d=3),black,be519451,12,0,2879
QSearchMinimax(d=3),black,be519451,12,1,260
QSearchMinimax(d=3),black,be519451,12,2,35
QSearchMinimax(d=3),black,be519451,12,3,1
QSearchMinimax(d=3),black,be519451,13,-1,916
QSearchMinimax(d=3),black,be519451,13,0,721
QSearchMinimax(d=3),black,be519451,13,1,94
QSearchMinimax(d=3),black,be519451,13,2,33
QSearchMinimax(d=3),black,be519451,13,3,1
QSearchMinimax(d=3),black,be519451,14,-1,672
QSearchMinimax(d=3),black,be519451,14,0,418
QSearchMinimax(d=3),black,be519451,14,1,80
QSearchMinimax(d=3),black,be519451,14,2,4
QSearchMinimax(d=3),black,be519451,14,3,1
QSearchMinimax(d=3),black,be519451,15,-1,91
QSearchMinimax(d=3),black,be519451,15,0,84
QSearchMinimax(d=3),black,be519451,15,1,23
QSearchMinimax(d=3),black,be519451,15,2,1
QSearchMinimax(d=3),black,be519451,15,3,1
QSearchMinimax(d=3),black,be519451,16,-1,2462
QSearchMinimax(d=3),black,be519451,16,0,2207
QSearchMinimax(d=3),black,be519451,16,1,232
QSearchMinimax(d=3),black,be519451,16,2,30
QSearchMinimax(d=3),black,be519451,16,3,1
QSearchMinimax(d=3),black,be519451,17,-1,1805
QSearchMinimax(d=3),black,be519451,17,0,1937
QSearchMinimax(d=3),black,be519451,17,1,137
QSearchMinimax(d=3),black,be519451,17,2,31
QSearchMinimax(d=3),black,be519451,17,3,1
QSearchMinimax(d=3),black,be519451,18,-1,1258
QSearchMinimax(d=3),black,be519451,18,0,1360
QSearchMinimax(d=3),black,be519451,18,1,147
QSearchMinimax(d=3),black,be519451,18,2,28
QSearchMinimax(d=3),black,be519451,18,3,1
QSearchMinimax(d=3),black,be519451,19,-1,3228
QSearchMinimax(d=3),black,be519451,19,0,3278
QSearchMinimax(d=3),black,be519451,19,1,244
QSearchMinimax(d=3),black,be519451,19,2,33
QSearchMinimax(d=3),black,be519451,19,3,1
QSearchMinimax(d=3),black,be519451,20,-1,1930
QSearchMinimax(d=3),black,be519451,20,0,1615
QSearchMinimax(d=3),black,be519451,20,1,167
QSearchMinimax(d=3),black,be519451,20,2,33
QSearchMinimax(d=3),black,be519451,20,3,1
QSearchMinimax(d=3),black,be519451,21,-1,2341
QSearchMinimax(d=3),black,be519451,21,0,1653
QSearchMinimax(d=3),black,be519451,21,1,237
QSearchMinimax(d=3),black,be519451,21,2,24
QSearchMinimax(d=3),black,be519451,21,3,1
QSearchMinimax(d=3),black,be519451,22,-1,1616
QSearchMinimax(d=3),black,be519451,22,0,1304
QSearchMinimax(d=3),black,be519451,22,1,157
QSearchMinimax(d=3),black,be519451,22,2,23
QSearchMinimax(d=3),black,be519451,22,3,1
QSearchMinimax(d=3),black,be519451,23,-1,2486
QSearchMinimax(d=3),black,be519451,23,0,2232
QSearchMinimax(d=3),black,be519451,23,1,191
QSearchMinimax(d=3),black,be519451,23,2,29
QSearchMinimax(d=3),black,be519451,23,3,1
QSearchMinimax(d=3),black,be519451,24,-1,2404
QSearchMinimax(d=3),black,be519451,24,0,2187
QSearchMinimax(d=3),black,be519451,24,1,229
QSearchMinimax(d=3),black,be519451,24,2,27
QSearchMinimax(d=3),black,be519451,24,3,1
QSearchMinimax(d=3),black,be519451,25,-1,2792
QSearchMinimax(d=3),black,be519451,25,0,2589
QSearchMinimax(d=3),black,be519451,25,1,239
QSearchMinimax(d=3),black,be519451,25,2,29
QSearchMinimax(d=3),black,be519451,25,3,1
QSearchMinimax(d=3),black,be519451,26,-1,1476
QSearchMinimax(d=3),black,be519451,26,0,1238
QSearchMinimax(d=3),black,be519451,26,1,143
QSearchMinimax(d=3),black,be519451,26,2,30
QSearchMinimax(d=3),black,be519451,26,3,1
QSearchMinimax(d=3),black,be519451,27,-1,989
QSearchMinimax(d=3),black,be519451,27,0,864
QSearchMinimax(d=3),black,be519451,27,1,81
QSearchMinimax(d=3),black,be519451,27,2,30
QSearchMinimax(d=3),black,be519451,27,3,1
QSearchMinimax(d=3),black,be519451,28,-1,3853
QSearchMinimax(d=3),black,be519451,28,0,2704
QSearchMinimax(d=3),black,be519451,28,1,250
QSearchMinimax(d=3),black,be519451,28,2,35
QSearchMinimax(d=3),black,be519451,28,3,1
QSearchMinimax(d=3),black,be519451,29,-1,4027
QSearchMinimax(d=3),black,be519451,29,0,3487
QSearchMinimax(d=3),black,be519451,29,1,374
QSearchMinimax(d=3),black,be519451,29,2,36
QSearchMinimax(d=3),black,be519451,29,3,1
QSearchMinimax(d=3),black,be519451,30,-1,116
QSearchMinimax(d=3),black,be519451,30,0,171
QSearchMinimax(d=3),black,be519451,30,1,28
QSearchMinimax(d=3),black,be519451,30,2,6
QSearchMinimax(d=3),black,be519451,30,3,1
QSearchMinimax(d=3),black,be519451,31,-1,225
QSearchMinimax(d=3),black,be519451,31,0,354
QSearchMinimax(d=3),black,be519451,31,1,39
QSearchMinimax(d=3),black,be519451,31,2,25
QSearchMinimax(d=3),black,be519451,31,3,1
QSearchMinimax(d=3),black,be519451,32,-1,524
QSearchMinimax(d=3),black,be519451,32,0,987
QSearchMinimax(d=3),black,be519451,32,1,96
QSearchMinimax(d=3),black,be519451,32,2,25
QSearchMinimax(d=3),black,be519451,32,3,1
QSearchMinimax(d=3),black,be519451,33,-1,412
QSearchMinimax(d=3),black,be519451,33,0,844
QSearchMinimax(d=3),black,be519451,33,1,72
QSearchMinimax(d=3),black,be519451,33,2,22
QSearchMinimax(d=3),black,be519451,33,3,1
QSearchMinimax(d=3),black,be519451,34,-1,368
QSearchMinimax(d=3),black,be519451,34,0,755
QSearchMinimax(d=3),black,be519451,34,1,70
QSearchMinimax(d=3),black,be519451,34,2,21
QSearchMinimax(d=3),black,be519451,34,3,1
QSearchMinimax(d=3),black,be519451,35,-1,360
QSearchMinimax(d=3),black,be519451,35,0,787
QSearchMinimax(d=3),black,be519451,35,1,72
QSearchMinimax(d=3),black,be519451,35,2,21
QSearchMinimax(d=3),black,be519451,35,3,1
QSearchMinimax(d=3),black,be519451,36,-1,449
QSearchMinimax(d=3),black,be519451,36,0,823
QSearchMinimax(d=3),black,be519451,36,1,100
QSearchMinimax(d=3),black,be519451,36,2,21
QSearchMinimax(d=3),black,be519451,36,3,1
QSearchMinimax(d=3),black,be519451,37,-1,241
QSearchMinimax(d=3),black,be519451,37,0,506
QSearchMinimax(d=3),black,be519451,37,1,53
QSearchMinimax(d=3),black,be519451,37,2,20
QSearchMinimax(d=3),black,be519451,37,3,1
QSearchMinimax(d=3),black,be519451,38,-1,581
QSearchMinimax(d=3),black,be519451,38,0,1060
QSearchMinimax(d=3),black,be519451,38,1,122
QSearchMinimax(d=3),black,be519451,38,2,25
QSearchMinimax(d=3),black,be519451,38,3,1
QSearchMinimax(d=3),black,be519451,39,-1,355
QSearchMinimax(d=3),black,be519451,39,0,638
QSearchMinimax(d=3),black,be519451,39,1,55
QSearchMinimax(d=3),black,be519451,39,2,26
QSearchMinimax(d=3),black,be519451,39,3,1
QSearchMinimax(d=3),black,be519451,40,-1,332
QSearchMinimax(d=3),black,be519451,40,0,531
QSearchMinimax(d=3),black,be519451,40,1,28
QSearchMinimax(d=3),black,be519451,40,2,23
QSearchMinimax(d=3),black,be519451,40,3,1
QSearchMinimax(d=3),black,be519451,41,-1,807
QSearchMinimax(d=3),black,be519451,41,0,1016
QSearchMinimax(d=3),black,be519451,41,1,57
QSearchMinimax(d=3),black,be519451,41,2,28
QSearchMinimax(d=3),black,be519451,41,3,1
QSearchMinimax(d=3),black,be519451,42,-1,252
QSearchMinimax(d=3),black,be519451,42,0,356
QSearchMinimax(d=3),black,be519451,42,1,54
QSearchMinimax(d=3),black,be519451,42,2,31
QSearchMinimax(d=3),black,be519451,42,3,1
QSearchMinimax(d=3),black,be519451,43,-1,395
QSearchMinimax(d=3),black,be519451,43,0,561
QSearchMinimax(d=3),black,be519451,43,1,43
QSearchMinimax(d=3),black,be519451,43,2,28
QSearchMinimax(d=3),black,be519451,43,3,1
QSearchMinimax(d=3),black,be519451,44,-1,323
QSearchMinimax(d=3),black,be519451,44,0,895
QSearchMinimax(d=3),black,be519451,44,1,64
QSearchMinimax(d=3),black,be519451,44,2,31
QSearchMinimax(d=3),black,be519451,44,3,1
QSearchMinimax(d=3),black,be519451,45,-1,449
QSearchMinimax(d=3),black,be519451,45,0,1485
QSearchMinimax(d=3),black,be519451,45,1,94
QSearchMinimax(d=3),black,be519451,45,2,29
QSearchMinimax(d=3),black,be519451,45,3,1
QSearchMinimax(d=3),black,be519451,46,-1,621
QSearchMinimax(d=3),black,be519451,46,0,1742
QSearchMinimax(d=3),black,be519451,46,1,112
QSearchMinimax(d=3),black,be519451,46,2,29
QSearchMinimax(d=3),black,be519451,46,3,1
QSearchMinimax(d=3),black,be519451,47,-1,359
QSearchMinimax(d=3),black,be519451,47,0,1137
QSearchMinimax(d=3),black,be519451,47,1,53
QSearchMinimax(d=3),black,be519451,47,2,30
QSearchMinimax(d=3),black,be519451,47,3,1
QSearchMinimax(d=3),black,be519451,48,-1,612
QSearchMinimax(d=3),black,be519451,48,0,705
QSearchMinimax(d=3),black,be519451,48,1,36
QSearchMinimax(d=3),black,be519451,48,2,26
QSearchMinimax(d=3),black,be519451,48,3,1
QSearchMinimax(d=3),black,be519451,49,-1,351
QSearchMinimax(d=3),black,be519451,49,0,1279
QSearchMinimax(d=3),black,be519451,49,1,76
QSearchMinimax(d=3),black,be519451,49,2,27
QSearchMinimax(d=3),black,be519451,49,3,1
QSearchMinimax(d=3),black,be519451,50,-1,188
QSearchMinimax(d=3),black,be519451,50,0,578
QSearchMinimax(d=3),black,be519451,50,1,36
QSearchMinimax(d=3),black,be519451,50,2,23
QSearchMinimax(d=3),black,be519451,50,3,1
QSearchMinimax(d=3),black,be519451,51,-1,326
QSearchMinimax(d=3),black,be519451,51,0,786
QSearchMinimax(d=3),black,be519451,51,1,68
QSearchMinimax(d=3),black,be519451,51,2,29
QSearchMinimax(d=3),black,be519451,51,3,1
QSearchMinimax(d=3),black,be519451,52,-1,312
QSearchMinimax(d=3),black,be519451,52,0,1127
QSearchMinimax(d=3),black,be519451,52,1,75
QSearchMinimax(d=3),black,be519451,52,2,25
QSearchMinimax(d=3),black,be519451,52,3,1
QSearchMinimax(d=3),black,be519451,53,-1,220
