agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,1cd2872a,1,0,2096
EvalMinimax(d=3),white,1cd2872a,1,1,154
EvalMinimax(d=3),white,1cd2872a,1,2,20
EvalMinimax(d=3),white,1cd2872a,1,3,1
EvalMinimax(d=3),white,1cd2872a,2,0,1224
EvalMinimax(d=3),white,1cd2872a,2,1,154
EvalMinimax(d=3),white,1cd2872a,2,2,21
EvalMinimax(d=3),white,1cd2872a,2,3,1
EvalMinimax(d=3),white,1cd2872a,3,0,634
EvalMinimax(d=3),white,1cd2872a,3,1,49
EvalMinimax(d=3),white,1cd2872a,3,2,22
EvalMinimax(d=3),white,1cd2872a,3,3,1
EvalMinimax(d=3),white,1cd2872a,4,0,1027
EvalMinimax(d=3),white,1cd2872a,4,1,69
EvalMinimax(d=3),white,1cd2872a,4,2,29
EvalMinimax(d=3),white,1cd2872a,4,3,1
EvalMinimax(d=3),white,1cd2872a,5,0,1831
EvalMinimax(d=3),white,1cd2872a,5,1,213
EvalMinimax(d=3),white,1cd2872a,5,2,36
EvalMinimax(d=3),white,1cd2872a,5,3,1
EvalMinimax(d=3),white,1cd2872a,6,0,892
EvalMinimax(d=3),white,1cd2872a,6,1,123
EvalMinimax(d=3),white,1cd2872a,6,2,34
EvalMinimax(d=3),white,1cd2872a,6,3,1
EvalMinimax(d=3),white,1cd2872a,7,0,790
EvalMinimax(d=3),white,1cd2872a,7,1,61
EvalMinimax(d=3),white,1cd2872a,7,2,27
EvalMinimax(d=3),white,1cd2872a,7,3,1
EvalMinimax(d=3),white,1cd2872a,8,0,1384
EvalMinimax(d=3),white,1cd2872a,8,1,136
EvalMinimax(d=3),white,1cd2872a,8,2,25
EvalMinimax(d=3),white,1cd2872a,8,3,1
EvalMinimax(d=3),white,1cd2872a,9,0,1929
EvalMinimax(d=3),white,1cd2872a,9,1,116
EvalMinimax(d=3),white,1cd2872a,9,2,31
EvalMinimax(d=3),white,1cd2872a,9,3,1
EvalMinimax(d=3),white,1cd2872a,10,0,1824
EvalMinimax(d=3),white,1cd2872a,10,1,180
EvalMinimax(d=3),white,1cd2872a,10,2,30
EvalMinimax(d=3),white,1cd2872a,10,3,1
EvalMinimax(d=3),white,1cd2872a,11,0,1559
EvalMinimax(d=3),white,1cd2872a,11,1,204
EvalMinimax(d=3),white,1cd2872a,11,2,29
