agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,389f2248,1,0,2096
EvalMinimax(d=3),white,389f2248,1,1,154
EvalMinimax(d=3),white,389f2248,1,2,20
EvalMinimax(d=3),white,389f2248,1,3,1
EvalMinimax(d=3),white,389f2248,2,0,2255
EvalMinimax(d=3),white,389f2248,2,1,186
EvalMinimax(d=3),white,389f2248,2,2,19
EvalMinimax(d=3),white,389f2248,2,3,1
EvalMinimax(d=3),white,389f2248,3,0,2442
EvalMinimax(d=3),white,389f2248,3,1,228
EvalMinimax(d=3),white,389f2248,3,2,21
EvalMinimax(d=3),white,389f2248,3,3,1
EvalMinimax(d=3),white,389f2248,4,0,1283
EvalMinimax(d=3),white,389f2248,4,1,125
EvalMinimax(d=3),white,389f2248,4,2,22
EvalMinimax(d=3),white,389f2248,4,3,1
EvalMinimax(d=3),white,389f2248,5,0,2381
EvalMinimax(d=3),white,389f2248,5,1,377
EvalMinimax(d=3),white,389f2248,5,2,34
EvalMinimax(d=3),white,389f2248,5,3,1
EvalMinimax(d=3),white,389f2248,6,0,945
EvalMinimax(d=3),white,389f2248,6,1,66
EvalMinimax(d=3),white,389f2248,6,2,29
EvalMinimax(d=3),white,389f2248,6,3,1
EvalMinimax(d=3),white,389f2248,7,0,1102
EvalMinimax(d=3),white,389f2248,7,1,168
EvalMinimax(d=3),white,389f2248,7,2,28
EvalMinimax(d=3),white,389f2248,7,3,1
EvalMinimax(d=3),white,389f2248,8,0,982
EvalMinimax(d=3),white,389f2248,8,1,95
EvalMinimax(d=3),white,389f2248,8,2,33
EvalMinimax(d=3),white,389f2248,8,3,1
EvalMinimax(d=3),white,389f2248,9,0,640
EvalMinimax(d=3),white,389f2248,9,1,123
EvalMinimax(d=3),white,389f2248,9,2,25
EvalMinimax(d=3),white,389f2248,9,3,1
EvalMinimax(d=3),white,389f2248,10,0,986
EvalMinimax(d=3),white,389f2248,10,1,130
EvalMinimax(d=3),white,389f2248,10,2,22
EvalMinimax(d=3),white,389f2248,10,3,1
EvalMinimax(d=3),white,389f2248,11,0,1163
EvalMinimax(d=3),white,389f2248,11,1,185
EvalMinimax(d=3),white,389f2248,11,2,22
EvalMinimax(d=3),white,389f2248,11,3,1
EvalMinimax(d=3),white,389f2248,12,0,632
EvalMinimax(d=3),white,389f2248,12,1,124
EvalMinimax(d=3),white,389f2248,12,2,22
EvalMinimax(d=3),white,389f2248,12,3,1
EvalMinimax(d=3),white,389f2248,13,0,716
EvalMinimax(d=3),white,389f2248,13,1,175
EvalMinimax(d=3),white,389f2248,13,2,24
EvalMinimax(d=3),white,389f2248,13,3,1
EvalMinimax(d=3),white,389f2248,14,0,944
EvalMinimax(d=3),white,389f2248,14,1,224
EvalMinimax(d=3),white,389f2248,14,2,28
EvalMinimax(d=3),white,389f2248,14,3,1
EvalMinimax(d=3),white,389f2248,15,0,422
EvalMinimax(d=3),white,389f2248,15,1,145
EvalMinimax(d=3),white,389f2248,15,2,32
EvalMinimax(d=3),white,389f2248,15,3,1
EvalMinimax(d=3),white,389f2248,16,0,711
EvalMinimax(d=3),white,389f2248,16,1,144
EvalMinimax(d=3),white,389f2248,16,2,27
EvalMinimax(d=3),white,389f2248,16,3,1
EvalMinimax(d=3),white,389f2248,17,0,853
EvalMinimax(d=3),white,389f2248,17,1,208
EvalMinimax(d=3),white,389f2248,17,2,27
EvalMinimax(d=3),white,389f2248,17,3,1
EvalMinimax(d=3),white,389f2248,18,0,1301
EvalMinimax(d=3),white,389f2248,18,1,247
EvalMinimax(d=3),white,389f2248,18,2,29
EvalMinimax(d=3),white,389f2248,18,3,1
