agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,493e6315,1,0,2096
EvalMinimax(d=3),white,493e6315,1,1,154
EvalMinimax(d=3),white,493e6315,1,2,20
EvalMinimax(d=3),white,493e6315,1,3,1
EvalMinimax(d=3),white,493e6315,2,0,2038
EvalMinimax(d=3),white,493e6315,2,1,127
EvalMinimax(d=3),white,493e6315,2,2,21
EvalMinimax(d=3),white,493e6315,2,3,1
EvalMinimax(d=3),white,493e6315,3,0,930
EvalMinimax(d=3),white,493e6315,3,1,51
EvalMinimax(d=3),white,493e6315,3,2,30
EvalMinimax(d=3),white,493e6315,3,3,1
EvalMinimax(d=3),white,493e6315,4,0,2884
EvalMinimax(d=3),white,493e6315,4,1,238
EvalMinimax(d=3),white,493e6315,4,2,29
EvalMinimax(d=3),white,493e6315,4,3,1
EvalMinimax(d=3),white,493e6315,5,0,4194
EvalMinimax(d=3),white,493e6315,5,1,459
EvalMinimax(d=3),white,493e6315,5,2,34
EvalMinimax(d=3),white,493e6315,5,3,1
EvalMinimax(d=3),white,493e6315,6,0,2765
EvalMinimax(d=3),white,493e6315,6,1,392
EvalMinimax(d=3),white,493e6315,6,2,30
EvalMinimax(d=3),white,493e6315,6,3,1
EvalMinimax(d=3),white,493e6315,7,0,1118
EvalMinimax(d=3),white,493e6315,7,1,188
EvalMinimax(d=3),white,493e6315,7,2,28
EvalMinimax(d=3),white,493e6315,7,3,1
EvalMinimax(d=3),white,493e6315,8,0,2693
EvalMinimax(d=3),white,493e6315,8,1,539
EvalMinimax(d=3),white,493e6315,8,2,29
EvalMinimax(d=3),white,493e6315,8,3,1
EvalMinimax(d=3),white,493e6315,9,0,2530
EvalMinimax(d=3),white,493e6315,9,1,498
EvalMinimax(d=3),white,493e6315,9,2,28
EvalMinimax(d=3),white,493e6315,9,3,1
EvalMinimax(d=3),white,493e6315,10,0,2261
EvalMinimax(d=3),white,493e6315,10,1,487
EvalMinimax(d=3),white,493e6315,10,2,27
EvalMinimax(d=3),white,493e6315,10,3,1
EvalMinimax(d=3),white,493e6315,11,0,792
EvalMinimax(d=3),white,493e6315,11,1,64
EvalMinimax(d=3),white,493e6315,11,2,27
EvalMinimax(d=3),white,493e6315,11,3,1
EvalMinimax(d=3),white,493e6315,12,0,884
EvalMinimax(d=3),white,493e6315,12,1,215
EvalMinimax(d=3),white,493e6315,12,2,25
EvalMinimax(d=3),white,493e6315,12,3,1
EvalMinimax(d=3),white,493e6315,13,0,1674
EvalMinimax(d=3),white,493e6315,13,1,320
EvalMinimax(d=3),white,493e6315,13,2,30
EvalMinimax(d=3),white,493e6315,13,3,1
EvalMinimax(d=3),white,493e6315,14,0,1374
EvalMinimax(d=3),white,493e6315,14,1,273
EvalMinimax(d=3),white,493e6315,14,2,26
EvalMinimax(d=3),white,493e6315,14,3,1
EvalMinimax(d=3),white,493e6315,15,0,1363
EvalMinimax(d=3),white,493e6315,15,1,212
EvalMinimax(d=3),white,493e6315,15,2,26
EvalMinimax(d=3),white,493e6315,15,3,1
EvalMinimax(d=3),white,493e6315,16,0,1447
EvalMinimax(d=3),white,493e6315,16,1,95
EvalMinimax(d=3),white,493e6315,16,2,31
EvalMinimax(d=3),white,493e6315,16,3,1
EvalMinimax(d=3),white,493e6315,17,0,1658
EvalMinimax(d=3),white,493e6315,17,1,382
EvalMinimax(d=3),white,493e6315,17,2,28
