agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,62dae8c8,1,0,2257
EvalMinimax(d=3),black,62dae8c8,1,1,197
EvalMinimax(d=3),black,62dae8c8,1,2,20
EvalMinimax(d=3),black,62dae8c8,1,3,1
EvalMinimax(d=3),black,62dae8c8,2,0,3081
EvalMinimax(d=3),black,62dae8c8,2,1,247
EvalMinimax(d=3),black,62dae8c8,2,2,21
EvalMinimax(d=3),black,62dae8c8,2,3,1
EvalMinimax(d=3),black,62dae8c8,3,0,573
EvalMinimax(d=3),black,62dae8c8,3,1,51
EvalMinimax(d=3),black,62dae8c8,3,2,22
EvalMinimax(d=3),black,62dae8c8,3,3,1
EvalMinimax(d=3),black,62dae8c8,4,0,1628
EvalMinimax(d=3),black,62dae8c8,4,1,142
EvalMinimax(d=3),black,62dae8c8,4,2,20
EvalMinimax(d=3),black,62dae8c8,4,3,1
EvalMinimax(d=3),black,62dae8c8,5,0,1554
EvalMinimax(d=3),black,62dae8c8,5,1,254
EvalMinimax(d=3),black,62dae8c8,5,2,26
EvalMinimax(d=3),black,62dae8c8,5,3,1
EvalMinimax(d=3),black,62dae8c8,6,0,1265
EvalMinimax(d=3),black,62dae8c8,6,1,257
EvalMinimax(d=3),black,62dae8c8,6,2,25
EvalMinimax(d=3),black,62dae8c8,6,3,1
EvalMinimax(d=3),black,62dae8c8,7,0,1106
EvalMinimax(d=3),black,62dae8c8,7,1,237
EvalMinimax(d=3),black,62dae8c8,7,2,25
EvalMinimax(d=3),black,62dae8c8,7,3,1
EvalMinimax(d=3),black,62dae8c8,8,0,1673
EvalMinimax(d=3),black,62dae8c8,8,1,271
EvalMinimax(d=3),black,62dae8c8,8,2,23
EvalMinimax(d=3),black,62dae8c8,8,3,1
EvalMinimax(d=3),black,62dae8c8,9,0,1426
EvalMinimax(d=3),black,62dae8c8,9,1,336
EvalMinimax(d=3),black,62dae8c8,9,2,24
EvalMinimax(d=3),black,62dae8c8,9,3,1
EvalMinimax(d=3),black,62dae8c8,10,0,1039
EvalMinimax(d=3),black,62dae8c8,10,1,117
EvalMinimax(d=3),black,62dae8c8,10,2,29
EvalMinimax(d=3),black,62dae8c8,10,3,1
EvalMinimax(d=3),black,62dae8c8,11,0,1032
EvalMinimax(d=3),black,62dae8c8,11,1,115
EvalMinimax(d=3),black,62dae8c8,11,2,31
EvalMinimax(d=3),black,62dae8c8,11,3,1
EvalMinimax(d=3),black,62dae8c8,12,0,916
EvalMinimax(d=3),black,62dae8c8,12,1,206
EvalMinimax(d=3),black,62dae8c8,12,2,26
EvalMinimax(d=3),black,62dae8c8,12,3,1
