agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,9aaf82a8,1,0,3159
EvalMinimax(d=3),black,9aaf82a8,1,1,326
EvalMinimax(d=3),black,9aaf82a8,1,2,20
EvalMinimax(d=3),black,9aaf82a8,1,3,1
EvalMinimax(d=3),black,9aaf82a8,2,0,2457
EvalMinimax(d=3),black,9aaf82a8,2,1,228
EvalMinimax(d=3),black,9aaf82a8,2,2,28
EvalMinimax(d=3),black,9aaf82a8,2,3,1
EvalMinimax(d=3),black,9aaf82a8,3,0,1681
EvalMinimax(d=3),black,9aaf82a8,3,1,137
EvalMinimax(d=3),black,9aaf82a8,3,2,29
EvalMinimax(d=3),black,9aaf82a8,3,3,1
EvalMinimax(d=3),black,9aaf82a8,4,0,2465
EvalMinimax(d=3),black,9aaf82a8,4,1,261
EvalMinimax(d=3),black,9aaf82a8,4,2,28
EvalMinimax(d=3),black,9aaf82a8,4,3,1
EvalMinimax(d=3),black,9aaf82a8,5,0,1713
EvalMinimax(d=3),black,9aaf82a8,5,1,156
EvalMinimax(d=3),black,9aaf82a8,5,2,29
EvalMinimax(d=3),black,9aaf82a8,5,3,1
EvalMinimax(d=3),black,9aaf82a8,6,0,1076
EvalMinimax(d=3),black,9aaf82a8,6,1,127
EvalMinimax(d=3),black,9aaf82a8,6,2,30
EvalMinimax(d=3),black,9aaf82a8,6,3,1
EvalMinimax(d=3),black,9aaf82a8,7,0,1725
EvalMinimax(d=3),black,9aaf82a8,7,1,261
EvalMinimax(d=3),black,9aaf82a8,7,2,28
EvalMinimax(d=3),black,9aaf82a8,7,3,1
EvalMinimax(d=3),black,9aaf82a8,8,0,2052
EvalMinimax(d=3),black,9aaf82a8,8,1,243
EvalMinimax(d=3),black,9aaf82a8,8,2,31
EvalMinimax(d=3),black,9aaf82a8,8,3,1
EvalMinimax(d=3),black,9aaf82a8,9,0,2497
EvalMinimax(d=3),black,9aaf82a8,9,1,352
EvalMinimax(d=3),black,9aaf82a8,9,2,30
EvalMinimax(d=3),black,9aaf82a8,9,3,1
EvalMinimax(d=3),black,9aaf82a8,10,0,2612
EvalMinimax(d=3),black,9aaf82a8,10,1,405
EvalMinimax(d=3),black,9aaf82a8,10,2,29
EvalMinimax(d=3),black,9aaf82a8,10,3,1
EvalMinimax(d=3),black,9aaf82a8,11,0,885
EvalMinimax(d=3),black,9aaf82a8,11,1,71
EvalMinimax(d=3),black,9aaf82a8,11,2,29
EvalMinimax(d=3),black,9aaf82a8,11,3,1
EvalMinimax(d=3),black,9aaf82a8,12,0,970
EvalMinimax(d=3),black,9aaf82a8,12,1,152
EvalMinimax(d=3),black,9aaf82a8,12,2,31
EvalMinimax(d=3),black,9aaf82a8,12,3,1
EvalMinimax(d=3),black,9aaf82a8,13,0,736
EvalMinimax(d=3),black,9aaf82a8,13,1,139
EvalMinimax(d=3),black,9aaf82a8,13,2,28
EvalMinimax(d=3),black,9aaf82a8,13,3,1
EvalMinimax(d=3),black,9aaf82a8,14,0,798
EvalMinimax(d=3),black,9aaf82a8,14,1,241
EvalMinimax(d=3),black,9aaf82a8,14,2,26
EvalMinimax(d=3),black,9aaf82a8,14,3,1
EvalMinimax(d=3),black,9aaf82a8,15,0,570
EvalMinimax(d=3),black,9aaf82a8,15,1,55
EvalMinimax(d=3),black,9aaf82a8,15,2,22
EvalMinimax(d=3),black,9aaf82a8,15,3,1
EvalMinimax(d=3),black,9aaf82a8,16,0,791
EvalMinimax(d=3),black,9aaf82a8,16,1,170
EvalMinimax(d=3),black,9aaf82a8,16,2,20
EvalMinimax(d=3),black,9aaf82a8,16,3,1
EvalMinimax(d=3),black,9aaf82a8,17,0,1123
EvalMinimax(d=3),black,9aaf82a8,17,1,194
EvalMinimax(d=3),black,9aaf82a8,17,2,23
EvalMinimax(d=3),black,9aaf82a8,17,3,1
EvalMinimax(d=3),black,9aaf82a8,18,0,1071
EvalMinimax(d=3),black,9aaf82a8,18,1,166
EvalMinimax(d=3),black,9aaf82a8,18,2,20
EvalMinimax(d=3),black,9aaf82a8,18,3,1
EvalMinimax(d=3),black,9aaf82a8,19,0,676
EvalMinimax(d=3),black,9aaf82a8,19,1,91
EvalMinimax(d=3),black,9aaf82a8,19,2,18
EvalMinimax(d=3),black,9aaf82a8,19,3,1
EvalMinimax(d=3),black,9aaf82a8,20,0,495
EvalMinimax(d=3),black,9aaf82a8,20,1,56
EvalMinimax(d=3),black,9aaf82a8,20,2,20
EvalMinimax(d=3),black,9aaf82a8,20,3,1
EvalMinimax(d=3),black,9aaf82a8,21,0,832
EvalMinimax(d=3),black,9aaf82a8,21,1,173
EvalMinimax(d=3),black,9aaf82a8,21,2,20
EvalMinimax(d=3),black,9aaf82a8,21,3,1
EvalMinimax(d=3),black,9aaf82a8,22,0,759
EvalMinimax(d=3),black,9aaf82a8,22,1,97
EvalMinimax(d=3),black,9aaf82a8,22,2,20
EvalMinimax(d=3),black,9aaf82a8,22,3,1
EvalMinimax(d=3),black,9aaf82a8,23,0,649
EvalMinimax(d=3),black,9aaf82a8,23,1,96
EvalMinimax(d=3),black,9aaf82a8,23,2,18
EvalMinimax(d=3),black,9aaf82a8,23,3,1
EvalMinimax(d=3),black,9aaf82a8,24,0,995
EvalMinimax(d=3),black,9aaf82a8,24,1,354
EvalMinimax(d=3),black,9aaf82a8,24,2,20
EvalMinimax(d=3),black,9aaf82a8,24,3,1
EvalMinimax(d=3),black,9aaf82a8,25,0,523
EvalMinimax(d=3),black,9aaf82a8,25,1,67
EvalMinimax(d=3),black,9aaf82a8,25,2,21
EvalMinimax(d=3),black,9aaf82a8,25,3,1
EvalMinimax(d=3),black,9aaf82a8,26,0,917
EvalMinimax(d=3),black,9aaf82a8,26,1,255
EvalMinimax(d=3),black,9aaf82a8,26,2,26
EvalMinimax(d=3),black,9aaf82a8,26,3,1
EvalMinimax(d=3),black,9aaf82a8,27,0,972
EvalMinimax(d=3),black,9aaf82a8,27,1,271
EvalMinimax(d=3),black,9aaf82a8,27,2,24
EvalMinimax(d=3),black,9aaf82a8,27,3,1
EvalMinimax(d=3),black,9aaf82a8,28,0,454
EvalMinimax(d=3),black,9aaf82a8,28,1,51
EvalMinimax(d=3),black,9aaf82a8,28,2,21
EvalMinimax(d=3),black,9aaf82a8,28,3,1
EvalMinimax(d=3),black,9aaf82a8,29,0,694
EvalMinimax(d=3),black,9aaf82a8,29,1,174
EvalMinimax(d=3),black,9aaf82a8,29,2,22
EvalMinimax(d=3),black,9aaf82a8,29,3,1
EvalMinimax(d=3),black,9aaf82a8,30,0,608
