agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,b6331411,1,0,2096
EvalMinimax(d=3),white,b6331411,1,1,154
EvalMinimax(d=3),white,b6331411,1,2,20
EvalMinimax(d=3),white,b6331411,1,3,1
EvalMinimax(d=3),white,b6331411,2,0,2262
EvalMinimax(d=3),white,b6331411,2,1,163
EvalMinimax(d=3),white,b6331411,2,2,30
EvalMinimax(d=3),white,b6331411,2,3,1
EvalMinimax(d=3),white,b6331411,3,0,3274
EvalMinimax(d=3),white,b6331411,3,1,263
EvalMinimax(d=3),white,b6331411,3,2,42
EvalMinimax(d=3),white,b6331411,3,3,1
EvalMinimax(d=3),white,b6331411,4,0,2972
EvalMinimax(d=3),white,b6331411,4,1,268
EvalMinimax(d=3),white,b6331411,4,2,40
EvalMinimax(d=3),white,b6331411,4,3,1
EvalMinimax(d=3),white,b6331411,5,0,4811
EvalMinimax(d=3),white,b6331411,5,1,382
EvalMinimax(d=3),white,b6331411,5,2,42
EvalMinimax(d=3),white,b6331411,5,3,1
EvalMinimax(d=3),white,b6331411,6,0,931
EvalMinimax(d=3),white,b6331411,6,1,54
EvalMinimax(d=3),white,b6331411,6,2,34
EvalMinimax(d=3),white,b6331411,6,3,1
EvalMinimax(d=3),white,b6331411,7,0,1694
EvalMinimax(d=3),white,b6331411,7,1,175
EvalMinimax(d=3),white,b6331411,7,2,28
EvalMinimax(d=3),white,b6331411,7,3,1
EvalMinimax(d=3),white,b6331411,8,0,910
EvalMinimax(d=3),white,b6331411,8,1,81
EvalMinimax(d=3),white,b6331411,8,2,25
EvalMinimax(d=3),white,b6331411,8,3,1
EvalMinimax(d=3),white,b6331411,9,0,742
EvalMinimax(d=3),white,b6331411,9,1,110
EvalMinimax(d=3),white,b6331411,9,2,25
EvalMinimax(d=3),white,b6331411,9,3,1
EvalMinimax(d=3),white,b6331411,10,0,1013
EvalMinimax(d=3),white,b6331411,10,1,165
EvalMinimax(d=3),white,b6331411,10,2,22
EvalMinimax(d=3),white,b6331411,10,3,1
EvalMinimax(d=3),white,b6331411,11,0,816
EvalMinimax(d=3),white,b6331411,11,1,178
EvalMinimax(d=3),white,b6331411,11,2,20
EvalMinimax(d=3),white,b6331411,11,3,1
EvalMinimax(d=3),white,b6331411,12,0,844
EvalMinimax(d=3),white,b6331411,12,1,179
EvalMinimax(d=3),white,b6331411,12,2,19
EvalMinimax(d=3),white,b6331411,12,3,1
EvalMinimax(d=3),white,b6331411,13,0,453
EvalMinimax(d=3),white,b6331411,13,1,104
EvalMinimax(d=3),white,b6331411,13,2,18
EvalMinimax(d=3),white,b6331411,13,3,1
EvalMinimax(d=3),white,b6331411,14,0,468
EvalMinimax(d=3),white,b6331411,14,1,119
EvalMinimax(d=3),white,b6331411,14,2,18
EvalMinimax(d=3),white,b6331411,14,3,1
EvalMinimax(d=3),white,b6331411,15,0,1276
EvalMinimax(d=3),white,b6331411,15,1,192
EvalMinimax(d=3),white,b6331411,15,2,18
EvalMinimax(d=3),white,b6331411,15,3,1
EvalMinimax(d=3),white,b6331411,16,0,496
EvalMinimax(d=3),white,b6331411,16,1,119
EvalMinimax(d=3),white,b6331411,16,2,18
EvalMinimax(d=3),white,b6331411,16,3,1
EvalMinimax(d=3),white,b6331411,17,0,899
EvalMinimax(d=3),white,b6331411,17,1,170
EvalMinimax(d=3),white,b6331411,17,2,17
EvalMinimax(d=3),white,b6331411,17,3,1
EvalMinimax(d=3),white,b6331411,18,0,533
EvalMinimax(d=3),white,b6331411,18,1,183
EvalMinimax(d=3),white,b6331411,18,2,17
EvalMinimax(d=3),white,b6331411,18,3,1
EvalMinimax(d=3),white,b6331411,19,0,291
EvalMinimax(d=3),white,b6331411,19,1,150
EvalMinimax(d=3),white,b6331411,19,2,4
EvalMinimax(d=3),white,b6331411,19,3,1
EvalMinimax(d=3),white,b6331411,20,0,409
EvalMinimax(d=3),white,b6331411,20,1,208
