agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,e780ef04,1,0,1339
EvalMinimax(d=3),black,e780ef04,1,1,124
EvalMinimax(d=3),black,e780ef04,1,2,20
EvalMinimax(d=3),black,e780ef04,1,3,1
EvalMinimax(d=3),black,e780ef04,2,0,2900
EvalMinimax(d=3),black,e780ef04,2,1,410
EvalMinimax(d=3),black,e780ef04,2,2,30
EvalMinimax(d=3),black,e780ef04,2,3,1
EvalMinimax(d=3),black,e780ef04,3,0,2150
EvalMinimax(d=3),black,e780ef04,3,1,269
EvalMinimax(d=3),black,e780ef04,3,2,31
EvalMinimax(d=3),black,e780ef04,3,3,1
EvalMinimax(d=3),black,e780ef04,4,0,1086
EvalMinimax(d=3),black,e780ef04,4,1,219
EvalMinimax(d=3),black,e780ef04,4,2,27
EvalMinimax(d=3),black,e780ef04,4,3,1
EvalMinimax(d=3),black,e780ef04,5,0,1386
EvalMinimax(d=3),black,e780ef04,5,1,214
EvalMinimax(d=3),black,e780ef04,5,2,28
EvalMinimax(d=3),black,e780ef04,5,3,1
EvalMinimax(d=3),black,e780ef04,6,0,1783
EvalMinimax(d=3),black,e780ef04,6,1,245
EvalMinimax(d=3),black,e780ef04,6,2,26
EvalMinimax(d=3),black,e780ef04,6,3,1
EvalMinimax(d=3),black,e780ef04,7,0,2274
EvalMinimax(d=3),black,e780ef04,7,1,221
EvalMinimax(d=3),black,e780ef04,7,2,30
EvalMinimax(d=3),black,e780ef04,7,3,1
EvalMinimax(d=3),black,e780ef04,8,0,1732
EvalMinimax(d=3),black,e780ef04,8,1,137
EvalMinimax(d=3),black,e780ef04,8,2,29
EvalMinimax(d=3),black,e780ef04,8,3,1
EvalMinimax(d=3),black,e780ef04,9,0,1554
EvalMinimax(d=3),black,e780ef04,9,1,189
EvalMinimax(d=3),black,e780ef04,9,2,27
EvalMinimax(d=3),black,e780ef04,9,3,1
EvalMinimax(d=3),black,e780ef04,10,0,2262
EvalMinimax(d=3),black,e780ef04,10,1,274
