agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,f0b01764,1,0,1339
EvalMinimax(d=3),black,f0b01764,1,1,124
EvalMinimax(d=3),black,f0b01764,1,2,20
EvalMinimax(d=3),black,f0b01764,1,3,1
EvalMinimax(d=3),black,f0b01764,2,0,2638
EvalMinimax(d=3),black,f0b01764,2,1,262
EvalMinimax(d=3),black,f0b01764,2,2,30
EvalMinimax(d=3),black,f0b01764,2,3,1
EvalMinimax(d=3),black,f0b01764,3,0,1025
EvalMinimax(d=3),black,f0b01764,3,1,53
EvalMinimax(d=3),black,f0b01764,3,2,32
EvalMinimax(d=3),black,f0b01764,3,3,1
EvalMinimax(d=3),black,f0b01764,4,0,3317
EvalMinimax(d=3),black,f0b01764,4,1,276
EvalMinimax(d=3),black,f0b01764,4,2,30
EvalMinimax(d=3),black,f0b01764,4,3,1
EvalMinimax(d=3),black,f0b01764,5,0,3299
EvalMinimax(d=3),black,f0b01764,5,1,372
EvalMinimax(d=3),black,f0b01764,5,2,39
EvalMinimax(d=3),black,f0b01764,5,3,1
EvalMinimax(d=3),black,f0b01764,6,0,1274
EvalMinimax(d=3),black,f0b01764,6,1,84
EvalMinimax(d=3),black,f0b01764,6,2,36
EvalMinimax(d=3),black,f0b01764,6,3,1
EvalMinimax(d=3),black,f0b01764,7,0,3231
EvalMinimax(d=3),black,f0b01764,7,1,351
EvalMinimax(d=3),black,f0b01764,7,2,38
EvalMinimax(d=3),black,f0b01764,7,3,1
EvalMinimax(d=3),black,f0b01764,8,0,1139
EvalMinimax(d=3),black,f0b01764,8,1,75
EvalMinimax(d=3),black,f0b01764,8,2,33
EvalMinimax(d=3),black,f0b01764,8,3,1
EvalMinimax(d=3),black,f0b01764,9,0,2346
EvalMinimax(d=3),black,f0b01764,9,1,459
EvalMinimax(d=3),black,f0b01764,9,2,32
EvalMinimax(d=3),black,f0b01764,9,3,1
EvalMinimax(d=3),black,f0b01764,10,0,1008
EvalMinimax(d=3),black,f0b01764,10,1,300
EvalMinimax(d=3),black,f0b01764,10,2,26
EvalMinimax(d=3),black,f0b01764,10,3,1
EvalMinimax(d=3),black,f0b01764,11,0,1774
EvalMinimax(d=3),black,f0b01764,11,1,248
EvalMinimax(d=3),black,f0b01764,11,2,32
EvalMinimax(d=3),black,f0b01764,11,3,1
EvalMinimax(d=3),black,f0b01764,12,0,1940
EvalMinimax(d=3),black,f0b01764,12,1,353
EvalMinimax(d=3),black,f0b01764,12,2,31
EvalMinimax(d=3),black,f0b01764,12,3,1
EvalMinimax(d=3),black,f0b01764,13,0,909
EvalMinimax(d=3),black,f0b01764,13,1,194
EvalMinimax(d=3),black,f0b01764,13,2,31
EvalMinimax(d=3),black,f0b01764,13,3,1
EvalMinimax(d=3),black,f0b01764,14,0,1148
EvalMinimax(d=3),black,f0b01764,14,1,275
EvalMinimax(d=3),black,f0b01764,14,2,34
EvalMinimax(d=3),black,f0b01764,14,3,1
EvalMinimax(d=3),black,f0b01764,15,0,998
EvalMinimax(d=3),black,f0b01764,15,1,344
EvalMinimax(d=3),black,f0b01764,15,2,29
EvalMinimax(d=3),black,f0b01764,15,3,1
EvalMinimax(d=3),black,f0b01764,16,0,728
EvalMinimax(d=3),black,f0b01764,16,1,359
EvalMinimax(d=3),black,f0b01764,16,2,22
EvalMinimax(d=3),black,f0b01764,16,3,1
EvalMinimax(d=3),black,f0b01764,17,0,526
EvalMinimax(d=3),black,f0b01764,17,1,196
EvalMinimax(d=3),black,f0b01764,17,2,23
EvalMinimax(d=3),black,f0b01764,17,3,1
EvalMinimax(d=3),black,f0b01764,18,0,434
EvalMinimax(d=3),black,f0b01764,18,1,151
EvalMinimax(d=3),black,f0b01764,18,2,17
EvalMinimax(d=3),black,f0b01764,18,3,1
EvalMinimax(d=3),black,f0b01764,19,0,880
EvalMinimax(d=3),black,f0b01764,19,1,346
EvalMinimax(d=3),black,f0b01764,19,2,20
EvalMinimax(d=3),black,f0b01764,19,3,1
EvalMinimax(d=3),black,f0b01764,20,0,462
EvalMinimax(d=3),black,f0b01764,20,1,204
EvalMinimax(d=3),black,f0b01764,20,2,17
EvalMinimax(d=3),black,f0b01764,20,3,1
EvalMinimax(d=3),black,f0b01764,21,0,453
EvalMinimax(d=3),black,f0b01764,21,1,219
EvalMinimax(d=3),black,f0b01764,21,2,16
EvalMinimax(d=3),black,f0b01764,21,3,1
EvalMinimax(d=3),black,f0b01764,22,0,444
EvalMinimax(d=3),black,f0b01764,22,1,217
EvalMinimax(d=3),black,f0b01764,22,2,16
EvalMinimax(d=3),black,f0b01764,22,3,1
EvalMinimax(d=3),black,f0b01764,23,0,454
EvalMinimax(d=3),black,f0b01764,23,1,219
EvalMinimax(d=3),black,f0b01764,23,2,16
EvalMinimax(d=3),black,f0b01764,23,3,1
EvalMinimax(d=3),black,f0b01764,24,0,101
EvalMinimax(d=3),black,f0b01764,24,1,60
EvalMinimax(d=3),black,f0b01764,24,2,3
EvalMinimax(d=3),black,f0b01764,24,3,1
EvalMinimax(d=3),black,f0b01764,25,0,583
EvalMinimax(d=3),black,f0b01764,25,1,308
EvalMinimax(d=3),black,f0b01764,25,2,19
EvalMinimax(d=3),black,f0b01764,25,3,1
EvalMinimax(d=3),black,f0b01764,26,0,60
EvalMinimax(d=3),black,f0b01764,26,1,48
EvalMinimax(d=3),black,f0b01764,26,2,1
EvalMinimax(d=3),black,f0b01764,26,3,1
