agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,f49073ff,1,0,2096
EvalMinimax(d=3),white,f49073ff,1,1,154
EvalMinimax(d=3),white,f49073ff,1,2,20
EvalMinimax(d=3),white,f49073ff,1,3,1
EvalMinimax(d=3),white,f49073ff,2,0,1232
EvalMinimax(d=3),white,f49073ff,2,1,116
EvalMinimax(d=3),white,f49073ff,2,2,21
EvalMinimax(d=3),white,f49073ff,2,3,1
EvalMinimax(d=3),white,f49073ff,3,0,1046
EvalMinimax(d=3),white,f49073ff,3,1,80
EvalMinimax(d=3),white,f49073ff,3,2,29
EvalMinimax(d=3),white,f49073ff,3,3,1
EvalMinimax(d=3),white,f49073ff,4,0,2066
EvalMinimax(d=3),white,f49073ff,4,1,206
EvalMinimax(d=3),white,f49073ff,4,2,31
EvalMinimax(d=3),white,f49073ff,4,3,1
EvalMinimax(d=3),white,f49073ff,5,0,2014
EvalMinimax(d=3),white,f49073ff,5,1,191
EvalMinimax(d=3),white,f49073ff,5,2,30
EvalMinimax(d=3),white,f49073ff,5,3,1
EvalMinimax(d=3),white,f49073ff,6,0,1118
EvalMinimax(d=3),white,f49073ff,6,1,73
EvalMinimax(d=3),white,f49073ff,6,2,32
EvalMinimax(d=3),white,f49073ff,6,3,1
EvalMinimax(d=3),white,f49073ff,7,0,2302
EvalMinimax(d=3),white,f49073ff,7,1,207
EvalMinimax(d=3),white,f49073ff,7,2,32
EvalMinimax(d=3),white,f49073ff,7,3,1
EvalMinimax(d=3),white,f49073ff,8,0,1978
EvalMinimax(d=3),white,f49073ff,8,1,228
EvalMinimax(d=3),white,f49073ff,8,2,31
EvalMinimax(d=3),white,f49073ff,8,3,1
EvalMinimax(d=3),white,f49073ff,9,0,1389
EvalMinimax(d=3),white,f49073ff,9,1,122
EvalMinimax(d=3),white,f49073ff,9,2,32
EvalMinimax(d=3),white,f49073ff,9,3,1
EvalMinimax(d=3),white,f49073ff,10,0,993
EvalMinimax(d=3),white,f49073ff,10,1,93
EvalMinimax(d=3),white,f49073ff,10,2,32
EvalMinimax(d=3),white,f49073ff,10,3,1
EvalMinimax(d=3),white,f49073ff,11,0,1687
EvalMinimax(d=3),white,f49073ff,11,1,287
EvalMinimax(d=3),white,f49073ff,11,2,29
EvalMinimax(d=3),white,f49073ff,11,3,1
EvalMinimax(d=3),white,f49073ff,12,0,1222
EvalMinimax(d=3),white,f49073ff,12,1,233
EvalMinimax(d=3),white,f49073ff,12,2,25
EvalMinimax(d=3),white,f49073ff,12,3,1
EvalMinimax(d=3),white,f49073ff,13,0,471
EvalMinimax(d=3),white,f49073ff,13,1,52
EvalMinimax(d=3),white,f49073ff,13,2,21
EvalMinimax(d=3),white,f49073ff,13,3,1
EvalMinimax(d=3),white,f49073ff,14,0,951
EvalMinimax(d=3),white,f49073ff,14,1,156
EvalMinimax(d=3),white,f49073ff,14,2,25
EvalMinimax(d=3),white,f49073ff,14,3,1
EvalMinimax(d=3),white,f49073ff,15,0,1256
EvalMinimax(d=3),white,f49073ff,15,1,260
EvalMinimax(d=3),white,f49073ff,15,2,26
EvalMinimax(d=3),white,f49073ff,15,3,1
EvalMinimax(d=3),white,f49073ff,16,0,1303
EvalMinimax(d=3),white,f49073ff,16,1,302
EvalMinimax(d=3),white,f49073ff,16,2,25
EvalMinimax(d=3),white,f49073ff,16,3,1
EvalMinimax(d=3),white,f49073ff,17,0,1071
EvalMinimax(d=3),white,f49073ff,17,1,211
EvalMinimax(d=3),white,f49073ff,17,2,25
EvalMinimax(d=3),white,f49073ff,17,3,1
EvalMinimax(d=3),white,f49073ff,18,0,936
EvalMinimax(d=3),white,f49073ff,18,1,198
EvalMinimax(d=3),white,f49073ff,18,2,23
EvalMinimax(d=3),white,f49073ff,18,3,1
EvalMinimax(d=3),white,f49073ff,19,0,874
EvalMinimax(d=3),white,f49073ff,19,1,154
EvalMinimax(d=3),white,f49073ff,19,2,24
EvalMinimax(d=3),white,f49073ff,19,3,1
EvalMinimax(d=3),white,f49073ff,20,0,966
EvalMinimax(d=3),white,f49073ff,20,1,206
EvalMinimax(d=3),white,f49073ff,20,2,23
EvalMinimax(d=3),white,f49073ff,20,3,1
EvalMinimax(d=3),white,f49073ff,21,0,886
EvalMinimax(d=3),white,f49073ff,21,1,166
EvalMinimax(d=3),white,f49073ff,21,2,24
EvalMinimax(d=3),white,f49073ff,21,3,1
EvalMinimax(d=3),white,f49073ff,22,0,948
EvalMinimax(d=3),white,f49073ff,22,1,210
EvalMinimax(d=3),white,f49073ff,22,2,23
EvalMinimax(d=3),white,f49073ff,22,3,1
EvalMinimax(d=3),white,f49073ff,23,0,689
EvalMinimax(d=3),white,f49073ff,23,1,123
EvalMinimax(d=3),white,f49073ff,23,2,24
EvalMinimax(d=3),white,f49073ff,23,3,1
EvalMinimax(d=3),white,f49073ff,24,0,1299
EvalMinimax(d=3),white,f49073ff,24,1,350
EvalMinimax(d=3),white,f49073ff,24,2,23
EvalMinimax(d=3),white,f49073ff,24,3,1
EvalMinimax(d=3),white,f49073ff,25,0,1647
EvalMinimax(d=3),white,f49073ff,25,1,263
EvalMinimax(d=3),white,f49073ff,25,2,21
EvalMinimax(d=3),white,f49073ff,25,3,1
EvalMinimax(d=3),white,f49073ff,26,0,1094
EvalMinimax(d=3),white,f49073ff,26,1,162
EvalMinimax(d=3),white,f49073ff,26,2,18
EvalMinimax(d=3),white,f49073ff,26,3,1
EvalMinimax(d=3),white,f49073ff,27,0,217
EvalMinimax(d=3),white,f49073ff,27,1,59
EvalMinimax(d=3),white,f49073ff,27,2,12
EvalMinimax(d=3),white,f49073ff,27,3,1
EvalMinimax(d=3),white,f49073ff,28,0,232
EvalMinimax(d=3),white,f49073ff,28,1,93
EvalMinimax(d=3),white,f49073ff,28,2,11
EvalMinimax(d=3),white,f49073ff,28,3,1
EvalMinimax(d=3),white,f49073ff,29,0,412
EvalMinimax(d=3),white,f49073ff,29,1,173
EvalMinimax(d=3),white,f49073ff,29,2,16
EvalMinimax(d=3),white,f49073ff,29,3,1
EvalMinimax(d=3),white,f49073ff,30,0,328
EvalMinimax(d=3),white,f49073ff,30,1,141
EvalMinimax(d=3),white,f49073ff,30,2,14
EvalMinimax(d=3),white,f49073ff,30,3,1
EvalMinimax(d=3),white,f49073ff,31,0,504
EvalMinimax(d=3),white,f49073ff,31,1,158
EvalMinimax(d=3),white,f49073ff,31,2,16
EvalMinimax(d=3),white,f49073ff,31,3,1
EvalMinimax(d=3),white,f49073ff,32,0,411
EvalMinimax(d=3),white,f49073ff,32,1,65
EvalMinimax(d=3),white,f49073ff,32,2,17
EvalMinimax(d=3),white,f49073ff,32,3,1
EvalMinimax(d=3),white,f49073ff,33,0,388
EvalMinimax(d=3),white,f49073ff,33,1,100
EvalMinimax(d=3),white,f49073ff,33,2,16
EvalMinimax(d=3),white,f49073ff,33,3,1
EvalMinimax(d=3),white,f49073ff,34,0,284
EvalMinimax(d=3),white,f49073ff,34,1,97
EvalMinimax(d=3),white,f49073ff,34,2,14
EvalMinimax(d=3),white,f49073ff,34,3,1
EvalMinimax(d=3),white,f49073ff,35,0,154
EvalMinimax(d=3),white,f49073ff,35,1,26
EvalMinimax(d=3),white,f49073ff,35,2,13
EvalMinimax(d=3),white,f49073ff,35,3,1
EvalMinimax(d=3),white,f49073ff,36,0,193
EvalMinimax(d=3),white,f49073ff,36,1,94
EvalMinimax(d=3),white,f49073ff,36,2,9
EvalMinimax(d=3),white,f49073ff,36,3,1
EvalMinimax(d=3),white,f49073ff,37,0,311
EvalMinimax(d=3),white,f49073ff,37,1,102
EvalMinimax(d=3),white,f49073ff,37,2,18
EvalMinimax(d=3),white,f49073ff,37,3,1
EvalMinimax(d=3),white,f49073ff,38,0,270
EvalMinimax(d=3),white,f49073ff,38,1,115
EvalMinimax(d=3),white,f49073ff,38,2,20
EvalMinimax(d=3),white,f49073ff,38,3,1
EvalMinimax(d=3),white,f49073ff,39,0,324
EvalMinimax(d=3),white,f49073ff,39,1,155
EvalMinimax(d=3),white,f49073ff,39,2,16
EvalMinimax(d=3),white,f49073ff,39,3,1
EvalMinimax(d=3),white,f49073ff,40,0,157
EvalMinimax(d=3),white,f49073ff,40,1,85
EvalMinimax(d=3),white,f49073ff,40,2,7
EvalMinimax(d=3),white,f49073ff,40,3,1
