agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,1cd2872a,1,-1,584
QSearchMinimax(d=3),black,1cd2872a,1,0,1569
QSearchMinimax(d=3),black,1cd2872a,1,1,141
QSearchMinimax(d=3),black,1cd2872a,1,2,20
QSearchMinimax(d=3),black,1cd2872a,1,3,1
QSearchMinimax(d=3),black,1cd2872a,2,-1,1474
QSearchMinimax(d=3),black,1cd2872a,2,0,2098
QSearchMinimax(d=3),black,1cd2872a,2,1,181
QSearchMinimax(d=3),black,1cd2872a,2,2,29
QSearchMinimax(d=3),black,1cd2872a,2,3,1
QSearchMinimax(d=3),black,1cd2872a,3,-1,1537
QSearchMinimax(d=3),black,1cd2872a,3,0,1373
QSearchMinimax(d=3),black,1cd2872a,3,1,218
QSearchMinimax(d=3),black,1cd2872a,3,2,33
QSearchMinimax(d=3),black,1cd2872a,3,3,1
QSearchMinimax(d=3),black,1cd2872a,4,-1,2779
QSearchMinimax(d=3),black,1cd2872a,4,0,2239
QSearchMinimax(d=3),black,1cd2872a,4,1,365
QSearchMinimax(d=3),black,1cd2872a,4,2,33
QSearchMinimax(d=3),black,1cd2872a,4,3,1
QSearchMinimax(d=3),black,1cd2872a,5,-1,1435
QSearchMinimax(d=3),black,1cd2872a,5,0,1505
QSearchMinimax(d=3),black,1cd2872a,5,1,299
QSearchMinimax(d=3),black,1cd2872a,5,2,29
QSearchMinimax(d=3),black,1cd2872a,5,3,1
QSearchMinimax(d=3),black,1cd2872a,6,-1,4943
QSearchMinimax(d=3),black,1cd2872a,6,0,4410
QSearchMinimax(d=3),black,1cd2872a,6,1,470
QSearchMinimax(d=3),black,1cd2872a,6,2,32
QSearchMinimax(d=3),black,1cd2872a,6,3,1
QSearchMinimax(d=3),black,1cd2872a,7,-1,2395
QSearchMinimax(d=3),black,1cd2872a,7,0,2481
QSearchMinimax(d=3),black,1cd2872a,7,1,279
QSearchMinimax(d=3),black,1cd2872a,7,2,33
QSearchMinimax(d=3),black,1cd2872a,7,3,1
QSearchMinimax(d=3),black,1cd2872a,8,-1,3427
QSearchMinimax(d=3),black,1cd2872a,8,0,3525
QSearchMinimax(d=3),black,1cd2872a,8,1,383
QSearchMinimax(d=3),black,1cd2872a,8,2,38
QSearchMinimax(d=3),black,1cd2872a,8,3,1
QSearchMinimax(d=3),black,1cd2872a,9,-1,6536
QSearchMinimax(d=3),black,1cd2872a,9,0,5508
QSearchMinimax(d=3),black,1cd2872a,9,1,533
QSearchMinimax(d=3),black,1cd2872a,9,2,36
QSearchMinimax(d=3),black,1cd2872a,9,3,1
QSearchMinimax(d=3),black,1cd2872a,10,-1,2577
QSearchMinimax(d=3),black,1cd2872a,10,0,2510
QSearchMinimax(d=3),black,1cd2872a,10,1,319
QSearchMinimax(d=3),black,1cd2872a,10,2,37
QSearchMinimax(d=3),black,1cd2872a,10,3,1
QSearchMinimax(d=3),black,1cd2872a,11,-1,3640
QSearchMinimax(d=3),black,1cd2872a,11,0,3574
QSearchMinimax(d=3),black,1cd2872a,11,1,348
QSearchMinimax(d=3),black,1cd2872a,11,2,37
QSearchMinimax(d=3),black,1cd2872a,11,3,1
QSearchMinimax(d=3),black,1cd2872a,12,-1,3295
QSearchMinimax(d=3),black,1cd2872a,12,0,2898
QSearchMinimax(d=3),black,1cd2872a,12,1,306
QSearchMinimax(d=3),black,1cd2872a,12,2,36
QSearchMinimax(d=3),black,1cd2872a,12,3,1
QSearchMinimax(d=3),black,1cd2872a,13,-1,1428
QSearchMinimax(d=3),black,1cd2872a,13,0,1350
QSearchMinimax(d=3),black,1cd2872a,13,1,62
QSearchMinimax(d=3),black,1cd2872a,13,2,37
QSearchMinimax(d=3),black,1cd2872a,13,3,1
QSearchMinimax(d=3),black,1cd2872a,14,-1,4277
QSearchMinimax(d=3),black,1cd2872a,14,0,3699
QSearchMinimax(d=3),black,1cd2872a,14,1,335
QSearchMinimax(d=3),black,1cd2872a,14,2,39
QSearchMinimax(d=3),black,1cd2872a,14,3,1
QSearchMinimax(d=3),black,1cd2872a,15,-1,2147
QSearchMinimax(d=3),black,1cd2872a,15,0,1948
QSearchMinimax(d=3),black,1cd2872a,15,1,126
QSearchMinimax(d=3),black,1cd2872a,15,2,41
QSearchMinimax(d=3),black,1cd2872a,15,3,1
QSearchMinimax(d=3),black,1cd2872a,16,-1,2243
QSearchMinimax(d=3),black,1cd2872a,16,0,2218
QSearchMinimax(d=3),black,1cd2872a,16,1,198
QSearchMinimax(d=3),black,1cd2872a,16,2,40
QSearchMinimax(d=3),black,1cd2872a,16,3,1
QSearchMinimax(d=3),black,1cd2872a,17,-1,1580
QSearchMinimax(d=3),black,1cd2872a,17,0,1585
QSearchMinimax(d=3),black,1cd2872a,17,1,125
QSearchMinimax(d=3),black,1cd2872a,17,2,39
QSearchMinimax(d=3),black,1cd2872a,17,3,1
QSearchMinimax(d=3),black,1cd2872a,18,-1,1533
QSearchMinimax(d=3),black,1cd2872a,18,0,1533
QSearchMinimax(d=3),black,1cd2872a,18,1,118
QSearchMinimax(d=3),black,1cd2872a,18,2,37
QSearchMinimax(d=3),black,1cd2872a,18,3,1
QSearchMinimax(d=3),black,1cd2872a,19,-1,4494
QSearchMinimax(d=3),black,1cd2872a,19,0,3779
QSearchMinimax(d=3),black,1cd2872a,19,1,368
QSearchMinimax(d=3),black,1cd2872a,19,2,38
QSearchMinimax(d=3),black,1cd2872a,19,3,1
QSearchMinimax(d=3),black,1cd2872a,20,-1,4798
QSearchMinimax(d=3),black,1cd2872a,20,0,3993
QSearchMinimax(d=3),black,1cd2872a,20,1,376
QSearchMinimax(d=3),black,1cd2872a,20,2,39
QSearchMinimax(d=3),black,1cd2872a,20,3,1
QSearchMinimax(d=3),black,1cd2872a,21,-1,4429
QSearchMinimax(d=3),black,1cd2872a,21,0,3826
QSearchMinimax(d=3),black,1cd2872a,21,1,370
QSearchMinimax(d=3),black,1cd2872a,21,2,42
QSearchMinimax(d=3),black,1cd2872a,21,3,1
QSearchMinimax(d=3),black,1cd2872a,22,-1,3164
QSearchMinimax(d=3),black,1cd2872a,22,0,2626
