agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,389f2248,1,-1,188
QSearchMinimax(d=3),black,389f2248,1,0,1876
QSearchMinimax(d=3),black,389f2248,1,1,165
QSearchMinimax(d=3),black,389f2248,1,2,20
QSearchMinimax(d=3),black,389f2248,1,3,1
QSearchMinimax(d=3),black,389f2248,2,-1,1074
QSearchMinimax(d=3),black,389f2248,2,0,3625
QSearchMinimax(d=3),black,389f2248,2,1,192
QSearchMinimax(d=3),black,389f2248,2,2,28
QSearchMinimax(d=3),black,389f2248,2,3,1
QSearchMinimax(d=3),black,389f2248,3,-1,715
QSearchMinimax(d=3),black,389f2248,3,0,1594
QSearchMinimax(d=3),black,389f2248,3,1,144
QSearchMinimax(d=3),black,389f2248,3,2,27
QSearchMinimax(d=3),black,389f2248,3,3,1
QSearchMinimax(d=3),black,389f2248,4,-1,5035
QSearchMinimax(d=3),black,389f2248,4,0,4104
QSearchMinimax(d=3),black,389f2248,4,1,430
QSearchMinimax(d=3),black,389f2248,4,2,27
QSearchMinimax(d=3),black,389f2248,4,3,1
QSearchMinimax(d=3),black,389f2248,5,-1,5398
QSearchMinimax(d=3),black,389f2248,5,0,4640
QSearchMinimax(d=3),black,389f2248,5,1,460
QSearchMinimax(d=3),black,389f2248,5,2,33
QSearchMinimax(d=3),black,389f2248,5,3,1
QSearchMinimax(d=3),black,389f2248,6,-1,1746
QSearchMinimax(d=3),black,389f2248,6,0,1636
QSearchMinimax(d=3),black,389f2248,6,1,98
QSearchMinimax(d=3),black,389f2248,6,2,35
QSearchMinimax(d=3),black,389f2248,6,3,1
QSearchMinimax(d=3),black,389f2248,7,-1,2876
QSearchMinimax(d=3),black,389f2248,7,0,2853
QSearchMinimax(d=3),black,389f2248,7,1,246
QSearchMinimax(d=3),black,389f2248,7,2,44
QSearchMinimax(d=3),black,389f2248,7,3,1
QSearchMinimax(d=3),black,389f2248,8,-1,255
QSearchMinimax(d=3),black,389f2248,8,0,270
QSearchMinimax(d=3),black,389f2248,8,1,51
QSearchMinimax(d=3),black,389f2248,8,2,27
QSearchMinimax(d=3),black,389f2248,8,3,1
QSearchMinimax(d=3),black,389f2248,9,-1,2651
QSearchMinimax(d=3),black,389f2248,9,0,3186
QSearchMinimax(d=3),black,389f2248,9,1,288
QSearchMinimax(d=3),black,389f2248,9,2,32
QSearchMinimax(d=3),black,389f2248,9,3,1
QSearchMinimax(d=3),black,389f2248,10,-1,1188
QSearchMinimax(d=3),black,389f2248,10,0,1456
QSearchMinimax(d=3),black,389f2248,10,1,161
QSearchMinimax(d=3),black,389f2248,10,2,33
QSearchMinimax(d=3),black,389f2248,10,3,1
QSearchMinimax(d=3),black,389f2248,11,-1,910
QSearchMinimax(d=3),black,389f2248,11,0,1871
QSearchMinimax(d=3),black,389f2248,11,1,184
QSearchMinimax(d=3),black,389f2248,11,2,32
QSearchMinimax(d=3),black,389f2248,11,3,1
QSearchMinimax(d=3),black,389f2248,12,-1,970
QSearchMinimax(d=3),black,389f2248,12,0,1920
QSearchMinimax(d=3),black,389f2248,12,1,190
QSearchMinimax(d=3),black,389f2248,12,2,32
QSearchMinimax(d=3),black,389f2248,12,3,1
QSearchMinimax(d=3),black,389f2248,13,-1,1752
QSearchMinimax(d=3),black,389f2248,13,0,1657
QSearchMinimax(d=3),black,389f2248,13,1,205
QSearchMinimax(d=3),black,389f2248,13,2,30
QSearchMinimax(d=3),black,389f2248,13,3,1
QSearchMinimax(d=3),black,389f2248,14,-1,3071
QSearchMinimax(d=3),black,389f2248,14,0,2804
