agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,4e467d23,1,-1,198
QSearchMinimax(d=3),white,4e467d23,1,0,2056
QSearchMinimax(d=3),white,4e467d23,1,1,159
QSearchMinimax(d=3),white,4e467d23,1,2,20
QSearchMinimax(d=3),white,4e467d23,1,3,1
QSearchMinimax(d=3),white,4e467d23,2,-1,2080
QSearchMinimax(d=3),white,4e467d23,2,0,2571
QSearchMinimax(d=3),white,4e467d23,2,1,238
QSearchMinimax(d=3),white,4e467d23,2,2,21
QSearchMinimax(d=3),white,4e467d23,2,3,1
QSearchMinimax(d=3),white,4e467d23,3,-1,1815
QSearchMinimax(d=3),white,4e467d23,3,0,2437
QSearchMinimax(d=3),white,4e467d23,3,1,238
QSearchMinimax(d=3),white,4e467d23,3,2,20
QSearchMinimax(d=3),white,4e467d23,3,3,1
QSearchMinimax(d=3),white,4e467d23,4,-1,2866
QSearchMinimax(d=3),white,4e467d23,4,0,2922
QSearchMinimax(d=3),white,4e467d23,4,1,173
QSearchMinimax(d=3),white,4e467d23,4,2,21
QSearchMinimax(d=3),white,4e467d23,4,3,1
QSearchMinimax(d=3),white,4e467d23,5,-1,4802
QSearchMinimax(d=3),white,4e467d23,5,0,3519
QSearchMinimax(d=3),white,4e467d23,5,1,272
QSearchMinimax(d=3),white,4e467d23,5,2,28
QSearchMinimax(d=3),white,4e467d23,5,3,1
QSearchMinimax(d=3),white,4e467d23,6,-1,5663
QSearchMinimax(d=3),white,4e467d23,6,0,3630
QSearchMinimax(d=3),white,4e467d23,6,1,319
QSearchMinimax(d=3),white,4e467d23,6,2,29
QSearchMinimax(d=3),white,4e467d23,6,3,1
QSearchMinimax(d=3),white,4e467d23,7,-1,6128
QSearchMinimax(d=3),white,4e467d23,7,0,4356
QSearchMinimax(d=3),white,4e467d23,7,1,409
QSearchMinimax(d=3),white,4e467d23,7,2,33
QSearchMinimax(d=3),white,4e467d23,7,3,1
QSearchMinimax(d=3),white,4e467d23,8,-1,4509
QSearchMinimax(d=3),white,4e467d23,8,0,3519
QSearchMinimax(d=3),white,4e467d23,8,1,293
QSearchMinimax(d=3),white,4e467d23,8,2,34
QSearchMinimax(d=3),white,4e467d23,8,3,1
QSearchMinimax(d=3),white,4e467d23,9,-1,5564
QSearchMinimax(d=3),white,4e467d23,9,0,3778
QSearchMinimax(d=3),white,4e467d23,9,1,328
QSearchMinimax(d=3),white,4e467d23,9,2,32
QSearchMinimax(d=3),white,4e467d23,9,3,1
QSearchMinimax(d=3),white,4e467d23,10,-1,3584
QSearchMinimax(d=3),white,4e467d23,10,0,2997
QSearchMinimax(d=3),white,4e467d23,10,1,205
QSearchMinimax(d=3),white,4e467d23,10,2,37
QSearchMinimax(d=3),white,4e467d23,10,3,1
QSearchMinimax(d=3),white,4e467d23,11,-1,2757
QSearchMinimax(d=3),white,4e467d23,11,0,2599
QSearchMinimax(d=3),white,4e467d23,11,1,154
QSearchMinimax(d=3),white,4e467d23,11,2,39
QSearchMinimax(d=3),white,4e467d23,11,3,1
QSearchMinimax(d=3),white,4e467d23,12,-1,1891
QSearchMinimax(d=3),white,4e467d23,12,0,1881
QSearchMinimax(d=3),white,4e467d23,12,1,82
QSearchMinimax(d=3),white,4e467d23,12,2,43
QSearchMinimax(d=3),white,4e467d23,12,3,1
QSearchMinimax(d=3),white,4e467d23,13,-1,2625
QSearchMinimax(d=3),white,4e467d23,13,0,2582
QSearchMinimax(d=3),white,4e467d23,13,1,90
QSearchMinimax(d=3),white,4e467d23,13,2,43
QSearchMinimax(d=3),white,4e467d23,13,3,1
QSearchMinimax(d=3),white,4e467d23,14,-1,1356
QSearchMinimax(d=3),white,4e467d23,14,0,1351
QSearchMinimax(d=3),white,4e467d23,14,1,41
QSearchMinimax(d=3),white,4e467d23,14,2,37
QSearchMinimax(d=3),white,4e467d23,14,3,1
QSearchMinimax(d=3),white,4e467d23,15,-1,2048
QSearchMinimax(d=3),white,4e467d23,15,0,1941
QSearchMinimax(d=3),white,4e467d23,15,1,65
QSearchMinimax(d=3),white,4e467d23,15,2,46
QSearchMinimax(d=3),white,4e467d23,15,3,1
QSearchMinimax(d=3),white,4e467d23,16,-1,1753
QSearchMinimax(d=3),white,4e467d23,16,0,1578
QSearchMinimax(d=3),white,4e467d23,16,1,85
QSearchMinimax(d=3),white,4e467d23,16,2,39
QSearchMinimax(d=3),white,4e467d23,16,3,1
QSearchMinimax(d=3),white,4e467d23,17,-1,1632
QSearchMinimax(d=3),white,4e467d23,17,0,1637
QSearchMinimax(d=3),white,4e467d23,17,1,72
QSearchMinimax(d=3),white,4e467d23,17,2,36
QSearchMinimax(d=3),white,4e467d23,17,3,1
QSearchMinimax(d=3),white,4e467d23,18,-1,1286
QSearchMinimax(d=3),white,4e467d23,18,0,1209
QSearchMinimax(d=3),white,4e467d23,18,1,48
QSearchMinimax(d=3),white,4e467d23,18,2,34
QSearchMinimax(d=3),white,4e467d23,18,3,1
