agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,77702e12,1,-1,188
QSearchMinimax(d=3),black,77702e12,1,0,1876
QSearchMinimax(d=3),black,77702e12,1,1,165
QSearchMinimax(d=3),black,77702e12,1,2,20
QSearchMinimax(d=3),black,77702e12,1,3,1
QSearchMinimax(d=3),black,77702e12,2,-1,1210
QSearchMinimax(d=3),black,77702e12,2,0,2418
QSearchMinimax(d=3),black,77702e12,2,1,152
QSearchMinimax(d=3),black,77702e12,2,2,27
QSearchMinimax(d=3),black,77702e12,2,3,1
QSearchMinimax(d=3),black,77702e12,3,-1,3812
QSearchMinimax(d=3),black,77702e12,3,0,4075
QSearchMinimax(d=3),black,77702e12,3,1,268
QSearchMinimax(d=3),black,77702e12,3,2,26
QSearchMinimax(d=3),black,77702e12,3,3,1
QSearchMinimax(d=3),black,77702e12,4,-1,2699
QSearchMinimax(d=3),black,77702e12,4,0,2953
QSearchMinimax(d=3),black,77702e12,4,1,255
QSearchMinimax(d=3),black,77702e12,4,2,27
QSearchMinimax(d=3),black,77702e12,4,3,1
QSearchMinimax(d=3),black,77702e12,5,-1,2096
QSearchMinimax(d=3),black,77702e12,5,0,2254
QSearchMinimax(d=3),black,77702e12,5,1,236
QSearchMinimax(d=3),black,77702e12,5,2,26
QSearchMinimax(d=3),black,77702e12,5,3,1
QSearchMinimax(d=3),black,77702e12,6,-1,534
QSearchMinimax(d=3),black,77702e12,6,0,755
QSearchMinimax(d=3),black,77702e12,6,1,78
QSearchMinimax(d=3),black,77702e12,6,2,25
QSearchMinimax(d=3),black,77702e12,6,3,1
QSearchMinimax(d=3),black,77702e12,7,-1,1841
QSearchMinimax(d=3),black,77702e12,7,0,1729
QSearchMinimax(d=3),black,77702e12,7,1,182
QSearchMinimax(d=3),black,77702e12,7,2,30
QSearchMinimax(d=3),black,77702e12,7,3,1
QSearchMinimax(d=3),black,77702e12,8,-1,1295
QSearchMinimax(d=3),black,77702e12,8,0,1201
QSearchMinimax(d=3),black,77702e12,8,1,102
QSearchMinimax(d=3),black,77702e12,8,2,37
QSearchMinimax(d=3),black,77702e12,8,3,1
QSearchMinimax(d=3),black,77702e12,9,-1,900
QSearchMinimax(d=3),black,77702e12,9,0,1067
QSearchMinimax(d=3),black,77702e12,9,1,38
QSearchMinimax(d=3),black,77702e12,9,2,36
QSearchMinimax(d=3),black,77702e12,9,3,1
QSearchMinimax(d=3),black,77702e12,10,-1,741
QSearchMinimax(d=3),black,77702e12,10,0,1288
QSearchMinimax(d=3),black,77702e12,10,1,56
QSearchMinimax(d=3),black,77702e12,10,2,36
QSearchMinimax(d=3),black,77702e12,10,3,1
QSearchMinimax(d=3),black,77702e12,11,-1,2560
QSearchMinimax(d=3),black,77702e12,11,0,2739
QSearchMinimax(d=3),black,77702e12,11,1,212
QSearchMinimax(d=3),black,77702e12,11,2,28
QSearchMinimax(d=3),black,77702e12,11,3,1
QSearchMinimax(d=3),black,77702e12,12,-1,994
QSearchMinimax(d=3),black,77702e12,12,0,950
QSearchMinimax(d=3),black,77702e12,12,1,69
QSearchMinimax(d=3),black,77702e12,12,2,31
QSearchMinimax(d=3),black,77702e12,12,3,1
QSearchMinimax(d=3),black,77702e12,13,-1,1012
QSearchMinimax(d=3),black,77702e12,13,0,1215
QSearchMinimax(d=3),black,77702e12,13,1,146
QSearchMinimax(d=3),black,77702e12,13,2,31
QSearchMinimax(d=3),black,77702e12,13,3,1
QSearchMinimax(d=3),black,77702e12,14,-1,484
QSearchMinimax(d=3),black,77702e12,14,0,375
QSearchMinimax(d=3),black,77702e12,14,1,93
QSearchMinimax(d=3),black,77702e12,14,2,4
QSearchMinimax(d=3),black,77702e12,14,3,1
QSearchMinimax(d=3),black,77702e12,15,-1,2680
QSearchMinimax(d=3),black,77702e12,15,0,2622
QSearchMinimax(d=3),black,77702e12,15,1,311
QSearchMinimax(d=3),black,77702e12,15,2,32
QSearchMinimax(d=3),black,77702e12,15,3,1
QSearchMinimax(d=3),black,77702e12,16,-1,1432
QSearchMinimax(d=3),black,77702e12,16,0,1410
QSearchMinimax(d=3),black,77702e12,16,1,172
QSearchMinimax(d=3),black,77702e12,16,2,36
QSearchMinimax(d=3),black,77702e12,16,3,1
QSearchMinimax(d=3),black,77702e12,17,-1,1437
QSearchMinimax(d=3),black,77702e12,17,0,1319
QSearchMinimax(d=3),black,77702e12,17,1,108
QSearchMinimax(d=3),black,77702e12,17,2,35
QSearchMinimax(d=3),black,77702e12,17,3,1
QSearchMinimax(d=3),black,77702e12,18,-1,2139
QSearchMinimax(d=3),black,77702e12,18,0,1897
QSearchMinimax(d=3),black,77702e12,18,1,131
QSearchMinimax(d=3),black,77702e12,18,2,32
QSearchMinimax(d=3),black,77702e12,18,3,1
QSearchMinimax(d=3),black,77702e12,19,-1,1316
QSearchMinimax(d=3),black,77702e12,19,0,1257
QSearchMinimax(d=3),black,77702e12,19,1,70
QSearchMinimax(d=3),black,77702e12,19,2,35
QSearchMinimax(d=3),black,77702e12,19,3,1
QSearchMinimax(d=3),black,77702e12,20,-1,2618
QSearchMinimax(d=3),black,77702e12,20,0,2439
QSearchMinimax(d=3),black,77702e12,20,1,252
QSearchMinimax(d=3),black,77702e12,20,2,43
QSearchMinimax(d=3),black,77702e12,20,3,1
QSearchMinimax(d=3),black,77702e12,21,-1,1516
QSearchMinimax(d=3),black,77702e12,21,0,1507
QSearchMinimax(d=3),black,77702e12,21,1,230
QSearchMinimax(d=3),black,77702e12,21,2,37
QSearchMinimax(d=3),black,77702e12,21,3,1
