agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,9aaf82a8,1,-1,198
QSearchMinimax(d=3),white,9aaf82a8,1,0,2056
QSearchMinimax(d=3),white,9aaf82a8,1,1,159
QSearchMinimax(d=3),white,9aaf82a8,1,2,20
QSearchMinimax(d=3),white,9aaf82a8,1,3,1
QSearchMinimax(d=3),white,9aaf82a8,2,-1,2967
QSearchMinimax(d=3),white,9aaf82a8,2,0,4558
QSearchMinimax(d=3),white,9aaf82a8,2,1,373
QSearchMinimax(d=3),white,9aaf82a8,2,2,30
QSearchMinimax(d=3),white,9aaf82a8,2,3,1
QSearchMinimax(d=3),white,9aaf82a8,3,-1,2325
QSearchMinimax(d=3),white,9aaf82a8,3,0,3487
QSearchMinimax(d=3),white,9aaf82a8,3,1,293
QSearchMinimax(d=3),white,9aaf82a8,3,2,31
QSearchMinimax(d=3),white,9aaf82a8,3,3,1
QSearchMinimax(d=3),white,9aaf82a8,4,-1,4079
QSearchMinimax(d=3),white,9aaf82a8,4,0,5918
QSearchMinimax(d=3),white,9aaf82a8,4,1,486
QSearchMinimax(d=3),white,9aaf82a8,4,2,36
QSearchMinimax(d=3),white,9aaf82a8,4,3,1
QSearchMinimax(d=3),white,9aaf82a8,5,-1,2298
QSearchMinimax(d=3),white,9aaf82a8,5,0,2852
QSearchMinimax(d=3),white,9aaf82a8,5,1,216
QSearchMinimax(d=3),white,9aaf82a8,5,2,31
QSearchMinimax(d=3),white,9aaf82a8,5,3,1
QSearchMinimax(d=3),white,9aaf82a8,6,-1,4069
QSearchMinimax(d=3),white,9aaf82a8,6,0,3848
QSearchMinimax(d=3),white,9aaf82a8,6,1,269
QSearchMinimax(d=3),white,9aaf82a8,6,2,29
QSearchMinimax(d=3),white,9aaf82a8,6,3,1
QSearchMinimax(d=3),white,9aaf82a8,7,-1,2955
QSearchMinimax(d=3),white,9aaf82a8,7,0,2637
QSearchMinimax(d=3),white,9aaf82a8,7,1,196
QSearchMinimax(d=3),white,9aaf82a8,7,2,28
QSearchMinimax(d=3),white,9aaf82a8,7,3,1
QSearchMinimax(d=3),white,9aaf82a8,8,-1,5599
QSearchMinimax(d=3),white,9aaf82a8,8,0,3424
QSearchMinimax(d=3),white,9aaf82a8,8,1,222
QSearchMinimax(d=3),white,9aaf82a8,8,2,29
QSearchMinimax(d=3),white,9aaf82a8,8,3,1
QSearchMinimax(d=3),white,9aaf82a8,9,-1,5756
QSearchMinimax(d=3),white,9aaf82a8,9,0,3439
QSearchMinimax(d=3),white,9aaf82a8,9,1,217
QSearchMinimax(d=3),white,9aaf82a8,9,2,29
QSearchMinimax(d=3),white,9aaf82a8,9,3,1
QSearchMinimax(d=3),white,9aaf82a8,10,-1,3410
QSearchMinimax(d=3),white,9aaf82a8,10,0,2545
QSearchMinimax(d=3),white,9aaf82a8,10,1,178
QSearchMinimax(d=3),white,9aaf82a8,10,2,27
