agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,e780ef04,1,-1,198
QSearchMinimax(d=3),white,e780ef04,1,0,2056
QSearchMinimax(d=3),white,e780ef04,1,1,159
QSearchMinimax(d=3),white,e780ef04,1,2,20
QSearchMinimax(d=3),white,e780ef04,1,3,1
QSearchMinimax(d=3),white,e780ef04,2,-1,2902
QSearchMinimax(d=3),white,e780ef04,2,0,3320
QSearchMinimax(d=3),white,e780ef04,2,1,280
QSearchMinimax(d=3),white,e780ef04,2,2,19
QSearchMinimax(d=3),white,e780ef04,2,3,1
QSearchMinimax(d=3),white,e780ef04,3,-1,4806
QSearchMinimax(d=3),white,e780ef04,3,0,5091
QSearchMinimax(d=3),white,e780ef04,3,1,337
QSearchMinimax(d=3),white,e780ef04,3,2,26
QSearchMinimax(d=3),white,e780ef04,3,3,1
QSearchMinimax(d=3),white,e780ef04,4,-1,3642
QSearchMinimax(d=3),white,e780ef04,4,0,4189
QSearchMinimax(d=3),white,e780ef04,4,1,288
QSearchMinimax(d=3),white,e780ef04,4,2,27
QSearchMinimax(d=3),white,e780ef04,4,3,1
QSearchMinimax(d=3),white,e780ef04,5,-1,5042
QSearchMinimax(d=3),white,e780ef04,5,0,5221
QSearchMinimax(d=3),white,e780ef04,5,1,362
QSearchMinimax(d=3),white,e780ef04,5,2,33
QSearchMinimax(d=3),white,e780ef04,5,3,1
QSearchMinimax(d=3),white,e780ef04,6,-1,3234
QSearchMinimax(d=3),white,e780ef04,6,0,3450
QSearchMinimax(d=3),white,e780ef04,6,1,205
QSearchMinimax(d=3),white,e780ef04,6,2,30
QSearchMinimax(d=3),white,e780ef04,6,3,1
QSearchMinimax(d=3),white,e780ef04,7,-1,5257
QSearchMinimax(d=3),white,e780ef04,7,0,4491
QSearchMinimax(d=3),white,e780ef04,7,1,244
QSearchMinimax(d=3),white,e780ef04,7,2,36
QSearchMinimax(d=3),white,e780ef04,7,3,1
QSearchMinimax(d=3),white,e780ef04,8,-1,3749
QSearchMinimax(d=3),white,e780ef04,8,0,3657
