agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,f719691a,1,-1,584
QSearchMinimax(d=3),black,f719691a,1,0,1569
QSearchMinimax(d=3),black,f719691a,1,1,141
QSearchMinimax(d=3),black,f719691a,1,2,20
QSearchMinimax(d=3),black,f719691a,1,3,1
QSearchMinimax(d=3),black,f719691a,2,-1,1474
QSearchMinimax(d=3),black,f719691a,2,0,2098
QSearchMinimax(d=3),black,f719691a,2,1,181
QSearchMinimax(d=3),black,f719691a,2,2,29
QSearchMinimax(d=3),black,f719691a,2,3,1
QSearchMinimax(d=3),black,f719691a,3,-1,2526
QSearchMinimax(d=3),black,f719691a,3,0,2744
QSearchMinimax(d=3),black,f719691a,3,1,221
QSearchMinimax(d=3),black,f719691a,3,2,33
QSearchMinimax(d=3),black,f719691a,3,3,1
QSearchMinimax(d=3),black,f719691a,4,-1,4008
QSearchMinimax(d=3),black,f719691a,4,0,4596
QSearchMinimax(d=3),black,f719691a,4,1,305
QSearchMinimax(d=3),black,f719691a,4,2,33
QSearchMinimax(d=3),black,f719691a,4,3,1
QSearchMinimax(d=3),black,f719691a,5,-1,3051
QSearchMinimax(d=3),black,f719691a,5,0,3535
QSearchMinimax(d=3),black,f719691a,5,1,326
QSearchMinimax(d=3),black,f719691a,5,2,34
QSearchMinimax(d=3),black,f719691a,5,3,1
QSearchMinimax(d=3),black,f719691a,6,-1,2450
QSearchMinimax(d=3),black,f719691a,6,0,2071
QSearchMinimax(d=3),black,f719691a,6,1,281
QSearchMinimax(d=3),black,f719691a,6,2,32
QSearchMinimax(d=3),black,f719691a,6,3,1
QSearchMinimax(d=3),black,f719691a,7,-1,2821
QSearchMinimax(d=3),black,f719691a,7,0,2224
QSearchMinimax(d=3),black,f719691a,7,1,196
QSearchMinimax(d=3),black,f719691a,7,2,30
QSearchMinimax(d=3),black,f719691a,7,3,1
QSearchMinimax(d=3),black,f719691a,8,-1,2756
QSearchMinimax(d=3),black,f719691a,8,0,2241
QSearchMinimax(d=3),black,f719691a,8,1,231
QSearchMinimax(d=3),black,f719691a,8,2,26
QSearchMinimax(d=3),black,f719691a,8,3,1
QSearchMinimax(d=3),black,f719691a,9,-1,3532
QSearchMinimax(d=3),black,f719691a,9,0,2671
QSearchMinimax(d=3),black,f719691a,9,1,274
QSearchMinimax(d=3),black,f719691a,9,2,27
QSearchMinimax(d=3),black,f719691a,9,3,1
QSearchMinimax(d=3),black,f719691a,10,-1,3112
QSearchMinimax(d=3),black,f719691a,10,0,2256
QSearchMinimax(d=3),black,f719691a,10,1,260
QSearchMinimax(d=3),black,f719691a,10,2,27
QSearchMinimax(d=3),black,f719691a,10,3,1
QSearchMinimax(d=3),black,f719691a,11,-1,2628
QSearchMinimax(d=3),black,f719691a,11,0,1822
QSearchMinimax(d=3),black,f719691a,11,1,282
QSearchMinimax(d=3),black,f719691a,11,2,30
QSearchMinimax(d=3),black,f719691a,11,3,1
QSearchMinimax(d=3),black,f719691a,12,-1,2549
QSearchMinimax(d=3),black,f719691a,12,0,1749
QSearchMinimax(d=3),black,f719691a,12,1,279
QSearchMinimax(d=3),black,f719691a,12,2,28
QSearchMinimax(d=3),black,f719691a,12,3,1
QSearchMinimax(d=3),black,f719691a,13,-1,1996
QSearchMinimax(d=3),black,f719691a,13,0,1307
QSearchMinimax(d=3),black,f719691a,13,1,246
QSearchMinimax(d=3),black,f719691a,13,2,26
QSearchMinimax(d=3),black,f719691a,13,3,1
QSearchMinimax(d=3),black,f719691a,14,-1,2446
QSearchMinimax(d=3),black,f719691a,14,0,1690
QSearchMinimax(d=3),black,f719691a,14,1,275
QSearchMinimax(d=3),black,f719691a,14,2,28
QSearchMinimax(d=3),black,f719691a,14,3,1
QSearchMinimax(d=3),black,f719691a,15,-1,2112
QSearchMinimax(d=3),black,f719691a,15,0,1398
QSearchMinimax(d=3),black,f719691a,15,1,256
QSearchMinimax(d=3),black,f719691a,15,2,26
QSearchMinimax(d=3),black,f719691a,15,3,1
QSearchMinimax(d=3),black,f719691a,16,-1,2120
QSearchMinimax(d=3),black,f719691a,16,0,1371
QSearchMinimax(d=3),black,f719691a,16,1,250
QSearchMinimax(d=3),black,f719691a,16,2,27
QSearchMinimax(d=3),black,f719691a,16,3,1
QSearchMinimax(d=3),black,f719691a,17,-1,2499
QSearchMinimax(d=3),black,f719691a,17,0,1752
QSearchMinimax(d=3),black,f719691a,17,1,251
QSearchMinimax(d=3),black,f719691a,17,2,29
QSearchMinimax(d=3),black,f719691a,17,3,1
QSearchMinimax(d=3),black,f719691a,18,-1,2711
QSearchMinimax(d=3),black,f719691a,18,0,1863
QSearchMinimax(d=3),black,f719691a,18,1,278
QSearchMinimax(d=3),black,f719691a,18,2,30
QSearchMinimax(d=3),black,f719691a,18,3,1
QSearchMinimax(d=3),black,f719691a,19,-1,3374
QSearchMinimax(d=3),black,f719691a,19,0,2332
QSearchMinimax(d=3),black,f719691a,19,1,319
QSearchMinimax(d=3),black,f719691a,19,2,35
QSearchMinimax(d=3),black,f719691a,19,3,1
QSearchMinimax(d=3),black,f719691a,20,-1,3049
QSearchMinimax(d=3),black,f719691a,20,0,2078
QSearchMinimax(d=3),black,f719691a,20,1,253
QSearchMinimax(d=3),black,f719691a,20,2,28
QSearchMinimax(d=3),black,f719691a,20,3,1
QSearchMinimax(d=3),black,f719691a,21,-1,2750
QSearchMinimax(d=3),black,f719691a,21,0,1866
QSearchMinimax(d=3),black,f719691a,21,1,244
QSearchMinimax(d=3),black,f719691a,21,2,26
QSearchMinimax(d=3),black,f719691a,21,3,1
QSearchMinimax(d=3),black,f719691a,22,-1,2856
QSearchMinimax(d=3),black,f719691a,22,0,1975
QSearchMinimax(d=3),black,f719691a,22,1,250
QSearchMinimax(d=3),black,f719691a,22,2,28
QSearchMinimax(d=3),black,f719691a,22,3,1
QSearchMinimax(d=3),black,f719691a,23,-1,3875
QSearchMinimax(d=3),black,f719691a,23,0,2520
QSearchMinimax(d=3),black,f719691a,23,1,295
QSearchMinimax(d=3),black,f719691a,23,2,27
QSearchMinimax(d=3),black,f719691a,23,3,1
QSearchMinimax(d=3),black,f719691a,24,-1,1565
QSearchMinimax(d=3),black,f719691a,24,0,1200
QSearchMinimax(d=3),black,f719691a,24,1,88
QSearchMinimax(d=3),black,f719691a,24,2,31
QSearchMinimax(d=3),black,f719691a,24,3,1
QSearchMinimax(d=3),black,f719691a,25,-1,3027
QSearchMinimax(d=3),black,f719691a,25,0,2635
QSearchMinimax(d=3),black,f719691a,25,1,235
QSearchMinimax(d=3),black,f719691a,25,2,35
QSearchMinimax(d=3),black,f719691a,25,3,1
QSearchMinimax(d=3),black,f719691a,26,-1,342
QSearchMinimax(d=3),black,f719691a,26,0,272
QSearchMinimax(d=3),black,f719691a,26,1,48
QSearchMinimax(d=3),black,f719691a,26,2,6
QSearchMinimax(d=3),black,f719691a,26,3,1
QSearchMinimax(d=3),black,f719691a,27,-1,736
QSearchMinimax(d=3),black,f719691a,27,0,577
QSearchMinimax(d=3),black,f719691a,27,1,98
QSearchMinimax(d=3),black,f719691a,27,2,5
QSearchMinimax(d=3),black,f719691a,27,3,1
QSearchMinimax(d=3),black,f719691a,28,-1,1210
QSearchMinimax(d=3),black,f719691a,28,0,1187
QSearchMinimax(d=3),black,f719691a,28,1,123
QSearchMinimax(d=3),black,f719691a,28,2,40
QSearchMinimax(d=3),black,f719691a,28,3,1
QSearchMinimax(d=3),black,f719691a,29,-1,1972
QSearchMinimax(d=3),black,f719691a,29,0,2096
QSearchMinimax(d=3),black,f719691a,29,1,102
QSearchMinimax(d=3),black,f719691a,29,2,51
QSearchMinimax(d=3),black,f719691a,29,3,1
QSearchMinimax(d=3),black,f719691a,30,-1,2097
QSearchMinimax(d=3),black,f719691a,30,0,2059
QSearchMinimax(d=3),black,f719691a,30,1,173
QSearchMinimax(d=3),black,f719691a,30,2,52
QSearchMinimax(d=3),black,f719691a,30,3,1
QSearchMinimax(d=3),black,f719691a,31,-1,3185
QSearchMinimax(d=3),black,f719691a,31,0,3159
QSearchMinimax(d=3),black,f719691a,31,1,156
QSearchMinimax(d=3),black,f719691a,31,2,52
QSearchMinimax(d=3),black,f719691a,31,3,1
QSearchMinimax(d=3),black,f719691a,32,-1,1024
QSearchMinimax(d=3),black,f719691a,32,0,1205
QSearchMinimax(d=3),black,f719691a,32,1,72
QSearchMinimax(d=3),black,f719691a,32,2,54
QSearchMinimax(d=3),black,f719691a,32,3,1
QSearchMinimax(d=3),black,f719691a,33,-1,2127
QSearchMinimax(d=3),black,f719691a,33,0,2586
QSearchMinimax(d=3),black,f719691a,33,1,66
QSearchMinimax(d=3),black,f719691a,33,2,52
QSearchMinimax(d=3),black,f719691a,33,3,1
QSearchMinimax(d=3),black,f719691a,34,-1,2218
QSearchMinimax(d=3),black,f719691a,34,0,2295
QSearchMinimax(d=3),black,f719691a,34,1,74
QSearchMinimax(d=3),black,f719691a,34,2,48
QSearchMinimax(d=3),black,f719691a,34,3,1
QSearchMinimax(d=3),black,f719691a,35,-1,670
QSearchMinimax(d=3),black,f719691a,35,0,735
QSearchMinimax(d=3),black,f719691a,35,1,57
QSearchMinimax(d=3),black,f719691a,35,2,45
QSearchMinimax(d=3),black,f719691a,35,3,1
QSearchMinimax(d=3),black,f719691a,36,-1,945
QSearchMinimax(d=3),black,f719691a,36,0,1921
QSearchMinimax(d=3),black,f719691a,36,1,93
QSearchMinimax(d=3),black,f719691a,36,2,43
QSearchMinimax(d=3),black,f719691a,36,3,1
QSearchMinimax(d=3),black,f719691a,37,-1,971
QSearchMinimax(d=3),black,f719691a,37,0,2208
QSearchMinimax(d=3),black,f719691a,37,1,90
QSearchMinimax(d=3),black,f719691a,37,2,46
QSearchMinimax(d=3),black,f719691a,37,3,1
QSearchMinimax(d=3),black,f719691a,38,-1,1384
QSearchMinimax(d=3),black,f719691a,38,0,3053
QSearchMinimax(d=3),black,f719691a,38,1,136
QSearchMinimax(d=3),black,f719691a,38,2,48
QSearchMinimax(d=3),black,f719691a,38,3,1
QSearchMinimax(d=3),black,f719691a,39,-1,876
QSearchMinimax(d=3),black,f719691a,39,0,2404
QSearchMinimax(d=3),black,f719691a,39,1,78
QSearchMinimax(d=3),black,f719691a,39,2,49
QSearchMinimax(d=3),black,f719691a,39,3,1
QSearchMinimax(d=3),black,f719691a,40,-1,924
QSearchMinimax(d=3),black,f719691a,40,0,2766
QSearchMinimax(d=3),black,f719691a,40,1,80
QSearchMinimax(d=3),black,f719691a,40,2,51
QSearchMinimax(d=3),black,f719691a,40,3,1
QSearchMinimax(d=3),black,f719691a,41,-1,2112
QSearchMinimax(d=3),black,f719691a,41,0,4060
QSearchMinimax(d=3),black,f719691a,41,1,89
QSearchMinimax(d=3),black,f719691a,41,2,48
QSearchMinimax(d=3),black,f719691a,41,3,1
QSearchMinimax(d=3),black,f719691a,42,-1,2437
QSearchMinimax(d=3),black,f719691a,42,0,4675
QSearchMinimax(d=3),black,f719691a,42,1,104
QSearchMinimax(d=3),black,f719691a,42,2,47
QSearchMinimax(d=3),black,f719691a,42,3,1
QSearchMinimax(d=3),black,f719691a,43,-1,920
QSearchMinimax(d=3),black,f719691a,43,0,2019
QSearchMinimax(d=3),black,f719691a,43,1,50
QSearchMinimax(d=3),black,f719691a,43,2,46
QSearchMinimax(d=3),black,f719691a,43,3,1
QSearchMinimax(d=3),black,f719691a,44,-1,1666
QSearchMinimax(d=3),black,f719691a,44,0,1922
QSearchMinimax(d=3),black,f719691a,44,1,45
QSearchMinimax(d=3),black,f719691a,44,2,45
QSearchMinimax(d=3),black,f719691a,44,3,1
QSearchMinimax(d=3),black,f719691a,45,-1,1912
QSearchMinimax(d=3),black,f719691a,45,0,2104
QSearchMinimax(d=3),black,f719691a,45,1,72
QSearchMinimax(d=3),black,f719691a,45,2,46
QSearchMinimax(d=3),black,f719691a,45,3,1
QSearchMinimax(d=3),black,f719691a,46,-1,3624
QSearchMinimax(d=3),black,f719691a,46,0,3805
QSearchMinimax(d=3),black,f719691a,46,1,97
QSearchMinimax(d=3),black,f719691a,46,2,48
QSearchMinimax(d=3),black,f719691a,46,3,1
QSearchMinimax(d=3),black,f719691a,47,-1,897
QSearchMinimax(d=3),black,f719691a,47,0,2048
QSearchMinimax(d=3),black,f719691a,47,1,51
QSearchMinimax(d=3),black,f719691a,47,2,46
QSearchMinimax(d=3),black,f719691a,47,3,1
QSearchMinimax(d=3),black,f719691a,48,-1,2267
QSearchMinimax(d=3),black,f719691a,48,0,2303
QSearchMinimax(d=3),black,f719691a,48,1,60
QSearchMinimax(d=3),black,f719691a,48,2,47
QSearchMinimax(d=3),black,f719691a,48,3,1
QSearchMinimax(d=3),black,f719691a,49,-1,2170
QSearchMinimax(d=3),black,f719691a,49,0,2417
QSearchMinimax(d=3),black,f719691a,49,1,60
QSearchMinimax(d=3),black,f719691a,49,2,51
QSearchMinimax(d=3),black,f719691a,49,3,1
QSearchMinimax(d=3),black,f719691a,50,-1,1516
QSearchMinimax(d=3),black,f719691a,50,0,2914
QSearchMinimax(d=3),black,f719691a,50,1,54
QSearchMinimax(d=3),black,f719691a,50,2,55
QSearchMinimax(d=3),black,f719691a,50,3,1
QSearchMinimax(d=3),black,f719691a,51,-1,2478
QSearchMinimax(d=3),black,f719691a,51,0,2825
QSearchMinimax(d=3),black,f719691a,51,1,54
QSearchMinimax(d=3),black,f719691a,51,2,55
QSearchMinimax(d=3),black,f719691a,51,3,1
QSearchMinimax(d=3),black,f719691a,52,-1,2343
QSearchMinimax(d=3),black,f719691a,52,0,2406
QSearchMinimax(d=3),black,f719691a,52,1,53
QSearchMinimax(d=3),black,f719691a,52,2,54
QSearchMinimax(d=3),black,f719691a,52,3,1
QSearchMinimax(d=3),black,f719691a,53,-1,2128
QSearchMinimax(d=3),black,f719691a,53,0,2276
QSearchMinimax(d=3),black,f719691a,53,1,57
QSearchMinimax(d=3),black,f719691a,53,2,52
QSearchMinimax(d=3),black,f719691a,53,3,1
QSearchMinimax(d=3),black,f719691a,54,-1,2395
QSearchMinimax(d=3),black,f719691a,54,0,2425
QSearchMinimax(d=3),black,f719691a,54,1,69
QSearchMinimax(d=3),black,f719691a,54,2,51
QSearchMinimax(d=3),black,f719691a,54,3,1
QSearchMinimax(d=3),black,f719691a,55,-1,1255
QSearchMinimax(d=3),black,f719691a,55,0,2638
QSearchMinimax(d=3),black,f719691a,55,1,56
QSearchMinimax(d=3),black,f719691a,55,2,57
QSearchMinimax(d=3),black,f719691a,55,3,1
QSearchMinimax(d=3),black,f719691a,56,-1,250
QSearchMinimax(d=3),black,f719691a,56,0,307
QSearchMinimax(d=3),black,f719691a,56,1,6
QSearchMinimax(d=3),black,f719691a,56,2,6
QSearchMinimax(d=3),black,f719691a,56,3,1
QSearchMinimax(d=3),black,f719691a,57,-1,2286
QSearchMinimax(d=3),black,f719691a,57,0,2589
QSearchMinimax(d=3),black,f719691a,57,1,54
QSearchMinimax(d=3),black,f719691a,57,2,56
QSearchMinimax(d=3),black,f719691a,57,3,1
QSearchMinimax(d=3),black,f719691a,58,-1,810
QSearchMinimax(d=3),black,f719691a,58,0,1325
QSearchMinimax(d=3),black,f719691a,58,1,55
QSearchMinimax(d=3),black,f719691a,58,2,55
QSearchMinimax(d=3),black,f719691a,58,3,1
QSearchMinimax(d=3),black,f719691a,59,-1,876
QSearchMinimax(d=3),black,f719691a,59,0,2970
QSearchMinimax(d=3),black,f719691a,59,1,56
QSearchMinimax(d=3),black,f719691a,59,2,58
QSearchMinimax(d=3),black,f719691a,59,3,1
QSearchMinimax(d=3),black,f719691a,60,-1,1185
QSearchMinimax(d=3),black,f719691a,60,0,3101
QSearchMinimax(d=3),black,f719691a,60,1,57
QSearchMinimax(d=3),black,f719691a,60,2,58
QSearchMinimax(d=3),black,f719691a,60,3,1
QSearchMinimax(d=3),black,f719691a,61,-1,1032
QSearchMinimax(d=3),black,f719691a,61,0,2641
QSearchMinimax(d=3),black,f719691a,61,1,52
QSearchMinimax(d=3),black,f719691a,61,2,54
QSearchMinimax(d=3),black,f719691a,61,3,1
QSearchMinimax(d=3),black,f719691a,62,-1,136
QSearchMinimax(d=3),black,f719691a,62,0,295
QSearchMinimax(d=3),black,f719691a,62,1,7
QSearchMinimax(d=3),black,f719691a,62,2,7
QSearchMinimax(d=3),black,f719691a,62,3,1
QSearchMinimax(d=3),black,f719691a,63,-1,1309
QSearchMinimax(d=3),black,f719691a,63,0,1572
QSearchMinimax(d=3),black,f719691a,63,1,45
QSearchMinimax(d=3),black,f719691a,63,2,45
QSearchMinimax(d=3),black,f719691a,63,3,1
QSearchMinimax(d=3),black,f719691a,64,-1,1026
QSearchMinimax(d=3),black,f719691a,64,0,2436
QSearchMinimax(d=3),black,f719691a,64,1,98
