agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,38e31f3b,1,-2,874
QSearchMinimax(d=3),black,38e31f3b,1,-1,804
QSearchMinimax(d=3),black,38e31f3b,1,0,2013
QSearchMinimax(d=3),black,38e31f3b,1,1,193
QSearchMinimax(d=3),black,38e31f3b,1,2,20
QSearchMinimax(d=3),black,38e31f3b,1,3,1
QSearchMinimax(d=3),black,38e31f3b,2,-2,382
QSearchMinimax(d=3),black,38e31f3b,2,-1,269
QSearchMinimax(d=3),black,38e31f3b,2,0,221
QSearchMinimax(d=3),black,38e31f3b,2,1,140
QSearchMinimax(d=3),black,38e31f3b,2,2,5
QSearchMinimax(d=3),black,38e31f3b,2,3,1
QSearchMinimax(d=3),black,38e31f3b,3,-2,1593
QSearchMinimax(d=3),black,38e31f3b,3,-1,586
QSearchMinimax(d=3),black,38e31f3b,3,0,460
QSearchMinimax(d=3),black,38e31f3b,3,1,55
QSearchMinimax(d=3),black,38e31f3b,3,2,29
QSearchMinimax(d=3),black,38e31f3b,3,3,1
QSearchMinimax(d=3),black,38e31f3b,4,-2,8079
QSearchMinimax(d=3),black,38e31f3b,4,-1,2983
QSearchMinimax(d=3),black,38e31f3b,4,0,2663
QSearchMinimax(d=3),black,38e31f3b,4,1,319
QSearchMinimax(d=3),black,38e31f3b,4,2,32
QSearchMinimax(d=3),black,38e31f3b,4,3,1
QSearchMinimax(d=3),black,38e31f3b,5,-2,4361
QSearchMinimax(d=3),black,38e31f3b,5,-1,1355
QSearchMinimax(d=3),black,38e31f3b,5,0,1244
QSearchMinimax(d=3),black,38e31f3b,5,1,156
QSearchMinimax(d=3),black,38e31f3b,5,2,33
QSearchMinimax(d=3),black,38e31f3b,5,3,1
QSearchMinimax(d=3),black,38e31f3b,6,-2,847
QSearchMinimax(d=3),black,38e31f3b,6,-1,401
QSearchMinimax(d=3),black,38e31f3b,6,0,246
QSearchMinimax(d=3),black,38e31f3b,6,1,109
QSearchMinimax(d=3),black,38e31f3b,6,2,3
QSearchMinimax(d=3),black,38e31f3b,6,3,1
QSearchMinimax(d=3),black,38e31f3b,7,-2,12247
QSearchMinimax(d=3),black,38e31f3b,7,-1,4435
QSearchMinimax(d=3),black,38e31f3b,7,0,2737
QSearchMinimax(d=3),black,38e31f3b,7,1,323
QSearchMinimax(d=3),black,38e31f3b,7,2,32
QSearchMinimax(d=3),black,38e31f3b,7,3,1
QSearchMinimax(d=3),black,38e31f3b,8,-2,31659
QSearchMinimax(d=3),black,38e31f3b,8,-1,14277
QSearchMinimax(d=3),black,38e31f3b,8,0,9005
QSearchMinimax(d=3),black,38e31f3b,8,1,667
QSearchMinimax(d=3),black,38e31f3b,8,2,35
QSearchMinimax(d=3),black,38e31f3b,8,3,1
QSearchMinimax(d=3),black,38e31f3b,9,-2,34118
QSearchMinimax(d=3),black,38e31f3b,9,-1,14853
QSearchMinimax(d=3),black,38e31f3b,9,0,9748
QSearchMinimax(d=3),black,38e31f3b,9,1,572
QSearchMinimax(d=3),black,38e31f3b,9,2,36
QSearchMinimax(d=3),black,38e31f3b,9,3,1
QSearchMinimax(d=3),black,38e31f3b,10,-2,10219
QSearchMinimax(d=3),black,38e31f3b,10,-1,5638
QSearchMinimax(d=3),black,38e31f3b,10,0,3032
QSearchMinimax(d=3),black,38e31f3b,10,1,190
QSearchMinimax(d=3),black,38e31f3b,10,2,10
QSearchMinimax(d=3),black,38e31f3b,10,3,1
