agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,03b4c371,1,0,2096
EvalMinimax(d=3),white,03b4c371,1,1,154
EvalMinimax(d=3),white,03b4c371,1,2,20
EvalMinimax(d=3),white,03b4c371,1,3,1
EvalMinimax(d=3),white,03b4c371,2,0,2052
EvalMinimax(d=3),white,03b4c371,2,1,191
EvalMinimax(d=3),white,03b4c371,2,2,19
EvalMinimax(d=3),white,03b4c371,2,3,1
EvalMinimax(d=3),white,03b4c371,3,0,2824
EvalMinimax(d=3),white,03b4c371,3,1,277
EvalMinimax(d=3),white,03b4c371,3,2,27
EvalMinimax(d=3),white,03b4c371,3,3,1
EvalMinimax(d=3),white,03b4c371,4,0,1674
EvalMinimax(d=3),white,03b4c371,4,1,274
EvalMinimax(d=3),white,03b4c371,4,2,29
EvalMinimax(d=3),white,03b4c371,4,3,1
EvalMinimax(d=3),white,03b4c371,5,0,813
EvalMinimax(d=3),white,03b4c371,5,1,59
EvalMinimax(d=3),white,03b4c371,5,2,28
EvalMinimax(d=3),white,03b4c371,5,3,1
EvalMinimax(d=3),white,03b4c371,6,0,227
EvalMinimax(d=3),white,03b4c371,6,1,74
EvalMinimax(d=3),white,03b4c371,6,2,2
EvalMinimax(d=3),white,03b4c371,6,3,1
EvalMinimax(d=3),white,03b4c371,7,0,1069
EvalMinimax(d=3),white,03b4c371,7,1,137
EvalMinimax(d=3),white,03b4c371,7,2,32
EvalMinimax(d=3),white,03b4c371,7,3,1
EvalMinimax(d=3),white,03b4c371,8,0,831
EvalMinimax(d=3),white,03b4c371,8,1,208
EvalMinimax(d=3),white,03b4c371,8,2,25
EvalMinimax(d=3),white,03b4c371,8,3,1
EvalMinimax(d=3),white,03b4c371,9,0,114
EvalMinimax(d=3),white,03b4c371,9,1,43
EvalMinimax(d=3),white,03b4c371,9,2,19
EvalMinimax(d=3),white,03b4c371,9,3,1
EvalMinimax(d=3),white,03b4c371,10,0,1880
EvalMinimax(d=3),white,03b4c371,10,1,283
EvalMinimax(d=3),white,03b4c371,10,2,25
EvalMinimax(d=3),white,03b4c371,10,3,1
EvalMinimax(d=3),white,03b4c371,11,0,2096
EvalMinimax(d=3),white,03b4c371,11,1,317
EvalMinimax(d=3),white,03b4c371,11,2,37
EvalMinimax(d=3),white,03b4c371,11,3,1
EvalMinimax(d=3),white,03b4c371,12,0,1260
EvalMinimax(d=3),white,03b4c371,12,1,150
EvalMinimax(d=3),white,03b4c371,12,2,36
EvalMinimax(d=3),white,03b4c371,12,3,1
EvalMinimax(d=3),white,03b4c371,13,0,1749
EvalMinimax(d=3),white,03b4c371,13,1,132
EvalMinimax(d=3),white,03b4c371,13,2,30
EvalMinimax(d=3),white,03b4c371,13,3,1
EvalMinimax(d=3),white,03b4c371,14,0,910
EvalMinimax(d=3),white,03b4c371,14,1,101
EvalMinimax(d=3),white,03b4c371,14,2,28
EvalMinimax(d=3),white,03b4c371,14,3,1
EvalMinimax(d=3),white,03b4c371,15,0,214
EvalMinimax(d=3),white,03b4c371,15,1,36
EvalMinimax(d=3),white,03b4c371,15,2,3
EvalMinimax(d=3),white,03b4c371,15,3,1
EvalMinimax(d=3),white,03b4c371,16,0,1337
EvalMinimax(d=3),white,03b4c371,16,1,111
EvalMinimax(d=3),white,03b4c371,16,2,28
EvalMinimax(d=3),white,03b4c371,16,3,1
EvalMinimax(d=3),white,03b4c371,17,0,1224
EvalMinimax(d=3),white,03b4c371,17,1,116
EvalMinimax(d=3),white,03b4c371,17,2,32
