agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,5ed8b6ad,1,0,1395
EvalMinimax(d=3),black,5ed8b6ad,1,1,138
EvalMinimax(d=3),black,5ed8b6ad,1,2,20
EvalMinimax(d=3),black,5ed8b6ad,1,3,1
EvalMinimax(d=3),black,5ed8b6ad,2,0,1870
EvalMinimax(d=3),black,5ed8b6ad,2,1,213
EvalMinimax(d=3),black,5ed8b6ad,2,2,29
EvalMinimax(d=3),black,5ed8b6ad,2,3,1
EvalMinimax(d=3),black,5ed8b6ad,3,0,1350
EvalMinimax(d=3),black,5ed8b6ad,3,1,185
EvalMinimax(d=3),black,5ed8b6ad,3,2,28
EvalMinimax(d=3),black,5ed8b6ad,3,3,1
EvalMinimax(d=3),black,5ed8b6ad,4,0,1757
EvalMinimax(d=3),black,5ed8b6ad,4,1,371
EvalMinimax(d=3),black,5ed8b6ad,4,2,22
EvalMinimax(d=3),black,5ed8b6ad,4,3,1
EvalMinimax(d=3),black,5ed8b6ad,5,0,1923
EvalMinimax(d=3),black,5ed8b6ad,5,1,251
EvalMinimax(d=3),black,5ed8b6ad,5,2,22
EvalMinimax(d=3),black,5ed8b6ad,5,3,1
EvalMinimax(d=3),black,5ed8b6ad,6,0,1444
EvalMinimax(d=3),black,5ed8b6ad,6,1,255
EvalMinimax(d=3),black,5ed8b6ad,6,2,23
EvalMinimax(d=3),black,5ed8b6ad,6,3,1
EvalMinimax(d=3),black,5ed8b6ad,7,0,834
EvalMinimax(d=3),black,5ed8b6ad,7,1,224
EvalMinimax(d=3),black,5ed8b6ad,7,2,23
EvalMinimax(d=3),black,5ed8b6ad,7,3,1
EvalMinimax(d=3),black,5ed8b6ad,8,0,798
EvalMinimax(d=3),black,5ed8b6ad,8,1,167
EvalMinimax(d=3),black,5ed8b6ad,8,2,23
EvalMinimax(d=3),black,5ed8b6ad,8,3,1
EvalMinimax(d=3),black,5ed8b6ad,9,0,1113
EvalMinimax(d=3),black,5ed8b6ad,9,1,187
EvalMinimax(d=3),black,5ed8b6ad,9,2,27
EvalMinimax(d=3),black,5ed8b6ad,9,3,1
EvalMinimax(d=3),black,5ed8b6ad,10,0,2174
EvalMinimax(d=3),black,5ed8b6ad,10,1,283
