agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,702a2dcf,1,0,2413
EvalMinimax(d=3),black,702a2dcf,1,1,189
EvalMinimax(d=3),black,702a2dcf,1,2,20
EvalMinimax(d=3),black,702a2dcf,1,3,1
EvalMinimax(d=3),black,702a2dcf,2,0,961
EvalMinimax(d=3),black,702a2dcf,2,1,105
EvalMinimax(d=3),black,702a2dcf,2,2,21
EvalMinimax(d=3),black,702a2dcf,2,3,1
EvalMinimax(d=3),black,702a2dcf,3,0,1060
EvalMinimax(d=3),black,702a2dcf,3,1,201
EvalMinimax(d=3),black,702a2dcf,3,2,21
EvalMinimax(d=3),black,702a2dcf,3,3,1
EvalMinimax(d=3),black,702a2dcf,4,0,1071
EvalMinimax(d=3),black,702a2dcf,4,1,247
EvalMinimax(d=3),black,702a2dcf,4,2,20
EvalMinimax(d=3),black,702a2dcf,4,3,1
EvalMinimax(d=3),black,702a2dcf,5,0,711
EvalMinimax(d=3),black,702a2dcf,5,1,167
EvalMinimax(d=3),black,702a2dcf,5,2,19
EvalMinimax(d=3),black,702a2dcf,5,3,1
EvalMinimax(d=3),black,702a2dcf,6,0,802
EvalMinimax(d=3),black,702a2dcf,6,1,207
EvalMinimax(d=3),black,702a2dcf,6,2,19
EvalMinimax(d=3),black,702a2dcf,6,3,1
EvalMinimax(d=3),black,702a2dcf,7,0,598
EvalMinimax(d=3),black,702a2dcf,7,1,144
EvalMinimax(d=3),black,702a2dcf,7,2,23
EvalMinimax(d=3),black,702a2dcf,7,3,1
EvalMinimax(d=3),black,702a2dcf,8,0,589
EvalMinimax(d=3),black,702a2dcf,8,1,123
EvalMinimax(d=3),black,702a2dcf,8,2,23
EvalMinimax(d=3),black,702a2dcf,8,3,1
EvalMinimax(d=3),black,702a2dcf,9,0,777
EvalMinimax(d=3),black,702a2dcf,9,1,222
EvalMinimax(d=3),black,702a2dcf,9,2,25
EvalMinimax(d=3),black,702a2dcf,9,3,1
EvalMinimax(d=3),black,702a2dcf,10,0,693
EvalMinimax(d=3),black,702a2dcf,10,1,79
EvalMinimax(d=3),black,702a2dcf,10,2,23
EvalMinimax(d=3),black,702a2dcf,10,3,1
EvalMinimax(d=3),black,702a2dcf,11,0,840
EvalMinimax(d=3),black,702a2dcf,11,1,212
EvalMinimax(d=3),black,702a2dcf,11,2,24
EvalMinimax(d=3),black,702a2dcf,11,3,1
EvalMinimax(d=3),black,702a2dcf,12,0,903
EvalMinimax(d=3),black,702a2dcf,12,1,146
EvalMinimax(d=3),black,702a2dcf,12,2,26
EvalMinimax(d=3),black,702a2dcf,12,3,1
EvalMinimax(d=3),black,702a2dcf,13,0,925
EvalMinimax(d=3),black,702a2dcf,13,1,75
EvalMinimax(d=3),black,702a2dcf,13,2,30
EvalMinimax(d=3),black,702a2dcf,13,3,1
EvalMinimax(d=3),black,702a2dcf,14,0,941
EvalMinimax(d=3),black,702a2dcf,14,1,107
EvalMinimax(d=3),black,702a2dcf,14,2,30
EvalMinimax(d=3),black,702a2dcf,14,3,1
EvalMinimax(d=3),black,702a2dcf,15,0,958
EvalMinimax(d=3),black,702a2dcf,15,1,99
EvalMinimax(d=3),black,702a2dcf,15,2,30
EvalMinimax(d=3),black,702a2dcf,15,3,1
EvalMinimax(d=3),black,702a2dcf,16,0,1510
EvalMinimax(d=3),black,702a2dcf,16,1,101
EvalMinimax(d=3),black,702a2dcf,16,2,30
EvalMinimax(d=3),black,702a2dcf,16,3,1
EvalMinimax(d=3),black,702a2dcf,17,0,740
EvalMinimax(d=3),black,702a2dcf,17,1,64
EvalMinimax(d=3),black,702a2dcf,17,2,28
EvalMinimax(d=3),black,702a2dcf,17,3,1
EvalMinimax(d=3),black,702a2dcf,18,0,339
EvalMinimax(d=3),black,702a2dcf,18,1,50
EvalMinimax(d=3),black,702a2dcf,18,2,19
EvalMinimax(d=3),black,702a2dcf,18,3,1
EvalMinimax(d=3),black,702a2dcf,19,0,330
EvalMinimax(d=3),black,702a2dcf,19,1,46
EvalMinimax(d=3),black,702a2dcf,19,2,16
EvalMinimax(d=3),black,702a2dcf,19,3,1
EvalMinimax(d=3),black,702a2dcf,20,0,1873
EvalMinimax(d=3),black,702a2dcf,20,1,222
EvalMinimax(d=3),black,702a2dcf,20,2,19
EvalMinimax(d=3),black,702a2dcf,20,3,1
EvalMinimax(d=3),black,702a2dcf,21,0,1361
EvalMinimax(d=3),black,702a2dcf,21,1,251
EvalMinimax(d=3),black,702a2dcf,21,2,20
EvalMinimax(d=3),black,702a2dcf,21,3,1
EvalMinimax(d=3),black,702a2dcf,22,0,1127
EvalMinimax(d=3),black,702a2dcf,22,1,255
EvalMinimax(d=3),black,702a2dcf,22,2,22
EvalMinimax(d=3),black,702a2dcf,22,3,1
EvalMinimax(d=3),black,702a2dcf,23,0,687
EvalMinimax(d=3),black,702a2dcf,23,1,182
EvalMinimax(d=3),black,702a2dcf,23,2,22
EvalMinimax(d=3),black,702a2dcf,23,3,1
EvalMinimax(d=3),black,702a2dcf,24,0,738
EvalMinimax(d=3),black,702a2dcf,24,1,209
EvalMinimax(d=3),black,702a2dcf,24,2,28
EvalMinimax(d=3),black,702a2dcf,24,3,1
EvalMinimax(d=3),black,702a2dcf,25,0,849
EvalMinimax(d=3),black,702a2dcf,25,1,184
EvalMinimax(d=3),black,702a2dcf,25,2,28
EvalMinimax(d=3),black,702a2dcf,25,3,1
EvalMinimax(d=3),black,702a2dcf,26,0,1211
EvalMinimax(d=3),black,702a2dcf,26,1,182
EvalMinimax(d=3),black,702a2dcf,26,2,31
EvalMinimax(d=3),black,702a2dcf,26,3,1
EvalMinimax(d=3),black,702a2dcf,27,0,1183
EvalMinimax(d=3),black,702a2dcf,27,1,249
EvalMinimax(d=3),black,702a2dcf,27,2,30
EvalMinimax(d=3),black,702a2dcf,27,3,1
EvalMinimax(d=3),black,702a2dcf,28,0,100
EvalMinimax(d=3),black,702a2dcf,28,1,25
EvalMinimax(d=3),black,702a2dcf,28,2,5
EvalMinimax(d=3),black,702a2dcf,28,3,1
EvalMinimax(d=3),black,702a2dcf,29,0,463
EvalMinimax(d=3),black,702a2dcf,29,1,133
EvalMinimax(d=3),black,702a2dcf,29,2,17
EvalMinimax(d=3),black,702a2dcf,29,3,1
EvalMinimax(d=3),black,702a2dcf,30,0,125
EvalMinimax(d=3),black,702a2dcf,30,1,71
EvalMinimax(d=3),black,702a2dcf,30,2,5
EvalMinimax(d=3),black,702a2dcf,30,3,1
EvalMinimax(d=3),black,702a2dcf,31,0,258
EvalMinimax(d=3),black,702a2dcf,31,1,53
EvalMinimax(d=3),black,702a2dcf,31,2,14
EvalMinimax(d=3),black,702a2dcf,31,3,1
EvalMinimax(d=3),black,702a2dcf,32,0,167
EvalMinimax(d=3),black,702a2dcf,32,1,42
EvalMinimax(d=3),black,702a2dcf,32,2,12
EvalMinimax(d=3),black,702a2dcf,32,3,1
EvalMinimax(d=3),black,702a2dcf,33,0,169
EvalMinimax(d=3),black,702a2dcf,33,1,116
EvalMinimax(d=3),black,702a2dcf,33,2,8
EvalMinimax(d=3),black,702a2dcf,33,3,1
EvalMinimax(d=3),black,702a2dcf,34,0,79
EvalMinimax(d=3),black,702a2dcf,34,1,44
EvalMinimax(d=3),black,702a2dcf,34,2,4
EvalMinimax(d=3),black,702a2dcf,34,3,1
EvalMinimax(d=3),black,702a2dcf,35,0,68
EvalMinimax(d=3),black,702a2dcf,35,1,40
EvalMinimax(d=3),black,702a2dcf,35,2,10
EvalMinimax(d=3),black,702a2dcf,35,3,1
EvalMinimax(d=3),black,702a2dcf,36,0,45
EvalMinimax(d=3),black,702a2dcf,36,1,33
EvalMinimax(d=3),black,702a2dcf,36,2,3
EvalMinimax(d=3),black,702a2dcf,36,3,1
EvalMinimax(d=3),black,702a2dcf,37,0,85
EvalMinimax(d=3),black,702a2dcf,37,1,79
EvalMinimax(d=3),black,702a2dcf,37,2,4
EvalMinimax(d=3),black,702a2dcf,37,3,1
EvalMinimax(d=3),black,702a2dcf,38,0,37
EvalMinimax(d=3),black,702a2dcf,38,1,39
EvalMinimax(d=3),black,702a2dcf,38,2,1
EvalMinimax(d=3),black,702a2dcf,38,3,1
EvalMinimax(d=3),black,702a2dcf,39,0,51
EvalMinimax(d=3),black,702a2dcf,39,1,56
EvalMinimax(d=3),black,702a2dcf,39,2,5
EvalMinimax(d=3),black,702a2dcf,39,3,1
EvalMinimax(d=3),black,702a2dcf,40,0,52
EvalMinimax(d=3),black,702a2dcf,40,1,43
EvalMinimax(d=3),black,702a2dcf,40,2,3
EvalMinimax(d=3),black,702a2dcf,40,3,1
EvalMinimax(d=3),black,702a2dcf,41,0,34
EvalMinimax(d=3),black,702a2dcf,41,1,37
EvalMinimax(d=3),black,702a2dcf,41,2,2
EvalMinimax(d=3),black,702a2dcf,41,3,1
