agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,79112576,1,0,2096
EvalMinimax(d=3),white,79112576,1,1,154
EvalMinimax(d=3),white,79112576,1,2,20
EvalMinimax(d=3),white,79112576,1,3,1
EvalMinimax(d=3),white,79112576,2,0,1047
EvalMinimax(d=3),white,79112576,2,1,110
EvalMinimax(d=3),white,79112576,2,2,21
EvalMinimax(d=3),white,79112576,2,3,1
EvalMinimax(d=3),white,79112576,3,0,1659
EvalMinimax(d=3),white,79112576,3,1,343
EvalMinimax(d=3),white,79112576,3,2,27
EvalMinimax(d=3),white,79112576,3,3,1
EvalMinimax(d=3),white,79112576,4,0,1646
EvalMinimax(d=3),white,79112576,4,1,353
EvalMinimax(d=3),white,79112576,4,2,26
EvalMinimax(d=3),white,79112576,4,3,1
EvalMinimax(d=3),white,79112576,5,0,2820
EvalMinimax(d=3),white,79112576,5,1,507
EvalMinimax(d=3),white,79112576,5,2,25
EvalMinimax(d=3),white,79112576,5,3,1
EvalMinimax(d=3),white,79112576,6,0,2151
EvalMinimax(d=3),white,79112576,6,1,259
EvalMinimax(d=3),white,79112576,6,2,36
EvalMinimax(d=3),white,79112576,6,3,1
EvalMinimax(d=3),white,79112576,7,0,3384
EvalMinimax(d=3),white,79112576,7,1,406
EvalMinimax(d=3),white,79112576,7,2,37
EvalMinimax(d=3),white,79112576,7,3,1
EvalMinimax(d=3),white,79112576,8,0,2696
EvalMinimax(d=3),white,79112576,8,1,347
EvalMinimax(d=3),white,79112576,8,2,40
EvalMinimax(d=3),white,79112576,8,3,1
EvalMinimax(d=3),white,79112576,9,0,1866
EvalMinimax(d=3),white,79112576,9,1,246
EvalMinimax(d=3),white,79112576,9,2,36
EvalMinimax(d=3),white,79112576,9,3,1
EvalMinimax(d=3),white,79112576,10,0,1324
EvalMinimax(d=3),white,79112576,10,1,120
EvalMinimax(d=3),white,79112576,10,2,35
EvalMinimax(d=3),white,79112576,10,3,1
EvalMinimax(d=3),white,79112576,11,0,2305
EvalMinimax(d=3),white,79112576,11,1,288
EvalMinimax(d=3),white,79112576,11,2,36
EvalMinimax(d=3),white,79112576,11,3,1
EvalMinimax(d=3),white,79112576,12,0,2806
EvalMinimax(d=3),white,79112576,12,1,397
EvalMinimax(d=3),white,79112576,12,2,36
EvalMinimax(d=3),white,79112576,12,3,1
EvalMinimax(d=3),white,79112576,13,0,3551
EvalMinimax(d=3),white,79112576,13,1,437
EvalMinimax(d=3),white,79112576,13,2,36
EvalMinimax(d=3),white,79112576,13,3,1
EvalMinimax(d=3),white,79112576,14,0,2831
EvalMinimax(d=3),white,79112576,14,1,362
EvalMinimax(d=3),white,79112576,14,2,32
EvalMinimax(d=3),white,79112576,14,3,1
EvalMinimax(d=3),white,79112576,15,0,1877
