agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,9a1484a3,1,0,2096
EvalMinimax(d=3),white,9a1484a3,1,1,154
EvalMinimax(d=3),white,9a1484a3,1,2,20
EvalMinimax(d=3),white,9a1484a3,1,3,1
EvalMinimax(d=3),white,9a1484a3,2,0,507
EvalMinimax(d=3),white,9a1484a3,2,1,42
EvalMinimax(d=3),white,9a1484a3,2,2,22
EvalMinimax(d=3),white,9a1484a3,2,3,1
EvalMinimax(d=3),white,9a1484a3,3,0,769
EvalMinimax(d=3),white,9a1484a3,3,1,88
EvalMinimax(d=3),white,9a1484a3,3,2,21
EvalMinimax(d=3),white,9a1484a3,3,3,1
EvalMinimax(d=3),white,9a1484a3,4,0,1764
EvalMinimax(d=3),white,9a1484a3,4,1,221
EvalMinimax(d=3),white,9a1484a3,4,2,30
EvalMinimax(d=3),white,9a1484a3,4,3,1
EvalMinimax(d=3),white,9a1484a3,5,0,3623
EvalMinimax(d=3),white,9a1484a3,5,1,356
EvalMinimax(d=3),white,9a1484a3,5,2,40
EvalMinimax(d=3),white,9a1484a3,5,3,1
EvalMinimax(d=3),white,9a1484a3,6,0,4145
EvalMinimax(d=3),white,9a1484a3,6,1,379
EvalMinimax(d=3),white,9a1484a3,6,2,41
EvalMinimax(d=3),white,9a1484a3,6,3,1
EvalMinimax(d=3),white,9a1484a3,7,0,4323
EvalMinimax(d=3),white,9a1484a3,7,1,392
EvalMinimax(d=3),white,9a1484a3,7,2,39
EvalMinimax(d=3),white,9a1484a3,7,3,1
EvalMinimax(d=3),white,9a1484a3,8,0,1288
EvalMinimax(d=3),white,9a1484a3,8,1,72
EvalMinimax(d=3),white,9a1484a3,8,2,39
EvalMinimax(d=3),white,9a1484a3,8,3,1
EvalMinimax(d=3),white,9a1484a3,9,0,1479
EvalMinimax(d=3),white,9a1484a3,9,1,104
EvalMinimax(d=3),white,9a1484a3,9,2,39
EvalMinimax(d=3),white,9a1484a3,9,3,1
