agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,ecad8c41,1,0,2413
EvalMinimax(d=3),black,ecad8c41,1,1,189
EvalMinimax(d=3),black,ecad8c41,1,2,20
EvalMinimax(d=3),black,ecad8c41,1,3,1
EvalMinimax(d=3),black,ecad8c41,2,0,1607
EvalMinimax(d=3),black,ecad8c41,2,1,134
EvalMinimax(d=3),black,ecad8c41,2,2,21
EvalMinimax(d=3),black,ecad8c41,2,3,1
EvalMinimax(d=3),black,ecad8c41,3,0,2381
EvalMinimax(d=3),black,ecad8c41,3,1,253
EvalMinimax(d=3),black,ecad8c41,3,2,31
EvalMinimax(d=3),black,ecad8c41,3,3,1
EvalMinimax(d=3),black,ecad8c41,4,0,2125
EvalMinimax(d=3),black,ecad8c41,4,1,299
EvalMinimax(d=3),black,ecad8c41,4,2,32
EvalMinimax(d=3),black,ecad8c41,4,3,1
EvalMinimax(d=3),black,ecad8c41,5,0,2103
EvalMinimax(d=3),black,ecad8c41,5,1,406
EvalMinimax(d=3),black,ecad8c41,5,2,27
EvalMinimax(d=3),black,ecad8c41,5,3,1
EvalMinimax(d=3),black,ecad8c41,6,0,1074
EvalMinimax(d=3),black,ecad8c41,6,1,117
EvalMinimax(d=3),black,ecad8c41,6,2,28
EvalMinimax(d=3),black,ecad8c41,6,3,1
EvalMinimax(d=3),black,ecad8c41,7,0,734
EvalMinimax(d=3),black,ecad8c41,7,1,85
EvalMinimax(d=3),black,ecad8c41,7,2,25
EvalMinimax(d=3),black,ecad8c41,7,3,1
EvalMinimax(d=3),black,ecad8c41,8,0,979
EvalMinimax(d=3),black,ecad8c41,8,1,156
EvalMinimax(d=3),black,ecad8c41,8,2,31
EvalMinimax(d=3),black,ecad8c41,8,3,1
EvalMinimax(d=3),black,ecad8c41,9,0,995
EvalMinimax(d=3),black,ecad8c41,9,1,136
EvalMinimax(d=3),black,ecad8c41,9,2,32
EvalMinimax(d=3),black,ecad8c41,9,3,1
EvalMinimax(d=3),black,ecad8c41,10,0,1049
EvalMinimax(d=3),black,ecad8c41,10,1,115
EvalMinimax(d=3),black,ecad8c41,10,2,34
EvalMinimax(d=3),black,ecad8c41,10,3,1
EvalMinimax(d=3),black,ecad8c41,11,0,1043
EvalMinimax(d=3),black,ecad8c41,11,1,119
EvalMinimax(d=3),black,ecad8c41,11,2,33
EvalMinimax(d=3),black,ecad8c41,11,3,1
EvalMinimax(d=3),black,ecad8c41,12,0,1046
EvalMinimax(d=3),black,ecad8c41,12,1,115
EvalMinimax(d=3),black,ecad8c41,12,2,33
EvalMinimax(d=3),black,ecad8c41,12,3,1
EvalMinimax(d=3),black,ecad8c41,13,0,937
EvalMinimax(d=3),black,ecad8c41,13,1,120
EvalMinimax(d=3),black,ecad8c41,13,2,34
EvalMinimax(d=3),black,ecad8c41,13,3,1
EvalMinimax(d=3),black,ecad8c41,14,0,1342
EvalMinimax(d=3),black,ecad8c41,14,1,163
EvalMinimax(d=3),black,ecad8c41,14,2,39
EvalMinimax(d=3),black,ecad8c41,14,3,1
EvalMinimax(d=3),black,ecad8c41,15,0,259
EvalMinimax(d=3),black,ecad8c41,15,1,127
EvalMinimax(d=3),black,ecad8c41,15,2,5
EvalMinimax(d=3),black,ecad8c41,15,3,1
EvalMinimax(d=3),black,ecad8c41,16,0,187
EvalMinimax(d=3),black,ecad8c41,16,1,94
EvalMinimax(d=3),black,ecad8c41,16,2,4
EvalMinimax(d=3),black,ecad8c41,16,3,1
EvalMinimax(d=3),black,ecad8c41,17,0,465
EvalMinimax(d=3),black,ecad8c41,17,1,47
EvalMinimax(d=3),black,ecad8c41,17,2,7
EvalMinimax(d=3),black,ecad8c41,17,3,1
EvalMinimax(d=3),black,ecad8c41,18,0,1001
EvalMinimax(d=3),black,ecad8c41,18,1,167
EvalMinimax(d=3),black,ecad8c41,18,2,28
EvalMinimax(d=3),black,ecad8c41,18,3,1
EvalMinimax(d=3),black,ecad8c41,19,0,828
EvalMinimax(d=3),black,ecad8c41,19,1,183
EvalMinimax(d=3),black,ecad8c41,19,2,29
EvalMinimax(d=3),black,ecad8c41,19,3,1
EvalMinimax(d=3),black,ecad8c41,20,0,240
EvalMinimax(d=3),black,ecad8c41,20,1,81
EvalMinimax(d=3),black,ecad8c41,20,2,3
EvalMinimax(d=3),black,ecad8c41,20,3,1
EvalMinimax(d=3),black,ecad8c41,21,0,1050
EvalMinimax(d=3),black,ecad8c41,21,1,172
EvalMinimax(d=3),black,ecad8c41,21,2,26
EvalMinimax(d=3),black,ecad8c41,21,3,1
EvalMinimax(d=3),black,ecad8c41,22,0,1144
EvalMinimax(d=3),black,ecad8c41,22,1,173
EvalMinimax(d=3),black,ecad8c41,22,2,27
EvalMinimax(d=3),black,ecad8c41,22,3,1
EvalMinimax(d=3),black,ecad8c41,23,0,621
EvalMinimax(d=3),black,ecad8c41,23,1,149
EvalMinimax(d=3),black,ecad8c41,23,2,25
EvalMinimax(d=3),black,ecad8c41,23,3,1
EvalMinimax(d=3),black,ecad8c41,24,0,1056
EvalMinimax(d=3),black,ecad8c41,24,1,225
EvalMinimax(d=3),black,ecad8c41,24,2,31
EvalMinimax(d=3),black,ecad8c41,24,3,1
EvalMinimax(d=3),black,ecad8c41,25,0,1000
EvalMinimax(d=3),black,ecad8c41,25,1,197
EvalMinimax(d=3),black,ecad8c41,25,2,27
EvalMinimax(d=3),black,ecad8c41,25,3,1
EvalMinimax(d=3),black,ecad8c41,26,0,609
EvalMinimax(d=3),black,ecad8c41,26,1,92
EvalMinimax(d=3),black,ecad8c41,26,2,23
EvalMinimax(d=3),black,ecad8c41,26,3,1
EvalMinimax(d=3),black,ecad8c41,27,0,425
EvalMinimax(d=3),black,ecad8c41,27,1,125
EvalMinimax(d=3),black,ecad8c41,27,2,18
EvalMinimax(d=3),black,ecad8c41,27,3,1
EvalMinimax(d=3),black,ecad8c41,28,0,665
EvalMinimax(d=3),black,ecad8c41,28,1,203
EvalMinimax(d=3),black,ecad8c41,28,2,24
EvalMinimax(d=3),black,ecad8c41,28,3,1
EvalMinimax(d=3),black,ecad8c41,29,0,649
EvalMinimax(d=3),black,ecad8c41,29,1,196
EvalMinimax(d=3),black,ecad8c41,29,2,22
EvalMinimax(d=3),black,ecad8c41,29,3,1
EvalMinimax(d=3),black,ecad8c41,30,0,212
EvalMinimax(d=3),black,ecad8c41,30,1,137
EvalMinimax(d=3),black,ecad8c41,30,2,14
EvalMinimax(d=3),black,ecad8c41,30,3,1
EvalMinimax(d=3),black,ecad8c41,31,0,156
EvalMinimax(d=3),black,ecad8c41,31,1,90
EvalMinimax(d=3),black,ecad8c41,31,2,2
EvalMinimax(d=3),black,ecad8c41,31,3,1
EvalMinimax(d=3),black,ecad8c41,32,0,178
EvalMinimax(d=3),black,ecad8c41,32,1,118
EvalMinimax(d=3),black,ecad8c41,32,2,3
EvalMinimax(d=3),black,ecad8c41,32,3,1
EvalMinimax(d=3),black,ecad8c41,33,0,120
EvalMinimax(d=3),black,ecad8c41,33,1,85
EvalMinimax(d=3),black,ecad8c41,33,2,2
EvalMinimax(d=3),black,ecad8c41,33,3,1
EvalMinimax(d=3),black,ecad8c41,34,0,232
EvalMinimax(d=3),black,ecad8c41,34,1,162
EvalMinimax(d=3),black,ecad8c41,34,2,13
EvalMinimax(d=3),black,ecad8c41,34,3,1
EvalMinimax(d=3),black,ecad8c41,35,0,40
EvalMinimax(d=3),black,ecad8c41,35,1,42
EvalMinimax(d=3),black,ecad8c41,35,2,2
EvalMinimax(d=3),black,ecad8c41,35,3,1
EvalMinimax(d=3),black,ecad8c41,36,0,140
EvalMinimax(d=3),black,ecad8c41,36,1,101
EvalMinimax(d=3),black,ecad8c41,36,2,11
EvalMinimax(d=3),black,ecad8c41,36,3,1
EvalMinimax(d=3),black,ecad8c41,37,0,229
EvalMinimax(d=3),black,ecad8c41,37,1,154
EvalMinimax(d=3),black,ecad8c41,37,2,11
EvalMinimax(d=3),black,ecad8c41,37,3,1
EvalMinimax(d=3),black,ecad8c41,38,0,230
EvalMinimax(d=3),black,ecad8c41,38,1,101
EvalMinimax(d=3),black,ecad8c41,38,2,13
EvalMinimax(d=3),black,ecad8c41,38,3,1
EvalMinimax(d=3),black,ecad8c41,39,0,266
EvalMinimax(d=3),black,ecad8c41,39,1,143
EvalMinimax(d=3),black,ecad8c41,39,2,9
EvalMinimax(d=3),black,ecad8c41,39,3,1
EvalMinimax(d=3),black,ecad8c41,40,0,64
EvalMinimax(d=3),black,ecad8c41,40,1,51
EvalMinimax(d=3),black,ecad8c41,40,2,1
EvalMinimax(d=3),black,ecad8c41,40,3,1
EvalMinimax(d=3),black,ecad8c41,41,0,175
EvalMinimax(d=3),black,ecad8c41,41,1,110
EvalMinimax(d=3),black,ecad8c41,41,2,6
EvalMinimax(d=3),black,ecad8c41,41,3,1
EvalMinimax(d=3),black,ecad8c41,42,0,51
EvalMinimax(d=3),black,ecad8c41,42,1,53
EvalMinimax(d=3),black,ecad8c41,42,2,2
EvalMinimax(d=3),black,ecad8c41,42,3,1
EvalMinimax(d=3),black,ecad8c41,43,0,44
EvalMinimax(d=3),black,ecad8c41,43,1,47
EvalMinimax(d=3),black,ecad8c41,43,2,3
EvalMinimax(d=3),black,ecad8c41,43,3,1
EvalMinimax(d=3),black,ecad8c41,44,0,45
EvalMinimax(d=3),black,ecad8c41,44,1,49
EvalMinimax(d=3),black,ecad8c41,44,2,4
EvalMinimax(d=3),black,ecad8c41,44,3,1
EvalMinimax(d=3),black,ecad8c41,45,0,44
EvalMinimax(d=3),black,ecad8c41,45,1,47
EvalMinimax(d=3),black,ecad8c41,45,2,3
EvalMinimax(d=3),black,ecad8c41,45,3,1
EvalMinimax(d=3),black,ecad8c41,46,0,120
EvalMinimax(d=3),black,ecad8c41,46,1,99
EvalMinimax(d=3),black,ecad8c41,46,2,7
EvalMinimax(d=3),black,ecad8c41,46,3,1
EvalMinimax(d=3),black,ecad8c41,47,0,206
EvalMinimax(d=3),black,ecad8c41,47,1,194
EvalMinimax(d=3),black,ecad8c41,47,2,8
EvalMinimax(d=3),black,ecad8c41,47,3,1
EvalMinimax(d=3),black,ecad8c41,48,0,74
EvalMinimax(d=3),black,ecad8c41,48,1,67
EvalMinimax(d=3),black,ecad8c41,48,2,3
EvalMinimax(d=3),black,ecad8c41,48,3,1
EvalMinimax(d=3),black,ecad8c41,49,0,79
EvalMinimax(d=3),black,ecad8c41,49,1,73
EvalMinimax(d=3),black,ecad8c41,49,2,4
EvalMinimax(d=3),black,ecad8c41,49,3,1
EvalMinimax(d=3),black,ecad8c41,50,0,70
EvalMinimax(d=3),black,ecad8c41,50,1,68
EvalMinimax(d=3),black,ecad8c41,50,2,3
EvalMinimax(d=3),black,ecad8c41,50,3,1
EvalMinimax(d=3),black,ecad8c41,51,0,41
EvalMinimax(d=3),black,ecad8c41,51,1,39
EvalMinimax(d=3),black,ecad8c41,51,2,3
EvalMinimax(d=3),black,ecad8c41,51,3,1
EvalMinimax(d=3),black,ecad8c41,52,0,60
EvalMinimax(d=3),black,ecad8c41,52,1,58
EvalMinimax(d=3),black,ecad8c41,52,2,3
EvalMinimax(d=3),black,ecad8c41,52,3,1
EvalMinimax(d=3),black,ecad8c41,53,0,41
EvalMinimax(d=3),black,ecad8c41,53,1,41
EvalMinimax(d=3),black,ecad8c41,53,2,2
EvalMinimax(d=3),black,ecad8c41,53,3,1
EvalMinimax(d=3),black,ecad8c41,54,0,26
EvalMinimax(d=3),black,ecad8c41,54,1,27
EvalMinimax(d=3),black,ecad8c41,54,2,1
EvalMinimax(d=3),black,ecad8c41,54,3,1
EvalMinimax(d=3),black,ecad8c41,55,0,46
EvalMinimax(d=3),black,ecad8c41,55,1,33
EvalMinimax(d=3),black,ecad8c41,55,2,3
EvalMinimax(d=3),black,ecad8c41,55,3,1
EvalMinimax(d=3),black,ecad8c41,56,0,58
EvalMinimax(d=3),black,ecad8c41,56,1,42
EvalMinimax(d=3),black,ecad8c41,56,2,6
EvalMinimax(d=3),black,ecad8c41,56,3,1
EvalMinimax(d=3),black,ecad8c41,57,0,66
EvalMinimax(d=3),black,ecad8c41,57,1,36
EvalMinimax(d=3),black,ecad8c41,57,2,6
EvalMinimax(d=3),black,ecad8c41,57,3,1
EvalMinimax(d=3),black,ecad8c41,58,0,90
EvalMinimax(d=3),black,ecad8c41,58,1,41
EvalMinimax(d=3),black,ecad8c41,58,2,8
EvalMinimax(d=3),black,ecad8c41,58,3,1
EvalMinimax(d=3),black,ecad8c41,59,0,95
EvalMinimax(d=3),black,ecad8c41,59,1,45
EvalMinimax(d=3),black,ecad8c41,59,2,8
EvalMinimax(d=3),black,ecad8c41,59,3,1
EvalMinimax(d=3),black,ecad8c41,60,0,104
EvalMinimax(d=3),black,ecad8c41,60,1,80
EvalMinimax(d=3),black,ecad8c41,60,2,9
EvalMinimax(d=3),black,ecad8c41,60,3,1
EvalMinimax(d=3),black,ecad8c41,61,0,92
EvalMinimax(d=3),black,ecad8c41,61,1,51
EvalMinimax(d=3),black,ecad8c41,61,2,10
EvalMinimax(d=3),black,ecad8c41,61,3,1
EvalMinimax(d=3),black,ecad8c41,62,0,78
EvalMinimax(d=3),black,ecad8c41,62,1,61
EvalMinimax(d=3),black,ecad8c41,62,2,8
EvalMinimax(d=3),black,ecad8c41,62,3,1
EvalMinimax(d=3),black,ecad8c41,63,0,67
EvalMinimax(d=3),black,ecad8c41,63,1,58
EvalMinimax(d=3),black,ecad8c41,63,2,6
EvalMinimax(d=3),black,ecad8c41,63,3,1
EvalMinimax(d=3),black,ecad8c41,64,0,116
EvalMinimax(d=3),black,ecad8c41,64,1,57
EvalMinimax(d=3),black,ecad8c41,64,2,10
EvalMinimax(d=3),black,ecad8c41,64,3,1
EvalMinimax(d=3),black,ecad8c41,65,0,87
EvalMinimax(d=3),black,ecad8c41,65,1,33
EvalMinimax(d=3),black,ecad8c41,65,2,9
EvalMinimax(d=3),black,ecad8c41,65,3,1
EvalMinimax(d=3),black,ecad8c41,66,0,55
EvalMinimax(d=3),black,ecad8c41,66,1,43
EvalMinimax(d=3),black,ecad8c41,66,2,3
EvalMinimax(d=3),black,ecad8c41,66,3,1
EvalMinimax(d=3),black,ecad8c41,67,0,20
EvalMinimax(d=3),black,ecad8c41,67,1,8
EvalMinimax(d=3),black,ecad8c41,67,2,5
EvalMinimax(d=3),black,ecad8c41,67,3,1
EvalMinimax(d=3),black,ecad8c41,68,0,54
EvalMinimax(d=3),black,ecad8c41,68,1,37
EvalMinimax(d=3),black,ecad8c41,68,2,3
EvalMinimax(d=3),black,ecad8c41,68,3,1
EvalMinimax(d=3),black,ecad8c41,69,0,55
EvalMinimax(d=3),black,ecad8c41,69,1,32
EvalMinimax(d=3),black,ecad8c41,69,2,4
EvalMinimax(d=3),black,ecad8c41,69,3,1
EvalMinimax(d=3),black,ecad8c41,70,0,27
EvalMinimax(d=3),black,ecad8c41,70,1,23
EvalMinimax(d=3),black,ecad8c41,70,2,2
EvalMinimax(d=3),black,ecad8c41,70,3,1
EvalMinimax(d=3),black,ecad8c41,71,0,53
EvalMinimax(d=3),black,ecad8c41,71,1,39
EvalMinimax(d=3),black,ecad8c41,71,2,2
EvalMinimax(d=3),black,ecad8c41,71,3,1
EvalMinimax(d=3),black,ecad8c41,72,0,90
EvalMinimax(d=3),black,ecad8c41,72,1,60
EvalMinimax(d=3),black,ecad8c41,72,2,3
EvalMinimax(d=3),black,ecad8c41,72,3,1
EvalMinimax(d=3),black,ecad8c41,73,0,58
EvalMinimax(d=3),black,ecad8c41,73,1,50
EvalMinimax(d=3),black,ecad8c41,73,2,7
EvalMinimax(d=3),black,ecad8c41,73,3,1
EvalMinimax(d=3),black,ecad8c41,74,0,67
EvalMinimax(d=3),black,ecad8c41,74,1,53
EvalMinimax(d=3),black,ecad8c41,74,2,5
EvalMinimax(d=3),black,ecad8c41,74,3,1
EvalMinimax(d=3),black,ecad8c41,75,0,39
EvalMinimax(d=3),black,ecad8c41,75,1,30
EvalMinimax(d=3),black,ecad8c41,75,2,7
EvalMinimax(d=3),black,ecad8c41,75,3,1
EvalMinimax(d=3),black,ecad8c41,76,0,33
EvalMinimax(d=3),black,ecad8c41,76,1,27
EvalMinimax(d=3),black,ecad8c41,76,2,3
EvalMinimax(d=3),black,ecad8c41,76,3,1
EvalMinimax(d=3),black,ecad8c41,77,0,76
EvalMinimax(d=3),black,ecad8c41,77,1,63
EvalMinimax(d=3),black,ecad8c41,77,2,4
EvalMinimax(d=3),black,ecad8c41,77,3,1
EvalMinimax(d=3),black,ecad8c41,78,0,40
EvalMinimax(d=3),black,ecad8c41,78,1,41
EvalMinimax(d=3),black,ecad8c41,78,2,2
EvalMinimax(d=3),black,ecad8c41,78,3,1
EvalMinimax(d=3),black,ecad8c41,79,0,40
EvalMinimax(d=3),black,ecad8c41,79,1,40
EvalMinimax(d=3),black,ecad8c41,79,2,1
EvalMinimax(d=3),black,ecad8c41,79,3,1
EvalMinimax(d=3),black,ecad8c41,80,0,34
EvalMinimax(d=3),black,ecad8c41,80,1,37
EvalMinimax(d=3),black,ecad8c41,80,2,2
EvalMinimax(d=3),black,ecad8c41,80,3,1
EvalMinimax(d=3),black,ecad8c41,81,0,42
EvalMinimax(d=3),black,ecad8c41,81,1,43
EvalMinimax(d=3),black,ecad8c41,81,2,1
EvalMinimax(d=3),black,ecad8c41,81,3,1
EvalMinimax(d=3),black,ecad8c41,82,0,41
EvalMinimax(d=3),black,ecad8c41,82,1,44
EvalMinimax(d=3),black,ecad8c41,82,2,1
EvalMinimax(d=3),black,ecad8c41,82,3,1
EvalMinimax(d=3),black,ecad8c41,83,0,46
EvalMinimax(d=3),black,ecad8c41,83,1,47
EvalMinimax(d=3),black,ecad8c41,83,2,1
EvalMinimax(d=3),black,ecad8c41,83,3,1
EvalMinimax(d=3),black,ecad8c41,84,0,43
EvalMinimax(d=3),black,ecad8c41,84,1,46
EvalMinimax(d=3),black,ecad8c41,84,2,1
