agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,31ff7121,1,-1,198
QSearchMinimax(d=3),white,31ff7121,1,0,2056
QSearchMinimax(d=3),white,31ff7121,1,1,159
QSearchMinimax(d=3),white,31ff7121,1,2,20
QSearchMinimax(d=3),white,31ff7121,1,3,1
QSearchMinimax(d=3),white,31ff7121,2,-1,721
QSearchMinimax(d=3),white,31ff7121,2,0,2853
QSearchMinimax(d=3),white,31ff7121,2,1,190
QSearchMinimax(d=3),white,31ff7121,2,2,21
QSearchMinimax(d=3),white,31ff7121,2,3,1
QSearchMinimax(d=3),white,31ff7121,3,-1,805
QSearchMinimax(d=3),white,31ff7121,3,0,1526
QSearchMinimax(d=3),white,31ff7121,3,1,139
QSearchMinimax(d=3),white,31ff7121,3,2,20
QSearchMinimax(d=3),white,31ff7121,3,3,1
QSearchMinimax(d=3),white,31ff7121,4,-1,3180
QSearchMinimax(d=3),white,31ff7121,4,0,2527
QSearchMinimax(d=3),white,31ff7121,4,1,298
QSearchMinimax(d=3),white,31ff7121,4,2,25
QSearchMinimax(d=3),white,31ff7121,4,3,1
QSearchMinimax(d=3),white,31ff7121,5,-1,3694
QSearchMinimax(d=3),white,31ff7121,5,0,2640
QSearchMinimax(d=3),white,31ff7121,5,1,325
QSearchMinimax(d=3),white,31ff7121,5,2,26
QSearchMinimax(d=3),white,31ff7121,5,3,1
QSearchMinimax(d=3),white,31ff7121,6,-1,7057
QSearchMinimax(d=3),white,31ff7121,6,0,5486
QSearchMinimax(d=3),white,31ff7121,6,1,404
QSearchMinimax(d=3),white,31ff7121,6,2,29
QSearchMinimax(d=3),white,31ff7121,6,3,1
QSearchMinimax(d=3),white,31ff7121,7,-1,2295
QSearchMinimax(d=3),white,31ff7121,7,0,1846
QSearchMinimax(d=3),white,31ff7121,7,1,152
QSearchMinimax(d=3),white,31ff7121,7,2,36
QSearchMinimax(d=3),white,31ff7121,7,3,1
QSearchMinimax(d=3),white,31ff7121,8,-1,1836
QSearchMinimax(d=3),white,31ff7121,8,0,2088
QSearchMinimax(d=3),white,31ff7121,8,1,104
QSearchMinimax(d=3),white,31ff7121,8,2,39
QSearchMinimax(d=3),white,31ff7121,8,3,1
QSearchMinimax(d=3),white,31ff7121,9,-1,8159
QSearchMinimax(d=3),white,31ff7121,9,0,7470
QSearchMinimax(d=3),white,31ff7121,9,1,452
QSearchMinimax(d=3),white,31ff7121,9,2,45
QSearchMinimax(d=3),white,31ff7121,9,3,1
QSearchMinimax(d=3),white,31ff7121,10,-1,1645
QSearchMinimax(d=3),white,31ff7121,10,0,1443
QSearchMinimax(d=3),white,31ff7121,10,1,109
QSearchMinimax(d=3),white,31ff7121,10,2,42
QSearchMinimax(d=3),white,31ff7121,10,3,1
QSearchMinimax(d=3),white,31ff7121,11,-1,1617
QSearchMinimax(d=3),white,31ff7121,11,0,1360
QSearchMinimax(d=3),white,31ff7121,11,1,108
QSearchMinimax(d=3),white,31ff7121,11,2,33
QSearchMinimax(d=3),white,31ff7121,11,3,1
QSearchMinimax(d=3),white,31ff7121,12,-1,6024
QSearchMinimax(d=3),white,31ff7121,12,0,5360
QSearchMinimax(d=3),white,31ff7121,12,1,367
QSearchMinimax(d=3),white,31ff7121,12,2,35
QSearchMinimax(d=3),white,31ff7121,12,3,1
QSearchMinimax(d=3),white,31ff7121,13,-1,3545
QSearchMinimax(d=3),white,31ff7121,13,0,3318
QSearchMinimax(d=3),white,31ff7121,13,1,225
QSearchMinimax(d=3),white,31ff7121,13,2,38
QSearchMinimax(d=3),white,31ff7121,13,3,1
QSearchMinimax(d=3),white,31ff7121,14,-1,2807
QSearchMinimax(d=3),white,31ff7121,14,0,2639
QSearchMinimax(d=3),white,31ff7121,14,1,145
QSearchMinimax(d=3),white,31ff7121,14,2,39
QSearchMinimax(d=3),white,31ff7121,14,3,1
QSearchMinimax(d=3),white,31ff7121,15,-1,5450
QSearchMinimax(d=3),white,31ff7121,15,0,4550
QSearchMinimax(d=3),white,31ff7121,15,1,325
QSearchMinimax(d=3),white,31ff7121,15,2,40
QSearchMinimax(d=3),white,31ff7121,15,3,1
QSearchMinimax(d=3),white,31ff7121,16,-1,1037
QSearchMinimax(d=3),white,31ff7121,16,0,944
QSearchMinimax(d=3),white,31ff7121,16,1,94
QSearchMinimax(d=3),white,31ff7121,16,2,34
QSearchMinimax(d=3),white,31ff7121,16,3,1
QSearchMinimax(d=3),white,31ff7121,17,-1,1171
QSearchMinimax(d=3),white,31ff7121,17,0,1188
QSearchMinimax(d=3),white,31ff7121,17,1,40
QSearchMinimax(d=3),white,31ff7121,17,2,39
QSearchMinimax(d=3),white,31ff7121,17,3,1
QSearchMinimax(d=3),white,31ff7121,18,-1,1443
QSearchMinimax(d=3),white,31ff7121,18,0,1440
QSearchMinimax(d=3),white,31ff7121,18,1,50
QSearchMinimax(d=3),white,31ff7121,18,2,42
QSearchMinimax(d=3),white,31ff7121,18,3,1
QSearchMinimax(d=3),white,31ff7121,19,-1,1302
QSearchMinimax(d=3),white,31ff7121,19,0,2363
QSearchMinimax(d=3),white,31ff7121,19,1,83
QSearchMinimax(d=3),white,31ff7121,19,2,41
QSearchMinimax(d=3),white,31ff7121,19,3,1
QSearchMinimax(d=3),white,31ff7121,20,-1,2474
QSearchMinimax(d=3),white,31ff7121,20,0,5105
QSearchMinimax(d=3),white,31ff7121,20,1,215
QSearchMinimax(d=3),white,31ff7121,20,2,42
QSearchMinimax(d=3),white,31ff7121,20,3,1
QSearchMinimax(d=3),white,31ff7121,21,-1,4041
QSearchMinimax(d=3),white,31ff7121,21,0,6336
QSearchMinimax(d=3),white,31ff7121,21,1,208
QSearchMinimax(d=3),white,31ff7121,21,2,43
QSearchMinimax(d=3),white,31ff7121,21,3,1
QSearchMinimax(d=3),white,31ff7121,22,-1,1336
QSearchMinimax(d=3),white,31ff7121,22,0,1344
QSearchMinimax(d=3),white,31ff7121,22,1,69
QSearchMinimax(d=3),white,31ff7121,22,2,35
QSearchMinimax(d=3),white,31ff7121,22,3,1
QSearchMinimax(d=3),white,31ff7121,23,-1,1352
QSearchMinimax(d=3),white,31ff7121,23,0,1325
QSearchMinimax(d=3),white,31ff7121,23,1,108
QSearchMinimax(d=3),white,31ff7121,23,2,37
QSearchMinimax(d=3),white,31ff7121,23,3,1
QSearchMinimax(d=3),white,31ff7121,24,-1,1482
QSearchMinimax(d=3),white,31ff7121,24,0,1400
QSearchMinimax(d=3),white,31ff7121,24,1,109
QSearchMinimax(d=3),white,31ff7121,24,2,37
