agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,32553e38,1,-1,198
QSearchMinimax(d=3),white,32553e38,1,0,2056
QSearchMinimax(d=3),white,32553e38,1,1,159
QSearchMinimax(d=3),white,32553e38,1,2,20
QSearchMinimax(d=3),white,32553e38,1,3,1
QSearchMinimax(d=3),white,32553e38,2,-1,1397
QSearchMinimax(d=3),white,32553e38,2,0,2356
QSearchMinimax(d=3),white,32553e38,2,1,277
QSearchMinimax(d=3),white,32553e38,2,2,21
QSearchMinimax(d=3),white,32553e38,2,3,1
QSearchMinimax(d=3),white,32553e38,3,-1,3337
QSearchMinimax(d=3),white,32553e38,3,0,2642
QSearchMinimax(d=3),white,32553e38,3,1,318
QSearchMinimax(d=3),white,32553e38,3,2,19
QSearchMinimax(d=3),white,32553e38,3,3,1
QSearchMinimax(d=3),white,32553e38,4,-1,2848
QSearchMinimax(d=3),white,32553e38,4,0,2364
QSearchMinimax(d=3),white,32553e38,4,1,237
QSearchMinimax(d=3),white,32553e38,4,2,29
QSearchMinimax(d=3),white,32553e38,4,3,1
QSearchMinimax(d=3),white,32553e38,5,-1,3276
QSearchMinimax(d=3),white,32553e38,5,0,2981
QSearchMinimax(d=3),white,32553e38,5,1,256
QSearchMinimax(d=3),white,32553e38,5,2,32
QSearchMinimax(d=3),white,32553e38,5,3,1
QSearchMinimax(d=3),white,32553e38,6,-1,2727
QSearchMinimax(d=3),white,32553e38,6,0,2575
QSearchMinimax(d=3),white,32553e38,6,1,212
QSearchMinimax(d=3),white,32553e38,6,2,36
QSearchMinimax(d=3),white,32553e38,6,3,1
QSearchMinimax(d=3),white,32553e38,7,-1,2740
QSearchMinimax(d=3),white,32553e38,7,0,2570
QSearchMinimax(d=3),white,32553e38,7,1,238
QSearchMinimax(d=3),white,32553e38,7,2,34
QSearchMinimax(d=3),white,32553e38,7,3,1
QSearchMinimax(d=3),white,32553e38,8,-1,2306
QSearchMinimax(d=3),white,32553e38,8,0,2007
QSearchMinimax(d=3),white,32553e38,8,1,173
QSearchMinimax(d=3),white,32553e38,8,2,34
QSearchMinimax(d=3),white,32553e38,8,3,1
QSearchMinimax(d=3),white,32553e38,9,-1,1321
QSearchMinimax(d=3),white,32553e38,9,0,1232
QSearchMinimax(d=3),white,32553e38,9,1,71
QSearchMinimax(d=3),white,32553e38,9,2,34
QSearchMinimax(d=3),white,32553e38,9,3,1
QSearchMinimax(d=3),white,32553e38,10,-1,2376
QSearchMinimax(d=3),white,32553e38,10,0,2242
QSearchMinimax(d=3),white,32553e38,10,1,160
QSearchMinimax(d=3),white,32553e38,10,2,35
QSearchMinimax(d=3),white,32553e38,10,3,1
QSearchMinimax(d=3),white,32553e38,11,-1,1823
QSearchMinimax(d=3),white,32553e38,11,0,1812
QSearchMinimax(d=3),white,32553e38,11,1,132
QSearchMinimax(d=3),white,32553e38,11,2,33
QSearchMinimax(d=3),white,32553e38,11,3,1
QSearchMinimax(d=3),white,32553e38,12,-1,3025
QSearchMinimax(d=3),white,32553e38,12,0,2593
QSearchMinimax(d=3),white,32553e38,12,1,275
QSearchMinimax(d=3),white,32553e38,12,2,32
QSearchMinimax(d=3),white,32553e38,12,3,1
QSearchMinimax(d=3),white,32553e38,13,-1,1872
QSearchMinimax(d=3),white,32553e38,13,0,1564
QSearchMinimax(d=3),white,32553e38,13,1,178
QSearchMinimax(d=3),white,32553e38,13,2,30
QSearchMinimax(d=3),white,32553e38,13,3,1
QSearchMinimax(d=3),white,32553e38,14,-1,3436
QSearchMinimax(d=3),white,32553e38,14,0,2882
QSearchMinimax(d=3),white,32553e38,14,1,364
QSearchMinimax(d=3),white,32553e38,14,2,28
QSearchMinimax(d=3),white,32553e38,14,3,1
QSearchMinimax(d=3),white,32553e38,15,-1,2051
QSearchMinimax(d=3),white,32553e38,15,0,1851
QSearchMinimax(d=3),white,32553e38,15,1,278
QSearchMinimax(d=3),white,32553e38,15,2,26
QSearchMinimax(d=3),white,32553e38,15,3,1
QSearchMinimax(d=3),white,32553e38,16,-1,2233
QSearchMinimax(d=3),white,32553e38,16,0,1981
QSearchMinimax(d=3),white,32553e38,16,1,275
QSearchMinimax(d=3),white,32553e38,16,2,28
QSearchMinimax(d=3),white,32553e38,16,3,1
QSearchMinimax(d=3),white,32553e38,17,-1,1520
QSearchMinimax(d=3),white,32553e38,17,0,1319
QSearchMinimax(d=3),white,32553e38,17,1,85
QSearchMinimax(d=3),white,32553e38,17,2,32
QSearchMinimax(d=3),white,32553e38,17,3,1
QSearchMinimax(d=3),white,32553e38,18,-1,3594
QSearchMinimax(d=3),white,32553e38,18,0,2963
QSearchMinimax(d=3),white,32553e38,18,1,331
QSearchMinimax(d=3),white,32553e38,18,2,34
QSearchMinimax(d=3),white,32553e38,18,3,1
QSearchMinimax(d=3),white,32553e38,19,-1,2999
QSearchMinimax(d=3),white,32553e38,19,0,2935
QSearchMinimax(d=3),white,32553e38,19,1,273
QSearchMinimax(d=3),white,32553e38,19,2,41
QSearchMinimax(d=3),white,32553e38,19,3,1
QSearchMinimax(d=3),white,32553e38,20,-1,1454
QSearchMinimax(d=3),white,32553e38,20,0,1397
QSearchMinimax(d=3),white,32553e38,20,1,69
QSearchMinimax(d=3),white,32553e38,20,2,41
QSearchMinimax(d=3),white,32553e38,20,3,1
QSearchMinimax(d=3),white,32553e38,21,-1,1952
QSearchMinimax(d=3),white,32553e38,21,0,1781
QSearchMinimax(d=3),white,32553e38,21,1,127
QSearchMinimax(d=3),white,32553e38,21,2,41
QSearchMinimax(d=3),white,32553e38,21,3,1
QSearchMinimax(d=3),white,32553e38,22,-1,2679
QSearchMinimax(d=3),white,32553e38,22,0,2417
QSearchMinimax(d=3),white,32553e38,22,1,227
QSearchMinimax(d=3),white,32553e38,22,2,39
QSearchMinimax(d=3),white,32553e38,22,3,1
QSearchMinimax(d=3),white,32553e38,23,-1,4347
QSearchMinimax(d=3),white,32553e38,23,0,3947
QSearchMinimax(d=3),white,32553e38,23,1,214
QSearchMinimax(d=3),white,32553e38,23,2,45
QSearchMinimax(d=3),white,32553e38,23,3,1
QSearchMinimax(d=3),white,32553e38,24,-1,3533
QSearchMinimax(d=3),white,32553e38,24,0,3029
QSearchMinimax(d=3),white,32553e38,24,1,248
QSearchMinimax(d=3),white,32553e38,24,2,41
QSearchMinimax(d=3),white,32553e38,24,3,1
QSearchMinimax(d=3),white,32553e38,25,-1,3332
QSearchMinimax(d=3),white,32553e38,25,0,2765
QSearchMinimax(d=3),white,32553e38,25,1,230
QSearchMinimax(d=3),white,32553e38,25,2,38
QSearchMinimax(d=3),white,32553e38,25,3,1
QSearchMinimax(d=3),white,32553e38,26,-1,4315
QSearchMinimax(d=3),white,32553e38,26,0,3424
QSearchMinimax(d=3),white,32553e38,26,1,380
QSearchMinimax(d=3),white,32553e38,26,2,36
QSearchMinimax(d=3),white,32553e38,26,3,1
QSearchMinimax(d=3),white,32553e38,27,-1,3357
QSearchMinimax(d=3),white,32553e38,27,0,2703
QSearchMinimax(d=3),white,32553e38,27,1,200
QSearchMinimax(d=3),white,32553e38,27,2,35
QSearchMinimax(d=3),white,32553e38,27,3,1
QSearchMinimax(d=3),white,32553e38,28,-1,2941
QSearchMinimax(d=3),white,32553e38,28,0,2532
QSearchMinimax(d=3),white,32553e38,28,1,194
QSearchMinimax(d=3),white,32553e38,28,2,37
