agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,67af547c,1,-1,1136
QSearchMinimax(d=3),black,67af547c,1,0,1645
QSearchMinimax(d=3),black,67af547c,1,1,236
QSearchMinimax(d=3),black,67af547c,1,2,20
QSearchMinimax(d=3),black,67af547c,1,3,1
QSearchMinimax(d=3),black,67af547c,2,-1,1965
QSearchMinimax(d=3),black,67af547c,2,0,2014
QSearchMinimax(d=3),black,67af547c,2,1,224
QSearchMinimax(d=3),black,67af547c,2,2,29
QSearchMinimax(d=3),black,67af547c,2,3,1
QSearchMinimax(d=3),black,67af547c,3,-1,298
QSearchMinimax(d=3),black,67af547c,3,0,250
QSearchMinimax(d=3),black,67af547c,3,1,74
QSearchMinimax(d=3),black,67af547c,3,2,6
QSearchMinimax(d=3),black,67af547c,3,3,1
QSearchMinimax(d=3),black,67af547c,4,-1,2010
QSearchMinimax(d=3),black,67af547c,4,0,1835
QSearchMinimax(d=3),black,67af547c,4,1,142
QSearchMinimax(d=3),black,67af547c,4,2,38
QSearchMinimax(d=3),black,67af547c,4,3,1
QSearchMinimax(d=3),black,67af547c,5,-1,1751
QSearchMinimax(d=3),black,67af547c,5,0,1590
QSearchMinimax(d=3),black,67af547c,5,1,94
QSearchMinimax(d=3),black,67af547c,5,2,40
QSearchMinimax(d=3),black,67af547c,5,3,1
QSearchMinimax(d=3),black,67af547c,6,-1,1654
QSearchMinimax(d=3),black,67af547c,6,0,1635
QSearchMinimax(d=3),black,67af547c,6,1,64
QSearchMinimax(d=3),black,67af547c,6,2,37
QSearchMinimax(d=3),black,67af547c,6,3,1
QSearchMinimax(d=3),black,67af547c,7,-1,5085
QSearchMinimax(d=3),black,67af547c,7,0,4658
QSearchMinimax(d=3),black,67af547c,7,1,299
QSearchMinimax(d=3),black,67af547c,7,2,36
QSearchMinimax(d=3),black,67af547c,7,3,1
QSearchMinimax(d=3),black,67af547c,8,-1,4435
QSearchMinimax(d=3),black,67af547c,8,0,3720
QSearchMinimax(d=3),black,67af547c,8,1,366
QSearchMinimax(d=3),black,67af547c,8,2,37
QSearchMinimax(d=3),black,67af547c,8,3,1
QSearchMinimax(d=3),black,67af547c,9,-1,2341
QSearchMinimax(d=3),black,67af547c,9,0,2004
QSearchMinimax(d=3),black,67af547c,9,1,176
QSearchMinimax(d=3),black,67af547c,9,2,37
QSearchMinimax(d=3),black,67af547c,9,3,1
QSearchMinimax(d=3),black,67af547c,10,-1,1366
QSearchMinimax(d=3),black,67af547c,10,0,1333
QSearchMinimax(d=3),black,67af547c,10,1,62
QSearchMinimax(d=3),black,67af547c,10,2,36
QSearchMinimax(d=3),black,67af547c,10,3,1
QSearchMinimax(d=3),black,67af547c,11,-1,2147
QSearchMinimax(d=3),black,67af547c,11,0,1930
QSearchMinimax(d=3),black,67af547c,11,1,174
QSearchMinimax(d=3),black,67af547c,11,2,35
QSearchMinimax(d=3),black,67af547c,11,3,1
QSearchMinimax(d=3),black,67af547c,12,-1,3435
QSearchMinimax(d=3),black,67af547c,12,0,3081
QSearchMinimax(d=3),black,67af547c,12,1,261
QSearchMinimax(d=3),black,67af547c,12,2,29
QSearchMinimax(d=3),black,67af547c,12,3,1
QSearchMinimax(d=3),black,67af547c,13,-1,1921
QSearchMinimax(d=3),black,67af547c,13,0,1696
QSearchMinimax(d=3),black,67af547c,13,1,147
QSearchMinimax(d=3),black,67af547c,13,2,28
QSearchMinimax(d=3),black,67af547c,13,3,1
QSearchMinimax(d=3),black,67af547c,14,-1,2198
QSearchMinimax(d=3),black,67af547c,14,0,2060
QSearchMinimax(d=3),black,67af547c,14,1,142
QSearchMinimax(d=3),black,67af547c,14,2,34
QSearchMinimax(d=3),black,67af547c,14,3,1
QSearchMinimax(d=3),black,67af547c,15,-1,3809
QSearchMinimax(d=3),black,67af547c,15,0,3629
QSearchMinimax(d=3),black,67af547c,15,1,238
QSearchMinimax(d=3),black,67af547c,15,2,42
QSearchMinimax(d=3),black,67af547c,15,3,1
QSearchMinimax(d=3),black,67af547c,16,-1,3309
QSearchMinimax(d=3),black,67af547c,16,0,2895
QSearchMinimax(d=3),black,67af547c,16,1,286
QSearchMinimax(d=3),black,67af547c,16,2,42
QSearchMinimax(d=3),black,67af547c,16,3,1
QSearchMinimax(d=3),black,67af547c,17,-1,1961
QSearchMinimax(d=3),black,67af547c,17,0,1812
QSearchMinimax(d=3),black,67af547c,17,1,71
QSearchMinimax(d=3),black,67af547c,17,2,42
QSearchMinimax(d=3),black,67af547c,17,3,1
QSearchMinimax(d=3),black,67af547c,18,-1,4497
QSearchMinimax(d=3),black,67af547c,18,0,4041
QSearchMinimax(d=3),black,67af547c,18,1,318
QSearchMinimax(d=3),black,67af547c,18,2,48
QSearchMinimax(d=3),black,67af547c,18,3,1
QSearchMinimax(d=3),black,67af547c,19,-1,3518
QSearchMinimax(d=3),black,67af547c,19,0,3132
QSearchMinimax(d=3),black,67af547c,19,1,271
QSearchMinimax(d=3),black,67af547c,19,2,44
QSearchMinimax(d=3),black,67af547c,19,3,1
QSearchMinimax(d=3),black,67af547c,20,-1,2801
QSearchMinimax(d=3),black,67af547c,20,0,2548
QSearchMinimax(d=3),black,67af547c,20,1,141
QSearchMinimax(d=3),black,67af547c,20,2,45
QSearchMinimax(d=3),black,67af547c,20,3,1
QSearchMinimax(d=3),black,67af547c,21,-1,770
QSearchMinimax(d=3),black,67af547c,21,0,634
QSearchMinimax(d=3),black,67af547c,21,1,63
QSearchMinimax(d=3),black,67af547c,21,2,5
QSearchMinimax(d=3),black,67af547c,21,3,1
QSearchMinimax(d=3),black,67af547c,22,-1,1954
QSearchMinimax(d=3),black,67af547c,22,0,1912
QSearchMinimax(d=3),black,67af547c,22,1,80
QSearchMinimax(d=3),black,67af547c,22,2,48
QSearchMinimax(d=3),black,67af547c,22,3,1
QSearchMinimax(d=3),black,67af547c,23,-1,3454
