agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,702a2dcf,1,-1,198
QSearchMinimax(d=3),white,702a2dcf,1,0,2056
QSearchMinimax(d=3),white,702a2dcf,1,1,159
QSearchMinimax(d=3),white,702a2dcf,1,2,20
QSearchMinimax(d=3),white,702a2dcf,1,3,1
QSearchMinimax(d=3),white,702a2dcf,2,-1,775
QSearchMinimax(d=3),white,702a2dcf,2,0,1613
QSearchMinimax(d=3),white,702a2dcf,2,1,167
QSearchMinimax(d=3),white,702a2dcf,2,2,20
QSearchMinimax(d=3),white,702a2dcf,2,3,1
QSearchMinimax(d=3),white,702a2dcf,3,-1,2719
QSearchMinimax(d=3),white,702a2dcf,3,0,2738
QSearchMinimax(d=3),white,702a2dcf,3,1,149
QSearchMinimax(d=3),white,702a2dcf,3,2,24
QSearchMinimax(d=3),white,702a2dcf,3,3,1
QSearchMinimax(d=3),white,702a2dcf,4,-1,4347
QSearchMinimax(d=3),white,702a2dcf,4,0,4531
QSearchMinimax(d=3),white,702a2dcf,4,1,216
QSearchMinimax(d=3),white,702a2dcf,4,2,30
QSearchMinimax(d=3),white,702a2dcf,4,3,1
QSearchMinimax(d=3),white,702a2dcf,5,-1,3361
QSearchMinimax(d=3),white,702a2dcf,5,0,3351
QSearchMinimax(d=3),white,702a2dcf,5,1,180
QSearchMinimax(d=3),white,702a2dcf,5,2,29
QSearchMinimax(d=3),white,702a2dcf,5,3,1
QSearchMinimax(d=3),white,702a2dcf,6,-1,3555
QSearchMinimax(d=3),white,702a2dcf,6,0,3609
QSearchMinimax(d=3),white,702a2dcf,6,1,184
QSearchMinimax(d=3),white,702a2dcf,6,2,30
QSearchMinimax(d=3),white,702a2dcf,6,3,1
QSearchMinimax(d=3),white,702a2dcf,7,-1,3030
QSearchMinimax(d=3),white,702a2dcf,7,0,2959
QSearchMinimax(d=3),white,702a2dcf,7,1,173
QSearchMinimax(d=3),white,702a2dcf,7,2,31
QSearchMinimax(d=3),white,702a2dcf,7,3,1
QSearchMinimax(d=3),white,702a2dcf,8,-1,3214
QSearchMinimax(d=3),white,702a2dcf,8,0,2887
QSearchMinimax(d=3),white,702a2dcf,8,1,234
QSearchMinimax(d=3),white,702a2dcf,8,2,31
QSearchMinimax(d=3),white,702a2dcf,8,3,1
QSearchMinimax(d=3),white,702a2dcf,9,-1,3858
QSearchMinimax(d=3),white,702a2dcf,9,0,3278
