agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,79112576,1,-1,672
QSearchMinimax(d=3),black,79112576,1,0,1502
QSearchMinimax(d=3),black,79112576,1,1,116
QSearchMinimax(d=3),black,79112576,1,2,20
QSearchMinimax(d=3),black,79112576,1,3,1
QSearchMinimax(d=3),black,79112576,2,-1,4002
QSearchMinimax(d=3),black,79112576,2,0,4046
QSearchMinimax(d=3),black,79112576,2,1,260
QSearchMinimax(d=3),black,79112576,2,2,30
QSearchMinimax(d=3),black,79112576,2,3,1
QSearchMinimax(d=3),black,79112576,3,-1,5051
QSearchMinimax(d=3),black,79112576,3,0,5476
QSearchMinimax(d=3),black,79112576,3,1,368
QSearchMinimax(d=3),black,79112576,3,2,34
QSearchMinimax(d=3),black,79112576,3,3,1
QSearchMinimax(d=3),black,79112576,4,-1,5060
QSearchMinimax(d=3),black,79112576,4,0,5015
QSearchMinimax(d=3),black,79112576,4,1,242
QSearchMinimax(d=3),black,79112576,4,2,35
QSearchMinimax(d=3),black,79112576,4,3,1
QSearchMinimax(d=3),black,79112576,5,-1,2605
QSearchMinimax(d=3),black,79112576,5,0,2550
QSearchMinimax(d=3),black,79112576,5,1,207
QSearchMinimax(d=3),black,79112576,5,2,35
QSearchMinimax(d=3),black,79112576,5,3,1
QSearchMinimax(d=3),black,79112576,6,-1,2446
QSearchMinimax(d=3),black,79112576,6,0,2191
QSearchMinimax(d=3),black,79112576,6,1,204
QSearchMinimax(d=3),black,79112576,6,2,36
QSearchMinimax(d=3),black,79112576,6,3,1
QSearchMinimax(d=3),black,79112576,7,-1,2966
QSearchMinimax(d=3),black,79112576,7,0,2492
QSearchMinimax(d=3),black,79112576,7,1,184
QSearchMinimax(d=3),black,79112576,7,2,37
QSearchMinimax(d=3),black,79112576,7,3,1
QSearchMinimax(d=3),black,79112576,8,-1,3406
QSearchMinimax(d=3),black,79112576,8,0,3124
QSearchMinimax(d=3),black,79112576,8,1,269
QSearchMinimax(d=3),black,79112576,8,2,35
QSearchMinimax(d=3),black,79112576,8,3,1
QSearchMinimax(d=3),black,79112576,9,-1,738
QSearchMinimax(d=3),black,79112576,9,0,701
QSearchMinimax(d=3),black,79112576,9,1,46
QSearchMinimax(d=3),black,79112576,9,2,7
QSearchMinimax(d=3),black,79112576,9,3,1
QSearchMinimax(d=3),black,79112576,10,-1,4323
QSearchMinimax(d=3),black,79112576,10,0,3851
QSearchMinimax(d=3),black,79112576,10,1,239
QSearchMinimax(d=3),black,79112576,10,2,39
QSearchMinimax(d=3),black,79112576,10,3,1
QSearchMinimax(d=3),black,79112576,11,-1,4125
QSearchMinimax(d=3),black,79112576,11,0,3596
QSearchMinimax(d=3),black,79112576,11,1,258
QSearchMinimax(d=3),black,79112576,11,2,40
QSearchMinimax(d=3),black,79112576,11,3,1
QSearchMinimax(d=3),black,79112576,12,-1,4679
QSearchMinimax(d=3),black,79112576,12,0,3935
QSearchMinimax(d=3),black,79112576,12,1,313
QSearchMinimax(d=3),black,79112576,12,2,38
QSearchMinimax(d=3),black,79112576,12,3,1
QSearchMinimax(d=3),black,79112576,13,-1,4306
