agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,c5edbcd3,1,-1,188
QSearchMinimax(d=3),black,c5edbcd3,1,0,1876
QSearchMinimax(d=3),black,c5edbcd3,1,1,165
QSearchMinimax(d=3),black,c5edbcd3,1,2,20
QSearchMinimax(d=3),black,c5edbcd3,1,3,1
QSearchMinimax(d=3),black,c5edbcd3,2,-1,319
QSearchMinimax(d=3),black,c5edbcd3,2,0,1909
QSearchMinimax(d=3),black,c5edbcd3,2,1,193
QSearchMinimax(d=3),black,c5edbcd3,2,2,21
QSearchMinimax(d=3),black,c5edbcd3,2,3,1
QSearchMinimax(d=3),black,c5edbcd3,3,-1,839
QSearchMinimax(d=3),black,c5edbcd3,3,0,1688
QSearchMinimax(d=3),black,c5edbcd3,3,1,150
QSearchMinimax(d=3),black,c5edbcd3,3,2,22
QSearchMinimax(d=3),black,c5edbcd3,3,3,1
QSearchMinimax(d=3),black,c5edbcd3,4,-1,231
QSearchMinimax(d=3),black,c5edbcd3,4,0,993
QSearchMinimax(d=3),black,c5edbcd3,4,1,34
QSearchMinimax(d=3),black,c5edbcd3,4,2,32
QSearchMinimax(d=3),black,c5edbcd3,4,3,1
QSearchMinimax(d=3),black,c5edbcd3,5,-1,507
QSearchMinimax(d=3),black,c5edbcd3,5,0,1382
QSearchMinimax(d=3),black,c5edbcd3,5,1,41
QSearchMinimax(d=3),black,c5edbcd3,5,2,38
QSearchMinimax(d=3),black,c5edbcd3,5,3,1
QSearchMinimax(d=3),black,c5edbcd3,6,-1,1865
QSearchMinimax(d=3),black,c5edbcd3,6,0,2781
QSearchMinimax(d=3),black,c5edbcd3,6,1,138
QSearchMinimax(d=3),black,c5edbcd3,6,2,50
QSearchMinimax(d=3),black,c5edbcd3,6,3,1
QSearchMinimax(d=3),black,c5edbcd3,7,-1,4358
QSearchMinimax(d=3),black,c5edbcd3,7,0,4380
QSearchMinimax(d=3),black,c5edbcd3,7,1,229
QSearchMinimax(d=3),black,c5edbcd3,7,2,44
QSearchMinimax(d=3),black,c5edbcd3,7,3,1
QSearchMinimax(d=3),black,c5edbcd3,8,-1,3120
QSearchMinimax(d=3),black,c5edbcd3,8,0,3177
QSearchMinimax(d=3),black,c5edbcd3,8,1,136
QSearchMinimax(d=3),black,c5edbcd3,8,2,41
QSearchMinimax(d=3),black,c5edbcd3,8,3,1
QSearchMinimax(d=3),black,c5edbcd3,9,-1,5488
QSearchMinimax(d=3),black,c5edbcd3,9,0,5768
QSearchMinimax(d=3),black,c5edbcd3,9,1,351
QSearchMinimax(d=3),black,c5edbcd3,9,2,41
QSearchMinimax(d=3),black,c5edbcd3,9,3,1
QSearchMinimax(d=3),black,c5edbcd3,10,-1,1894
QSearchMinimax(d=3),black,c5edbcd3,10,0,1891
QSearchMinimax(d=3),black,c5edbcd3,10,1,72
QSearchMinimax(d=3),black,c5edbcd3,10,2,43
QSearchMinimax(d=3),black,c5edbcd3,10,3,1
QSearchMinimax(d=3),black,c5edbcd3,11,-1,2149
QSearchMinimax(d=3),black,c5edbcd3,11,0,2292
QSearchMinimax(d=3),black,c5edbcd3,11,1,178
QSearchMinimax(d=3),black,c5edbcd3,11,2,46
QSearchMinimax(d=3),black,c5edbcd3,11,3,1
QSearchMinimax(d=3),black,c5edbcd3,12,-1,5602
QSearchMinimax(d=3),black,c5edbcd3,12,0,6043
QSearchMinimax(d=3),black,c5edbcd3,12,1,272
QSearchMinimax(d=3),black,c5edbcd3,12,2,49
QSearchMinimax(d=3),black,c5edbcd3,12,3,1
QSearchMinimax(d=3),black,c5edbcd3,13,-1,2248
QSearchMinimax(d=3),black,c5edbcd3,13,0,2455
QSearchMinimax(d=3),black,c5edbcd3,13,1,133
QSearchMinimax(d=3),black,c5edbcd3,13,2,45
QSearchMinimax(d=3),black,c5edbcd3,13,3,1
QSearchMinimax(d=3),black,c5edbcd3,14,-1,3271
QSearchMinimax(d=3),black,c5edbcd3,14,0,3175
QSearchMinimax(d=3),black,c5edbcd3,14,1,219
QSearchMinimax(d=3),black,c5edbcd3,14,2,38
QSearchMinimax(d=3),black,c5edbcd3,14,3,1
