agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,d51ca2d3,1,-1,198
QSearchMinimax(d=3),white,d51ca2d3,1,0,2056
QSearchMinimax(d=3),white,d51ca2d3,1,1,159
QSearchMinimax(d=3),white,d51ca2d3,1,2,20
QSearchMinimax(d=3),white,d51ca2d3,1,3,1
QSearchMinimax(d=3),white,d51ca2d3,2,-1,2967
QSearchMinimax(d=3),white,d51ca2d3,2,0,4558
QSearchMinimax(d=3),white,d51ca2d3,2,1,373
QSearchMinimax(d=3),white,d51ca2d3,2,2,30
QSearchMinimax(d=3),white,d51ca2d3,2,3,1
QSearchMinimax(d=3),white,d51ca2d3,3,-1,4835
QSearchMinimax(d=3),white,d51ca2d3,3,0,4369
QSearchMinimax(d=3),white,d51ca2d3,3,1,323
QSearchMinimax(d=3),white,d51ca2d3,3,2,29
QSearchMinimax(d=3),white,d51ca2d3,3,3,1
QSearchMinimax(d=3),white,d51ca2d3,4,-1,2283
QSearchMinimax(d=3),white,d51ca2d3,4,0,2261
QSearchMinimax(d=3),white,d51ca2d3,4,1,158
QSearchMinimax(d=3),white,d51ca2d3,4,2,28
QSearchMinimax(d=3),white,d51ca2d3,4,3,1
QSearchMinimax(d=3),white,d51ca2d3,5,-1,2784
QSearchMinimax(d=3),white,d51ca2d3,5,0,2631
QSearchMinimax(d=3),white,d51ca2d3,5,1,192
QSearchMinimax(d=3),white,d51ca2d3,5,2,28
QSearchMinimax(d=3),white,d51ca2d3,5,3,1
QSearchMinimax(d=3),white,d51ca2d3,6,-1,2076
QSearchMinimax(d=3),white,d51ca2d3,6,0,2078
QSearchMinimax(d=3),white,d51ca2d3,6,1,99
QSearchMinimax(d=3),white,d51ca2d3,6,2,30
QSearchMinimax(d=3),white,d51ca2d3,6,3,1
QSearchMinimax(d=3),white,d51ca2d3,7,-1,3334
QSearchMinimax(d=3),white,d51ca2d3,7,0,2223
QSearchMinimax(d=3),white,d51ca2d3,7,1,258
QSearchMinimax(d=3),white,d51ca2d3,7,2,33
QSearchMinimax(d=3),white,d51ca2d3,7,3,1
QSearchMinimax(d=3),white,d51ca2d3,8,-1,1199
QSearchMinimax(d=3),white,d51ca2d3,8,0,1143
QSearchMinimax(d=3),white,d51ca2d3,8,1,72
QSearchMinimax(d=3),white,d51ca2d3,8,2,39
QSearchMinimax(d=3),white,d51ca2d3,8,3,1
QSearchMinimax(d=3),white,d51ca2d3,9,-1,2086
QSearchMinimax(d=3),white,d51ca2d3,9,0,1879
QSearchMinimax(d=3),white,d51ca2d3,9,1,101
QSearchMinimax(d=3),white,d51ca2d3,9,2,42
QSearchMinimax(d=3),white,d51ca2d3,9,3,1
QSearchMinimax(d=3),white,d51ca2d3,10,-1,5224
QSearchMinimax(d=3),white,d51ca2d3,10,0,4700
QSearchMinimax(d=3),white,d51ca2d3,10,1,314
QSearchMinimax(d=3),white,d51ca2d3,10,2,47
QSearchMinimax(d=3),white,d51ca2d3,10,3,1
QSearchMinimax(d=3),white,d51ca2d3,11,-1,2642
QSearchMinimax(d=3),white,d51ca2d3,11,0,2463
QSearchMinimax(d=3),white,d51ca2d3,11,1,152
QSearchMinimax(d=3),white,d51ca2d3,11,2,52
QSearchMinimax(d=3),white,d51ca2d3,11,3,1
QSearchMinimax(d=3),white,d51ca2d3,12,-1,2159
QSearchMinimax(d=3),white,d51ca2d3,12,0,2084
QSearchMinimax(d=3),white,d51ca2d3,12,1,83
QSearchMinimax(d=3),white,d51ca2d3,12,2,46
QSearchMinimax(d=3),white,d51ca2d3,12,3,1
QSearchMinimax(d=3),white,d51ca2d3,13,-1,2478
QSearchMinimax(d=3),white,d51ca2d3,13,0,2332
QSearchMinimax(d=3),white,d51ca2d3,13,1,119
QSearchMinimax(d=3),white,d51ca2d3,13,2,48
QSearchMinimax(d=3),white,d51ca2d3,13,3,1
QSearchMinimax(d=3),white,d51ca2d3,14,-1,1949
QSearchMinimax(d=3),white,d51ca2d3,14,0,1883
QSearchMinimax(d=3),white,d51ca2d3,14,1,95
QSearchMinimax(d=3),white,d51ca2d3,14,2,43
QSearchMinimax(d=3),white,d51ca2d3,14,3,1
QSearchMinimax(d=3),white,d51ca2d3,15,-1,963
QSearchMinimax(d=3),white,d51ca2d3,15,0,998
QSearchMinimax(d=3),white,d51ca2d3,15,1,54
QSearchMinimax(d=3),white,d51ca2d3,15,2,47
