agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,ecad8c41,1,-1,198
QSearchMinimax(d=3),white,ecad8c41,1,0,2056
QSearchMinimax(d=3),white,ecad8c41,1,1,159
QSearchMinimax(d=3),white,ecad8c41,1,2,20
QSearchMinimax(d=3),white,ecad8c41,1,3,1
QSearchMinimax(d=3),white,ecad8c41,2,-1,317
QSearchMinimax(d=3),white,ecad8c41,2,0,2451
QSearchMinimax(d=3),white,ecad8c41,2,1,193
QSearchMinimax(d=3),white,ecad8c41,2,2,20
QSearchMinimax(d=3),white,ecad8c41,2,3,1
QSearchMinimax(d=3),white,ecad8c41,3,-1,1027
QSearchMinimax(d=3),white,ecad8c41,3,0,1054
QSearchMinimax(d=3),white,ecad8c41,3,1,126
QSearchMinimax(d=3),white,ecad8c41,3,2,19
QSearchMinimax(d=3),white,ecad8c41,3,3,1
QSearchMinimax(d=3),white,ecad8c41,4,-1,3813
QSearchMinimax(d=3),white,ecad8c41,4,0,3491
QSearchMinimax(d=3),white,ecad8c41,4,1,270
QSearchMinimax(d=3),white,ecad8c41,4,2,20
QSearchMinimax(d=3),white,ecad8c41,4,3,1
QSearchMinimax(d=3),white,ecad8c41,5,-1,5120
QSearchMinimax(d=3),white,ecad8c41,5,0,4903
QSearchMinimax(d=3),white,ecad8c41,5,1,265
QSearchMinimax(d=3),white,ecad8c41,5,2,24
QSearchMinimax(d=3),white,ecad8c41,5,3,1
QSearchMinimax(d=3),white,ecad8c41,6,-1,5994
QSearchMinimax(d=3),white,ecad8c41,6,0,5594
QSearchMinimax(d=3),white,ecad8c41,6,1,321
QSearchMinimax(d=3),white,ecad8c41,6,2,24
QSearchMinimax(d=3),white,ecad8c41,6,3,1
QSearchMinimax(d=3),white,ecad8c41,7,-1,2199
QSearchMinimax(d=3),white,ecad8c41,7,0,2191
QSearchMinimax(d=3),white,ecad8c41,7,1,156
QSearchMinimax(d=3),white,ecad8c41,7,2,25
QSearchMinimax(d=3),white,ecad8c41,7,3,1
QSearchMinimax(d=3),white,ecad8c41,8,-1,2012
QSearchMinimax(d=3),white,ecad8c41,8,0,1935
QSearchMinimax(d=3),white,ecad8c41,8,1,174
QSearchMinimax(d=3),white,ecad8c41,8,2,30
QSearchMinimax(d=3),white,ecad8c41,8,3,1
QSearchMinimax(d=3),white,ecad8c41,9,-1,2152
QSearchMinimax(d=3),white,ecad8c41,9,0,1958
QSearchMinimax(d=3),white,ecad8c41,9,1,173
QSearchMinimax(d=3),white,ecad8c41,9,2,32
QSearchMinimax(d=3),white,ecad8c41,9,3,1
QSearchMinimax(d=3),white,ecad8c41,10,-1,2419
QSearchMinimax(d=3),white,ecad8c41,10,0,2291
QSearchMinimax(d=3),white,ecad8c41,10,1,183
QSearchMinimax(d=3),white,ecad8c41,10,2,35
QSearchMinimax(d=3),white,ecad8c41,10,3,1
QSearchMinimax(d=3),white,ecad8c41,11,-1,3437
QSearchMinimax(d=3),white,ecad8c41,11,0,3371
QSearchMinimax(d=3),white,ecad8c41,11,1,204
QSearchMinimax(d=3),white,ecad8c41,11,2,42
QSearchMinimax(d=3),white,ecad8c41,11,3,1
QSearchMinimax(d=3),white,ecad8c41,12,-1,3760
QSearchMinimax(d=3),white,ecad8c41,12,0,3605
QSearchMinimax(d=3),white,ecad8c41,12,1,233
QSearchMinimax(d=3),white,ecad8c41,12,2,43
