agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,03fc05a7,1,0,1339
EvalMinimax(d=3),black,03fc05a7,1,1,124
EvalMinimax(d=3),black,03fc05a7,1,2,20
EvalMinimax(d=3),black,03fc05a7,1,3,1
EvalMinimax(d=3),black,03fc05a7,2,0,2121
EvalMinimax(d=3),black,03fc05a7,2,1,167
EvalMinimax(d=3),black,03fc05a7,2,2,30
EvalMinimax(d=3),black,03fc05a7,2,3,1
EvalMinimax(d=3),black,03fc05a7,3,0,1426
EvalMinimax(d=3),black,03fc05a7,3,1,76
EvalMinimax(d=3),black,03fc05a7,3,2,36
EvalMinimax(d=3),black,03fc05a7,3,3,1
EvalMinimax(d=3),black,03fc05a7,4,0,1555
EvalMinimax(d=3),black,03fc05a7,4,1,98
EvalMinimax(d=3),black,03fc05a7,4,2,45
EvalMinimax(d=3),black,03fc05a7,4,3,1
EvalMinimax(d=3),black,03fc05a7,5,0,3460
EvalMinimax(d=3),black,03fc05a7,5,1,242
EvalMinimax(d=3),black,03fc05a7,5,2,37
EvalMinimax(d=3),black,03fc05a7,5,3,1
EvalMinimax(d=3),black,03fc05a7,6,0,1435
EvalMinimax(d=3),black,03fc05a7,6,1,170
EvalMinimax(d=3),black,03fc05a7,6,2,35
EvalMinimax(d=3),black,03fc05a7,6,3,1
EvalMinimax(d=3),black,03fc05a7,7,0,3653
EvalMinimax(d=3),black,03fc05a7,7,1,239
EvalMinimax(d=3),black,03fc05a7,7,2,38
EvalMinimax(d=3),black,03fc05a7,7,3,1
EvalMinimax(d=3),black,03fc05a7,8,0,3923
EvalMinimax(d=3),black,03fc05a7,8,1,207
EvalMinimax(d=3),black,03fc05a7,8,2,46
EvalMinimax(d=3),black,03fc05a7,8,3,1
EvalMinimax(d=3),black,03fc05a7,9,0,3747
EvalMinimax(d=3),black,03fc05a7,9,1,250
EvalMinimax(d=3),black,03fc05a7,9,2,44
EvalMinimax(d=3),black,03fc05a7,9,3,1
EvalMinimax(d=3),black,03fc05a7,10,0,1418
EvalMinimax(d=3),black,03fc05a7,10,1,151
EvalMinimax(d=3),black,03fc05a7,10,2,41
EvalMinimax(d=3),black,03fc05a7,10,3,1
EvalMinimax(d=3),black,03fc05a7,11,0,2416
EvalMinimax(d=3),black,03fc05a7,11,1,215
EvalMinimax(d=3),black,03fc05a7,11,2,35
EvalMinimax(d=3),black,03fc05a7,11,3,1
EvalMinimax(d=3),black,03fc05a7,12,0,2361
EvalMinimax(d=3),black,03fc05a7,12,1,169
EvalMinimax(d=3),black,03fc05a7,12,2,36
EvalMinimax(d=3),black,03fc05a7,12,3,1
EvalMinimax(d=3),black,03fc05a7,13,0,2070
EvalMinimax(d=3),black,03fc05a7,13,1,125
EvalMinimax(d=3),black,03fc05a7,13,2,36
EvalMinimax(d=3),black,03fc05a7,13,3,1
EvalMinimax(d=3),black,03fc05a7,14,0,1995
EvalMinimax(d=3),black,03fc05a7,14,1,103
EvalMinimax(d=3),black,03fc05a7,14,2,37
EvalMinimax(d=3),black,03fc05a7,14,3,1
EvalMinimax(d=3),black,03fc05a7,15,0,2119
EvalMinimax(d=3),black,03fc05a7,15,1,240
EvalMinimax(d=3),black,03fc05a7,15,2,29
EvalMinimax(d=3),black,03fc05a7,15,3,1
EvalMinimax(d=3),black,03fc05a7,16,0,1160
EvalMinimax(d=3),black,03fc05a7,16,1,120
EvalMinimax(d=3),black,03fc05a7,16,2,34
EvalMinimax(d=3),black,03fc05a7,16,3,1
EvalMinimax(d=3),black,03fc05a7,17,0,1542
EvalMinimax(d=3),black,03fc05a7,17,1,263
EvalMinimax(d=3),black,03fc05a7,17,2,33
EvalMinimax(d=3),black,03fc05a7,17,3,1
EvalMinimax(d=3),black,03fc05a7,18,0,1109
EvalMinimax(d=3),black,03fc05a7,18,1,77
EvalMinimax(d=3),black,03fc05a7,18,2,35
EvalMinimax(d=3),black,03fc05a7,18,3,1
EvalMinimax(d=3),black,03fc05a7,19,0,2509
EvalMinimax(d=3),black,03fc05a7,19,1,372
EvalMinimax(d=3),black,03fc05a7,19,2,39
EvalMinimax(d=3),black,03fc05a7,19,3,1
EvalMinimax(d=3),black,03fc05a7,20,0,2380
EvalMinimax(d=3),black,03fc05a7,20,1,299
EvalMinimax(d=3),black,03fc05a7,20,2,31
EvalMinimax(d=3),black,03fc05a7,20,3,1
EvalMinimax(d=3),black,03fc05a7,21,0,2111
EvalMinimax(d=3),black,03fc05a7,21,1,290
EvalMinimax(d=3),black,03fc05a7,21,2,29
EvalMinimax(d=3),black,03fc05a7,21,3,1
EvalMinimax(d=3),black,03fc05a7,22,0,2138
EvalMinimax(d=3),black,03fc05a7,22,1,287
EvalMinimax(d=3),black,03fc05a7,22,2,30
EvalMinimax(d=3),black,03fc05a7,22,3,1
EvalMinimax(d=3),black,03fc05a7,23,0,298
EvalMinimax(d=3),black,03fc05a7,23,1,112
EvalMinimax(d=3),black,03fc05a7,23,2,4
EvalMinimax(d=3),black,03fc05a7,23,3,1
EvalMinimax(d=3),black,03fc05a7,24,0,531
EvalMinimax(d=3),black,03fc05a7,24,1,66
EvalMinimax(d=3),black,03fc05a7,24,2,33
EvalMinimax(d=3),black,03fc05a7,24,3,1
EvalMinimax(d=3),black,03fc05a7,25,0,960
EvalMinimax(d=3),black,03fc05a7,25,1,111
EvalMinimax(d=3),black,03fc05a7,25,2,33
EvalMinimax(d=3),black,03fc05a7,25,3,1
EvalMinimax(d=3),black,03fc05a7,26,0,523
EvalMinimax(d=3),black,03fc05a7,26,1,54
EvalMinimax(d=3),black,03fc05a7,26,2,27
EvalMinimax(d=3),black,03fc05a7,26,3,1
EvalMinimax(d=3),black,03fc05a7,27,0,705
EvalMinimax(d=3),black,03fc05a7,27,1,88
EvalMinimax(d=3),black,03fc05a7,27,2,37
EvalMinimax(d=3),black,03fc05a7,27,3,1
EvalMinimax(d=3),black,03fc05a7,28,0,775
EvalMinimax(d=3),black,03fc05a7,28,1,37
EvalMinimax(d=3),black,03fc05a7,28,2,36
EvalMinimax(d=3),black,03fc05a7,28,3,1
EvalMinimax(d=3),black,03fc05a7,29,0,460
EvalMinimax(d=3),black,03fc05a7,29,1,70
EvalMinimax(d=3),black,03fc05a7,29,2,24
EvalMinimax(d=3),black,03fc05a7,29,3,1
EvalMinimax(d=3),black,03fc05a7,30,0,625
EvalMinimax(d=3),black,03fc05a7,30,1,139
EvalMinimax(d=3),black,03fc05a7,30,2,28
EvalMinimax(d=3),black,03fc05a7,30,3,1
EvalMinimax(d=3),black,03fc05a7,31,0,956
EvalMinimax(d=3),black,03fc05a7,31,1,199
EvalMinimax(d=3),black,03fc05a7,31,2,24
EvalMinimax(d=3),black,03fc05a7,31,3,1
EvalMinimax(d=3),black,03fc05a7,32,0,648
EvalMinimax(d=3),black,03fc05a7,32,1,51
EvalMinimax(d=3),black,03fc05a7,32,2,27
EvalMinimax(d=3),black,03fc05a7,32,3,1
EvalMinimax(d=3),black,03fc05a7,33,0,1727
EvalMinimax(d=3),black,03fc05a7,33,1,316
EvalMinimax(d=3),black,03fc05a7,33,2,28
EvalMinimax(d=3),black,03fc05a7,33,3,1
EvalMinimax(d=3),black,03fc05a7,34,0,1019
EvalMinimax(d=3),black,03fc05a7,34,1,103
EvalMinimax(d=3),black,03fc05a7,34,2,26
EvalMinimax(d=3),black,03fc05a7,34,3,1
EvalMinimax(d=3),black,03fc05a7,35,0,691
EvalMinimax(d=3),black,03fc05a7,35,1,115
EvalMinimax(d=3),black,03fc05a7,35,2,26
EvalMinimax(d=3),black,03fc05a7,35,3,1
EvalMinimax(d=3),black,03fc05a7,36,0,590
EvalMinimax(d=3),black,03fc05a7,36,1,60
EvalMinimax(d=3),black,03fc05a7,36,2,26
EvalMinimax(d=3),black,03fc05a7,36,3,1
EvalMinimax(d=3),black,03fc05a7,37,0,1275
EvalMinimax(d=3),black,03fc05a7,37,1,132
EvalMinimax(d=3),black,03fc05a7,37,2,29
EvalMinimax(d=3),black,03fc05a7,37,3,1
EvalMinimax(d=3),black,03fc05a7,38,0,1131
EvalMinimax(d=3),black,03fc05a7,38,1,95
EvalMinimax(d=3),black,03fc05a7,38,2,33
EvalMinimax(d=3),black,03fc05a7,38,3,1
EvalMinimax(d=3),black,03fc05a7,39,0,1028
EvalMinimax(d=3),black,03fc05a7,39,1,127
EvalMinimax(d=3),black,03fc05a7,39,2,29
EvalMinimax(d=3),black,03fc05a7,39,3,1
EvalMinimax(d=3),black,03fc05a7,40,0,1529
EvalMinimax(d=3),black,03fc05a7,40,1,79
EvalMinimax(d=3),black,03fc05a7,40,2,30
EvalMinimax(d=3),black,03fc05a7,40,3,1
EvalMinimax(d=3),black,03fc05a7,41,0,1398
EvalMinimax(d=3),black,03fc05a7,41,1,130
EvalMinimax(d=3),black,03fc05a7,41,2,30
EvalMinimax(d=3),black,03fc05a7,41,3,1
EvalMinimax(d=3),black,03fc05a7,42,0,801
EvalMinimax(d=3),black,03fc05a7,42,1,120
EvalMinimax(d=3),black,03fc05a7,42,2,29
EvalMinimax(d=3),black,03fc05a7,42,3,1
EvalMinimax(d=3),black,03fc05a7,43,0,1308
EvalMinimax(d=3),black,03fc05a7,43,1,221
EvalMinimax(d=3),black,03fc05a7,43,2,26
EvalMinimax(d=3),black,03fc05a7,43,3,1
EvalMinimax(d=3),black,03fc05a7,44,0,1362
EvalMinimax(d=3),black,03fc05a7,44,1,217
EvalMinimax(d=3),black,03fc05a7,44,2,29
EvalMinimax(d=3),black,03fc05a7,44,3,1
EvalMinimax(d=3),black,03fc05a7,45,0,1452
EvalMinimax(d=3),black,03fc05a7,45,1,224
EvalMinimax(d=3),black,03fc05a7,45,2,30
EvalMinimax(d=3),black,03fc05a7,45,3,1
EvalMinimax(d=3),black,03fc05a7,46,0,1375
EvalMinimax(d=3),black,03fc05a7,46,1,232
