agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,17199e8c,1,0,2096
EvalMinimax(d=3),white,17199e8c,1,1,154
EvalMinimax(d=3),white,17199e8c,1,2,20
EvalMinimax(d=3),white,17199e8c,1,3,1
EvalMinimax(d=3),white,17199e8c,2,0,2957
EvalMinimax(d=3),white,17199e8c,2,1,240
EvalMinimax(d=3),white,17199e8c,2,2,19
EvalMinimax(d=3),white,17199e8c,2,3,1
EvalMinimax(d=3),white,17199e8c,3,0,2317
EvalMinimax(d=3),white,17199e8c,3,1,229
EvalMinimax(d=3),white,17199e8c,3,2,18
EvalMinimax(d=3),white,17199e8c,3,3,1
EvalMinimax(d=3),white,17199e8c,4,0,1093
EvalMinimax(d=3),white,17199e8c,4,1,264
EvalMinimax(d=3),white,17199e8c,4,2,17
EvalMinimax(d=3),white,17199e8c,4,3,1
EvalMinimax(d=3),white,17199e8c,5,0,371
EvalMinimax(d=3),white,17199e8c,5,1,48
EvalMinimax(d=3),white,17199e8c,5,2,18
EvalMinimax(d=3),white,17199e8c,5,3,1
EvalMinimax(d=3),white,17199e8c,6,0,364
EvalMinimax(d=3),white,17199e8c,6,1,49
EvalMinimax(d=3),white,17199e8c,6,2,18
EvalMinimax(d=3),white,17199e8c,6,3,1
EvalMinimax(d=3),white,17199e8c,7,0,411
EvalMinimax(d=3),white,17199e8c,7,1,53
EvalMinimax(d=3),white,17199e8c,7,2,18
EvalMinimax(d=3),white,17199e8c,7,3,1
EvalMinimax(d=3),white,17199e8c,8,0,79
EvalMinimax(d=3),white,17199e8c,8,1,40
EvalMinimax(d=3),white,17199e8c,8,2,1
EvalMinimax(d=3),white,17199e8c,8,3,1
EvalMinimax(d=3),white,17199e8c,9,0,415
EvalMinimax(d=3),white,17199e8c,9,1,51
EvalMinimax(d=3),white,17199e8c,9,2,19
EvalMinimax(d=3),white,17199e8c,9,3,1
EvalMinimax(d=3),white,17199e8c,10,0,443
EvalMinimax(d=3),white,17199e8c,10,1,184
EvalMinimax(d=3),white,17199e8c,10,2,15
EvalMinimax(d=3),white,17199e8c,10,3,1
EvalMinimax(d=3),white,17199e8c,11,0,227
EvalMinimax(d=3),white,17199e8c,11,1,176
EvalMinimax(d=3),white,17199e8c,11,2,3
EvalMinimax(d=3),white,17199e8c,11,3,1
EvalMinimax(d=3),white,17199e8c,12,0,544
EvalMinimax(d=3),white,17199e8c,12,1,63
EvalMinimax(d=3),white,17199e8c,12,2,23
EvalMinimax(d=3),white,17199e8c,12,3,1
EvalMinimax(d=3),white,17199e8c,13,0,1817
EvalMinimax(d=3),white,17199e8c,13,1,194
EvalMinimax(d=3),white,17199e8c,13,2,26
EvalMinimax(d=3),white,17199e8c,13,3,1
EvalMinimax(d=3),white,17199e8c,14,0,663
EvalMinimax(d=3),white,17199e8c,14,1,99
EvalMinimax(d=3),white,17199e8c,14,2,24
EvalMinimax(d=3),white,17199e8c,14,3,1
EvalMinimax(d=3),white,17199e8c,15,0,584
EvalMinimax(d=3),white,17199e8c,15,1,68
EvalMinimax(d=3),white,17199e8c,15,2,26
EvalMinimax(d=3),white,17199e8c,15,3,1
EvalMinimax(d=3),white,17199e8c,16,0,589
EvalMinimax(d=3),white,17199e8c,16,1,218
EvalMinimax(d=3),white,17199e8c,16,2,19
EvalMinimax(d=3),white,17199e8c,16,3,1
EvalMinimax(d=3),white,17199e8c,17,0,551
EvalMinimax(d=3),white,17199e8c,17,1,160
EvalMinimax(d=3),white,17199e8c,17,2,21
EvalMinimax(d=3),white,17199e8c,17,3,1
EvalMinimax(d=3),white,17199e8c,18,0,1236
EvalMinimax(d=3),white,17199e8c,18,1,331
EvalMinimax(d=3),white,17199e8c,18,2,20
EvalMinimax(d=3),white,17199e8c,18,3,1
EvalMinimax(d=3),white,17199e8c,19,0,221
EvalMinimax(d=3),white,17199e8c,19,1,122
EvalMinimax(d=3),white,17199e8c,19,2,21
EvalMinimax(d=3),white,17199e8c,19,3,1
EvalMinimax(d=3),white,17199e8c,20,0,433
EvalMinimax(d=3),white,17199e8c,20,1,118
EvalMinimax(d=3),white,17199e8c,20,2,21
EvalMinimax(d=3),white,17199e8c,20,3,1
EvalMinimax(d=3),white,17199e8c,21,0,68
EvalMinimax(d=3),white,17199e8c,21,1,50
EvalMinimax(d=3),white,17199e8c,21,2,3
EvalMinimax(d=3),white,17199e8c,21,3,1
EvalMinimax(d=3),white,17199e8c,22,0,126
EvalMinimax(d=3),white,17199e8c,22,1,118
EvalMinimax(d=3),white,17199e8c,22,2,4
