agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,446aef1a,1,0,2096
EvalMinimax(d=3),white,446aef1a,1,1,154
EvalMinimax(d=3),white,446aef1a,1,2,20
EvalMinimax(d=3),white,446aef1a,1,3,1
EvalMinimax(d=3),white,446aef1a,2,0,2038
EvalMinimax(d=3),white,446aef1a,2,1,127
EvalMinimax(d=3),white,446aef1a,2,2,21
EvalMinimax(d=3),white,446aef1a,2,3,1
EvalMinimax(d=3),white,446aef1a,3,0,1093
EvalMinimax(d=3),white,446aef1a,3,1,50
EvalMinimax(d=3),white,446aef1a,3,2,31
EvalMinimax(d=3),white,446aef1a,3,3,1
EvalMinimax(d=3),white,446aef1a,4,0,2590
EvalMinimax(d=3),white,446aef1a,4,1,224
EvalMinimax(d=3),white,446aef1a,4,2,37
EvalMinimax(d=3),white,446aef1a,4,3,1
EvalMinimax(d=3),white,446aef1a,5,0,2107
EvalMinimax(d=3),white,446aef1a,5,1,232
EvalMinimax(d=3),white,446aef1a,5,2,35
EvalMinimax(d=3),white,446aef1a,5,3,1
EvalMinimax(d=3),white,446aef1a,6,0,852
EvalMinimax(d=3),white,446aef1a,6,1,51
EvalMinimax(d=3),white,446aef1a,6,2,33
EvalMinimax(d=3),white,446aef1a,6,3,1
EvalMinimax(d=3),white,446aef1a,7,0,2074
EvalMinimax(d=3),white,446aef1a,7,1,89
EvalMinimax(d=3),white,446aef1a,7,2,44
EvalMinimax(d=3),white,446aef1a,7,3,1
EvalMinimax(d=3),white,446aef1a,8,0,2815
EvalMinimax(d=3),white,446aef1a,8,1,161
EvalMinimax(d=3),white,446aef1a,8,2,41
EvalMinimax(d=3),white,446aef1a,8,3,1
EvalMinimax(d=3),white,446aef1a,9,0,2706
EvalMinimax(d=3),white,446aef1a,9,1,178
EvalMinimax(d=3),white,446aef1a,9,2,40
EvalMinimax(d=3),white,446aef1a,9,3,1
EvalMinimax(d=3),white,446aef1a,10,0,2356
EvalMinimax(d=3),white,446aef1a,10,1,114
EvalMinimax(d=3),white,446aef1a,10,2,41
EvalMinimax(d=3),white,446aef1a,10,3,1
EvalMinimax(d=3),white,446aef1a,11,0,2649
EvalMinimax(d=3),white,446aef1a,11,1,254
EvalMinimax(d=3),white,446aef1a,11,2,39
EvalMinimax(d=3),white,446aef1a,11,3,1
EvalMinimax(d=3),white,446aef1a,12,0,1385
EvalMinimax(d=3),white,446aef1a,12,1,67
EvalMinimax(d=3),white,446aef1a,12,2,39
EvalMinimax(d=3),white,446aef1a,12,3,1
EvalMinimax(d=3),white,446aef1a,13,0,2830
EvalMinimax(d=3),white,446aef1a,13,1,272
EvalMinimax(d=3),white,446aef1a,13,2,38
EvalMinimax(d=3),white,446aef1a,13,3,1
EvalMinimax(d=3),white,446aef1a,14,0,3054
EvalMinimax(d=3),white,446aef1a,14,1,335
EvalMinimax(d=3),white,446aef1a,14,2,36
EvalMinimax(d=3),white,446aef1a,14,3,1
EvalMinimax(d=3),white,446aef1a,15,0,2460
EvalMinimax(d=3),white,446aef1a,15,1,186
EvalMinimax(d=3),white,446aef1a,15,2,38
EvalMinimax(d=3),white,446aef1a,15,3,1
EvalMinimax(d=3),white,446aef1a,16,0,2494
EvalMinimax(d=3),white,446aef1a,16,1,219
EvalMinimax(d=3),white,446aef1a,16,2,38
EvalMinimax(d=3),white,446aef1a,16,3,1
EvalMinimax(d=3),white,446aef1a,17,0,1394
EvalMinimax(d=3),white,446aef1a,17,1,70
EvalMinimax(d=3),white,446aef1a,17,2,39
EvalMinimax(d=3),white,446aef1a,17,3,1
EvalMinimax(d=3),white,446aef1a,18,0,1581
EvalMinimax(d=3),white,446aef1a,18,1,161
EvalMinimax(d=3),white,446aef1a,18,2,39
EvalMinimax(d=3),white,446aef1a,18,3,1
EvalMinimax(d=3),white,446aef1a,19,0,1260
EvalMinimax(d=3),white,446aef1a,19,1,179
EvalMinimax(d=3),white,446aef1a,19,2,34
EvalMinimax(d=3),white,446aef1a,19,3,1
EvalMinimax(d=3),white,446aef1a,20,0,1835
EvalMinimax(d=3),white,446aef1a,20,1,141
EvalMinimax(d=3),white,446aef1a,20,2,43
EvalMinimax(d=3),white,446aef1a,20,3,1
EvalMinimax(d=3),white,446aef1a,21,0,1348
EvalMinimax(d=3),white,446aef1a,21,1,76
EvalMinimax(d=3),white,446aef1a,21,2,42
EvalMinimax(d=3),white,446aef1a,21,3,1
EvalMinimax(d=3),white,446aef1a,22,0,996
EvalMinimax(d=3),white,446aef1a,22,1,40
EvalMinimax(d=3),white,446aef1a,22,2,38
EvalMinimax(d=3),white,446aef1a,22,3,1
EvalMinimax(d=3),white,446aef1a,23,0,2043
EvalMinimax(d=3),white,446aef1a,23,1,393
EvalMinimax(d=3),white,446aef1a,23,2,26
EvalMinimax(d=3),white,446aef1a,23,3,1
EvalMinimax(d=3),white,446aef1a,24,0,926
EvalMinimax(d=3),white,446aef1a,24,1,99
EvalMinimax(d=3),white,446aef1a,24,2,28
EvalMinimax(d=3),white,446aef1a,24,3,1
EvalMinimax(d=3),white,446aef1a,25,0,1393
EvalMinimax(d=3),white,446aef1a,25,1,287
EvalMinimax(d=3),white,446aef1a,25,2,26
EvalMinimax(d=3),white,446aef1a,25,3,1
EvalMinimax(d=3),white,446aef1a,26,0,1723
EvalMinimax(d=3),white,446aef1a,26,1,343
EvalMinimax(d=3),white,446aef1a,26,2,29
EvalMinimax(d=3),white,446aef1a,26,3,1
EvalMinimax(d=3),white,446aef1a,27,0,1350
EvalMinimax(d=3),white,446aef1a,27,1,210
EvalMinimax(d=3),white,446aef1a,27,2,30
EvalMinimax(d=3),white,446aef1a,27,3,1
EvalMinimax(d=3),white,446aef1a,28,0,2462
